Topic,Count,Name,Representation,Representative_Docs
-1,1107,-1_you_to_the_my,"['you', 'to', 'the', 'my', 'and', 'now', 'that', 'not', 'me', 'it']","['Yes! Now you have to take me.', 'CHECKMATE! Now, I don’t know if you lost on purpose, Mr. Death, but a deal is a deal. Instead of following you into the afterlife, for eternity, you have to give me a blowie….  …to completion', 'Now that you have mad that move it is checkmate and the game is over']"
0,400,0_checkmate_checkmate checkmate_checkmate you_checkmate now,"['checkmate', 'checkmate checkmate', 'checkmate you', 'checkmate now', 'you', 'now', 'checkmate and', 'to', 'me', 'death']","['Checkmate!  And now….', 'Checkmate! Now you *have* to kill me', ""Checkmate!  You're dead.""]"
1,267,1_cheat_cheat death_death_cheated,"['cheat', 'cheat death', 'death', 'cheated', 'cheating', 'can cheat', 'to cheat', 'can', 'cheating death', 'you can']","['You think you can cheat Death?', 'See? You CAN cheat death!', ""You can't cheat, Death.""]"
2,249,2_move_that move_that_last,"['move', 'that move', 'that', 'last', 'last move', 'make', 'your', 'killer', 'you', 'your last']","['This is your last move', 'Your last move was your…last move.', 'Are you sure you want to make that move.']"
3,200,3_win_won_lose_you,"['win', 'won', 'lose', 'you', 'you win', 'but', 'you lose', 'winning', 'win you', 'me']","[""I won the battle, but you'll win the war."", 'you may have won the battle, but I will win the war.', 'I win. You lose!']"
4,158,4_mate_check_check mate_mate check,"['mate', 'check', 'check mate', 'mate check', 'mate you', 'you', 'mate now', 'check and', 'mate mate', 'your mate']","['That\'s \'check\' and \'mate,\' mate!""', 'Check before you check, mate.', 'CHECK!""   ""check MATE']"
5,155,5_chess_at chess_at_in chess,"['chess', 'at chess', 'at', 'in chess', 'of chess', 'in', 'death', 'play chess', 'game of', 'game']","['But Grim, there is no sudden death in chess.', 'This is the chess game of life - checkmate!', 'You may have beat me at chess, but I always win in the game of life.']"
6,129,6_game_life_play_game of,"['game', 'life', 'play', 'game of', 'playing', 'the game', 'of life', 'we', 'another', 'of']","['Let’s play the game of Life instead', 'Next time we play The Game of Life.', 'The Game of Life']"
7,121,7_taxes_irs_the irs_beat,"['taxes', 'irs', 'the irs', 'beat', 'my taxes', 'only', 'now', 'the', 'tax', 'beat taxes']","['Now if I only could beat Taxes.', 'Now, if only I could beat taxes', 'Taxes!']"
8,106,8_out of_three_of three_out,"['out of', 'three', 'of three', 'out', 'best', 'two out', 'two', 'of', 'best two', 'best out']","['Best out of three?', 'Two out of three!', 'Best two out of three?']"
9,103,9_grim_reaper_reap_grim reaper,"['grim', 'reaper', 'reap', 'grim reaper', 'so grim', 'so', 'looking', 'the grim', 'look so', 'don look']","['Check! It’s looking grim, Reaper!', 'Check mate, Grim Reaper!', 'Why so Grim, Reaper?']"
10,96,10_beat_beat death_beat you_death,"['beat', 'beat death', 'beat you', 'death', 'you', 'can beat', 'beat me', 'to beat', 'can', 'beating']","[""Who you can't beat Death"", 'I guess you can beat death.', 'I beat Death!']"
11,94,11_gambit_queen gambit_queen_the queen,"['gambit', 'queen gambit', 'queen', 'the queen', 'the', 'von', 'von sydow', 'sydow', 'queens gambit', 'max von']","['I see you haven’t watched The Queen’s Gambit yet.', 'Have you seen the Queen’s Gambit!?', ""You haven't watched 'The Queen's Gambit'?""]"
12,90,12_queen_my queen_your queen_the queen,"['queen', 'my queen', 'your queen', 'the queen', 'take', 'queen you', 'my', 'your', 'she', 'take my']","['You can take my soul, but not before I take your queen.', 'You can take my queen but you can’t take me!', 'My queen!']"
