Topic,Count,Name,Representation,Representative_Docs
-1,926,-1_you_to_checkmate_now,"['you', 'to', 'checkmate', 'now', 'me', 'the', 'and', 'my', 'your', 'that']","[""Ah-ha! Checkmate! Fell for the oldest trick in the book didn't you. . . the old Fool's Mate. Ha-ha-ha! No sir, you'll never outwit me as long as I'm alive, friend. Ha-ha-ha! Want to try again?"", 'What are you going to do about it?', 'Ha! Checkmate! Now you have to take me!']"
0,267,0_cheat_cheat death_cheated_death,"['cheat', 'cheat death', 'cheated', 'death', 'cheating', 'can cheat', 'to cheat', 'cheating death', 'can', 'cheat you']","['You think you can cheat Death?', 'See? You CAN cheat death!', 'I CAN cheat death!']"
1,202,1_win_won_lose_you win,"['win', 'won', 'lose', 'you win', 'win you', 'you', 'winning', 'to win', 'you won', 'you lose']","[""I won the battle, but you'll win the war."", 'you may have won the battle, but I will win the war.', 'I win. You lose!']"
2,157,2_chess_at chess_in chess_at,"['chess', 'at chess', 'in chess', 'at', 'of chess', 'play chess', 'game of', 'in', 'death', 'game']","['This is the chess game of life - checkmate!', 'You may have beat me at chess, but I always win in the game of life.', 'I kill at Chess!']"
3,152,3_mate_check_check mate_mate check,"['mate', 'check', 'check mate', 'mate check', 'mate you', 'mate now', 'check out', 'mate mate', 'your mate', 'check and']","['Check before you check, mate.', 'That\'s \'check\' and \'mate,\' mate!""', 'CHECK!""   ""check MATE']"
4,142,4_game_life_play_game of,"['game', 'life', 'play', 'game of', 'of life', 'the game', 'playing', 'we', 'to play', 'another']","['Let’s play the game of Life instead', 'Next time we play The Game of Life.', 'The Game of Life']"
5,114,5_taxes_irs_the irs_my taxes,"['taxes', 'irs', 'the irs', 'my taxes', 'beat', 'only', 'tax', 'beat taxes', 'now', 'taxes checkmate']","['Now if I only could beat Taxes.', ""And I don't pay my taxes either."", 'Taxes!']"
6,87,6_queen_my queen_your queen_the queen,"['queen', 'my queen', 'your queen', 'the queen', 'queen you', 'take', 'my', 'she', 'your', 'queen queen']","['You can take the Queen, but not my soul.', 'You can take my queen but you can’t take me!', 'My queen!']"
7,86,7_king_my king_your king_the king,"['king', 'my king', 'your king', 'the king', 'king me', 'my', 'your', 'thy', 'is thy', 'me']","['Killed your king!', 'Your king is dead, long live my king!', 'King me!']"
8,78,8_move_killer_killer move_that move,"['move', 'killer', 'killer move', 'that move', 'moves', 'move is', 'defying move', 'this move', 'that', 'defying']","[""...And that's what I call a killer move!"", 'Let me tell you why that was a killer move!', ""That's a killer move!""]"
9,69,9_checkmate_checkmate checkmate_that checkmate_not checkmate,"['checkmate', 'checkmate checkmate', 'that checkmate', 'not checkmate', 'll show', 'show you', 'show', 'checkmate no', 'said checkmate', 'is checkmate']","['I’ll show you checkmate', 'Come here. I’ll show you checkmate.', ""You think that's checkmate? I'll show you checkmate!""]"
10,63,10_endgame_end_end game_your endgame,"['endgame', 'end', 'end game', 'your endgame', 'the end', 'the endgame', 'your end', 'game', 'endgame is', 'work on']","['You need to work on your endgame.', 'The Endgame', 'Endgame']"
11,60,11_checkmate_death_death checkmate_checkmate you,"['checkmate', 'death', 'death checkmate', 'checkmate you', 'checkmate checkmate', 'die', 'checkmate death', 'deathmate', 'dead checkmate', 'alive checkmate']","['Checkmate! You die!', 'You\'re going to remember this checkmate until the day you die.\r\n\r\nOr,\r\n\r\nThis move is going to kill you.\r\n\r\nOr, \r\nNo ""do-overs!""  Checkmate!', 'Checkmate again! Same as the usual, bring me back to life and see ya in 15 minutes after my auto-erotic asphyxiation, buddy!']"
12,59,12_finger_the finger_me the_middle,"['finger', 'the finger', 'me the', 'middle', 'middle finger', 'finger of', 'my hand', 'off', 'finger off', 'give me']","['Are you giving me the finger?', 'Look, you can give me the middle finger all you want, but it’s still check mate!', 'Give me the finger? Ha! Checkmate!!']"
13,59,13_best_of three_out of_best two,"['best', 'of three', 'out of', 'best two', 'three', 'out', 'two out', 'best out', 'two', 'of']","['check mate!""\r\n""best two out of three?', 'Best out of three?', 'Best two out of three?']"
14,58,14_cloak_robe_the robe_take off,"['cloak', 'robe', 'the robe', 'take off', 'your cloak', 'hood', 'off', 'clothing', 'costume', 'of clothing']","['Checkmate! Now take off the hood.', 'Checkmate! I get your cloak!', 'Now, take off the cloak.']"
15,58,15_checkmate_checkmate you_checkmate checkmate_checkmate now,"['checkmate', 'checkmate you', 'checkmate checkmate', 'checkmate now', 'bitch checkmate', 'run', 'back', 'checkmate and', 'time checkmate', 'gotta run']","['Checkmate!  Now give us back Betty White.”', 'Checkmate! Now give Betty White back!', 'Checkmate!']"
16,51,16_bergman_ingmar bergman_ingmar_bergman film,"['bergman', 'ingmar bergman', 'ingmar', 'bergman film', 'film', 'that bergman', 'bergman movie', 'movie', 'the ingmar', 'fan']","['Screw Ingmar Bergman...CHECKMATE!', 'Ingmar Bergman’s The Seventh Seal\r\n“The Musical”', 'This isn’t Ingmar Bergman!']"
17,48,17_covid_boosted_vaccine_booster,"['covid', 'boosted', 'vaccine', 'booster', 'cancer', 'vaccinated', 'vaccines', 'the vaccine', 'booster shot', 'shot']","[""I'm vaccinated........and boosted!"", 'I’m fully vaccinated and double-boosted, so it’s check and mate for you COVID death shadow', 'Covid vaccine!']"
18,48,18_clock_your time_time_up,"['clock', 'your time', 'time', 'up', 'the clock', 'time is', 'is up', 'time up', 'ran out', 'ran']","['Sorry,Bruce,your time on the clock just ran out.', 'Your time’s up!', ""I'm sorry, but your time is up.""]"
