caption,topic
What do you mean I don’t have time for another game?,4
Hah. Now it’s only taxes.,5
Grim loser is more like it.,29
Well I’ll be damned.,-1
"Whadda ya mean, “it’s my last move?!”",19
Leonard soon learns what it means to win the battle and lose the war.,1
How's  that for a death defying move!,8
"A soul? That’s a good one, I’m a lawyer.",50
"I may live to regret this, but CHECKMATE!",15
"Winners keepers, losers reapers.""",36
How about one more game just for the hell of it?,4
Hold up! You can’t take my pieces by just claiming their time has come.,18
I've beaten Death! Next up -- taxes!,5
"Are you trying to cheat, Death?",0
Over my dead body!,-1
"Apparently,you CAN cheat death!",0
Would it kill you to let me win,1
Checkmate! Now give Betty White back!,15
"Vaccinated, boosted and checkmate.",17
And now for my final move,19
Now if you'll kindly move along. Taxes has next match.,5
Sudden death overtime?,20
Gotta run! I have a date with Destiny!,85
"Now that I've beaten Death, I'm taking on taxes!",5
HAH! I'm gonna remember this win till the day I die!,1
"Now look who's cheating, Death!",0
"Checkmate!  Now go ""collect"" my mother-in-law like you promised.",79
"Looking pretty grim, eh?",29
I’ll give you a do-over if you give me one someday.,51
A deal's a deal--give me the get out of hell free card.,63
Who says you can't beat death?,21
aaand check! Hah! I'm gonna win this game if it's the last thing I do!,31
Ha! And tomorrow I'm taking on TAXES!,5
Checkmate! Guess you got the short end of the Styx!,-1
"Not so tough without your scythe, are you!",30
You are so dead.,54
Enjoying your end game?,10
Let’s see this ‘final move’ you keep  talking about.,19
"So, what’s the endgame?",10
You’re digging your own grave with that move,8
"Make a move already, you're killing me",25
"So if I win, will you have a chat with the Supreme Court?",66
Ha! You were easier to beat then Taxes.,5
Reap this!,61
"Sorry, your time’s up.",18
That’s one each.  Sudden death?,20
"So, you can handle death but not the agony of defeat.",21
Now you only have one horseman.,62
Nice execution,-1
"Despite his better judgment,Dave attempted to cheat death.",0
Perhaps you’d prefer The Game of Life.,4
"Oh death, where is thy king.",7
More like Grim Loser.,29
"Never saw that coming, did you? Not such a great feeling, is it?",26
"Are you accusing me of cheating, Death?",0
Suppose I just sacrifice my queen instead?,6
Don’t feel too bad - I beat taxes too!,5
You should know never to ignore the pale horse.,62
"Oh, yes, Henry, that's a killer move.",8
"You can take my soul, but not before I take your queen.",6
Maybe you needed some skin in the game.,89
"Checkmate, skinny!  That means I get to live, I get the scythe, and I guess YOU are on your way to Mar-a-Lago!",30
Checkmate! And people said you were gonna kill me.,-1
How could you of all people not see that coming?,26
"Who’s knocking on Death’s door now, baby?",-1
Check mate! One apiece…Up for sudden death?,20
You’ll win over my dead body!,-1
Forget reaping. What's grim is your chess game.,-1
"So, how does ""sudden death"" apply to you?",20
Checkmate! You know my mother-in-law's address?,79
"Rules are rules, now lose the robe.",14
Looks like my endgame is better than yours.,10
"James… I love the confidence, but that is an illegal move. You cannot cheat death.",0
"Aha! Now,the only thing sure in life is taxes!",5
I’ll remember this for the rest of my life.,4
Who’s the little grim weeper?,29
"A guy from Georgia told me you're a lousy fiddler player, too!",44
"Checkmate!""
""Your timer is up!",15
Best out of infinity?,13
"In the end, Death had to settle for flipping Gary the bird, which still felt pretty good.",-1
Mate! And I also slept with your wife!,0
I thought you'd be better at the endgame.,10
"You made a grave mistake, my friend!",-1
REAP this Pal !!!,61
Never take on the IRS.,5
Grave mistake!,-1
Do I have time for another game?,4
Ha! Who says you can't cheat death?,0
I forgot to mention that I am a sore loser!,40
They say you can’t cheat death… but I guess you can beat it.,0
Now you know how it feels!,-1
"Ironically, your end game is terrible.",10
Now we’re dead even.,-1
You had no skin in the game.,89
And don't take an eternity this turn.,-1
"If you really wanted my soul for all eternity, you should’ve challenged me to a round of golf.",50
"Now I only have to beat taxes.""",5
"Ha! Checkmate. Aw, don't look so grim.",86
"I already told you, there's no sudden death in chess.",2
"I guess it’s Sudden Death, isn’t it.",20
It's a shame that immediately after the big win Steve got hit by a bus.,0
Checkmate. Now bring back Prince.,-1
"You may have the Republican Party, but I have your King.",7
"Not so powerful without your horsemen, are you?",62
Sudden death? Sure.,20
Death is overrated.,37
Are you going to the Met Gala after this ?,-1
Rematch? Over my dead body.,59
"You lose, take it off!",1
And that's when I learned that winning isn't everything.,1
Now I go after taxes!,5
"Technically I win… But, I have a strong feeling you’ll be having the last word",1
Now THIS is something to feel grim about.,29
"And that, sir, is how you cheat Death!",0
"This may be the Death of me, but checkmate!!",11
Now let's play for taxes!,5
It turns out you can cheat death,0
I vote we call it a draw and forego sudden death.,67
"George, once again, fails to read the room.",7
Your last move was a grave error!,-1
"Check mate, I get my wish:  take the Supreme Court instead of me!",66
"Not as fun to watch the clock running out for yourself, is it?",18
"Don't look so grim, you'll win eventually.",29
I’m your worst knightmare.,33
"You lost, Death. Be not proud.",81
"Check! It’s looking grim, Reaper!",29
"You of all people should know you can't cheat, Death!",0
"...of course not, I would never consider cheating death.
Hey, look at that bird!",0
Stalemate! Immortality it is!,-1
"Killer move, dude!",8
And they said nobody beats Death.,21
You were doomed from the start.,-1
That completes my bucket list.,5
"Oh come on Death, be not proud.",81
You seem to have lost your killer instinct.,8
"Well, you can't cheat death, but it looks like you  can certainly beat it.",0
"I win again, but does every match have to be ""sudden death""?",20
I guess it's just not your day.  But the good news is I won.  So it's not mine either.,42
Sudden death?,20
Who says you can’t cheat Death??,0
Ha! Roe stands!,58
"I win, go use your scythe to cut my grass!",30
Looks like I’ve cheated Death yet again!,0
"Don’t feel bad, last week I beat the IRS.",5
We'd better finish up quick. I've got the taxman coming at 3.,5
"Despite his victory being short-lived, Bob couldn’t help but gloat.",90
Now I just have to worry about my taxes.,5
I hear you always do well in sudden death rounds.,20
Go ahead. It's your funeral.,53
I’d say you made a grave error there.,-1
Come closer so I can tell you what you've won.,1
"You did well with the plague, I’ll give you that, but you left your Queen wide open!",6
"Checkmate"" feels presumptuous. Let's just say ""good game"" and go our separate ways",31
And they say you can't beat death.,21
Check!  Now go find an anti-vaxxer to play with.,17
Tom's feeling of joie de vivre was fleeting,90
You should have seen this coming.,26
Checkmate—now give me back my pacemaker.,15
Check! You're as good as dead!,3
"Actually, one can cheat death.",0
The game just started.  How can it be sudden death,20
Of course I cheated!  That's why they call it 'cheating death'!,0
CHECKMATE! I've been DYING to make that move!,38
"You’re stopping the clock? So, I win?",18
What are you gonna do? Kill me?,-1
I win again! Same time tomorrow?,-1
"No, I didn’t “cheat Death.” You’re just terrible at chess.",2
The Devil didn’t think I could fiddle better than him either.,44
How do you expect to collect my soul when you can’t even take my King?,7
"Though not a dare-devil, Stuart still found a way to cheat death.",0
