percent_male,male_count,female_count,word
100.0,1,0,number
100.0,1,0,come
28.67,2,1,conversation
44.57,4,1,hole
37.61,3,1,beside
100.0,1,0,struggle
100.0,1,0,bothered
100.0,4,0,sits
100.0,4,0,little
100.0,1,0,close
100.0,4,0,island
100.0,1,0,bucked
100.0,1,0,width
100.0,1,0,clerk
0.0,0,1,parade
100.0,2,0,grill
100.0,1,0,letter
100.0,1,0,more
100.0,1,0,beverage
100.0,1,0,kid's
100.0,1,0,held
100.0,1,0,newspaper
100.0,1,0,shop
100.0,3,0,lamp
100.0,1,0,shepherd
0.0,0,1,dress
16.73,1,1,fear
100.0,1,0,puppet
100.0,1,0,makes
0.0,0,1,replaced
100.0,1,0,upside
100.0,18,0,into
25.09,5,3,cave
66.78,10,1,their
100.0,2,0,it's
100.0,1,0,saying
100.0,2,0,fins
0.0,0,1,peeking
100.0,1,0,along
50.12,5,1,its
100.0,1,0,family
100.0,1,0,sleepwalking
100.0,1,0,computers
100.0,3,0,hanging
54.07,41,7,there
23.16,3,2,dressed
100.0,1,0,exiting
9.13,1,2,modern
28.67,2,1,going
44.57,4,1,taking
100.0,1,0,reaching
100.0,1,0,cigar
100.0,2,0,grocery
48.84,19,4,holding
100.0,1,0,organ
100.0,2,0,line
100.0,1,0,not
26.93,11,6,room
100.0,2,0,clothing
100.0,2,0,genie
23.16,3,2,expression
100.0,1,0,dorsal
0.0,0,1,snowman
0.0,0,1,gestures
100.0,1,0,sheep
100.0,1,0,pleased
100.0,1,0,mess
100.0,4,0,what
100.0,1,0,expecting
100.0,1,0,golf
0.0,0,1,mosquitoes
100.0,3,0,above
0.0,0,1,series
100.0,4,0,boat
100.0,1,0,crushed
100.0,1,0,columns
33.44,5,2,knight
100.0,2,0,computer
100.0,1,0,miniature
100.0,1,0,reads
100.0,1,0,guard
16.73,1,1,floor
100.0,1,0,cavepeople
0.0,0,2,cup
100.0,1,0,sub
100.0,3,0,scientist
100.0,2,0,customers
100.0,1,0,filling
100.0,1,0,costumes
100.0,1,0,seeing
100.0,2,0,yoga
0.0,0,1,halo
6.28,1,3,shocked
100.0,3,0,air
100.0,1,0,crossed
0.0,0,1,taken
100.0,1,0,field
100.0,1,0,wise
100.0,1,0,bringing
100.0,1,0,implied
100.0,2,0,ground
100.0,1,0,frightened
100.0,5,0,menu
100.0,2,0,crown
100.0,2,0,lizard
100.0,2,0,glasses
100.0,1,0,alligator
100.0,1,0,using
100.0,1,0,rocks
0.0,0,2,offering
100.0,1,0,discussing
28.67,2,1,street
40.59,34,10,sitting
50.12,5,1,three
100.0,1,0,cook
100.0,1,0,taller
100.0,1,0,toast
100.0,1,0,cigarette
100.0,1,0,swallowing
100.0,1,0,whal
100.0,4,0,tub
100.0,2,0,work
100.0,1,0,chefs
50.12,10,2,down
28.67,6,3,back
100.0,3,0,seem
61.65,8,1,watching
100.0,1,0,much
0.0,0,1,sized
0.0,0,1,hers
16.73,1,1,stove
100.0,2,0,cannonball
100.0,1,0,approaches
100.0,1,0,red
0.0,0,2,party
100.0,1,0,branch
100.0,1,0,sad
100.0,1,0,grand
100.0,1,0,radiator
100.0,1,0,leaning
100.0,1,0,embedded
100.0,1,0,debating
100.0,2,0,lion
100.0,1,0,tanning
28.67,2,1,appear
100.0,2,0,cacti
100.0,1,0,bearded
100.0,2,0,patron
100.0,1,0,plants
100.0,1,0,helping
100.0,3,0,cloud
100.0,1,0,thone
100.0,1,0,lets
100.0,1,0,apron
100.0,1,0,checking
