,caption,topic,aggregated_theme
53269,"i’m sorry ma’am. we do have diesel and petrol, but not ketchup.”",-1,Family roles
20095,kathy wants to know if you like her. check the 'yes' or 'no' box.,-1,Family roles
49,my wife wants me to understand how it feels to have people walking all over me.,-1,Family roles
48,mom was right. they really did walk all over me.,-1,Family roles
45,i'm still have faith in trickle-down economics.,-1,Family roles
44,my mother was right. i always let people walk all over me.,-1,Family roles
43,i'm starting to think my wife is right. i do let people walk all over me.,-1,Family roles
38,my wife always says that i let people walk all over me.,-1,Family roles
37,"mom,i hope you can hear me up there. most people would rather walk over something than pick it up.",-1,Family roles
53282,"lady, i wouldn't be selling them at a gas station if it was an all-beef wiener from a cow who ate only organic grass in a bun made with unbleached wholewheat flour!",-1,Family roles
53281,her fuel efficiency is the wurst part.,-1,Family roles
53279,"sorry ma’am, it appears to be having some internal trouble. we think it might be ed or a timing belt failure. honestly, i’m not really sure which is worse.",-1,Family roles
53278,just gotta change your relish ma’am.  @faiseydaisy,-1,Family roles
53276,"ma’am, you can’t park the competition in front of the store.",-1,Family roles
53273,"yeah, it’s what i thought, she’s runnin’ hot.",-1,Family roles
51,"my wife says i shouldn't let people walk all over me, but i'm not taking that lying down.",-1,Family roles
20090,im no dummy i found the letter you wrote my wife,-1,Family roles
53292,she’s running sluggish so i’ll add some hot sauce. that’ll get her cooking.,-1,Family roles
53291,"ma’am there seems to be a bun- umm, a bug*. there seems to be a bug",-1,Family roles
53290,"sorry, we're out of  gas and  buns.what's a hot gal like you doin' at a place like this? stay put and i'll  get  you a free drink.",-1,Family roles
53289,"sure hot dogs are made from lips and assholes, but this baby needs oil and she’s low",-1,Family roles
20,my wife says i let people walk all over me...do you think that's true?,-1,Family roles
18,"if i even save one mother's back, it's worth it.",-1,Family roles
17,like my wife keeps telling me i let people walk all over me.,-1,Family roles
20085,"bill, here are mike and my per diems for charlotte.",-1,Family roles
15,she's right. i do let people walk all over me.,-1,Family roles
14,my wife's right! i do let people walk all over me.,-1,Family roles
13,i prefer women in skirts.,-1,Family roles
11,she's right! she's right! everybody does just walk all over me!,-1,Family roles
10,i'm starting to think that it might have something to do with my mother.,-1,Family roles
9,"""stand closer to the window,"" she said. ""what could possibly go wrong?"" she said.",-1,Family roles
53299,i told you … you’ve got to stop filling the tank so full. she’s gaining weight!,-1,Family roles
21539,she came out of the central park reservoir and just left it there.,-1,Family roles
62,"..me lazy! i'll show her. tomorrow; early next week, tops.",-1,Family roles
60,tiffany and i are thinking of going off the grid.,-1,Family roles
21535,every so often she likes to show her subordinates that she can exert a lot of strength.,-1,Family roles
54,i guess my ex-wife and that therapist we're right; i do let people walk over me!,-1,Family roles
