percent_male,male_count,female_count,word
100.0,1,0,burgers
100.0,2,0,work
100.0,2,0,wet
100.0,2,0,thing
0.0,0,1,parade
100.0,1,0,guard
100.0,1,0,not
0.0,0,1,slightly
100.0,2,0,or
100.0,3,0,business
33.44,5,2,that
100.0,3,0,tie
66.78,20,2,from
100.0,1,0,shoveling
100.0,1,0,snail
100.0,2,0,bear
23.16,3,2,dressed
100.0,1,0,speech
100.0,1,0,plane
46.91,277,63,is
100.0,1,0,truck
0.0,0,1,gas
100.0,3,0,soup
0.0,0,1,astronaut's
100.0,2,0,hammock
50.12,5,1,person
100.0,1,0,close
37.61,3,1,third
100.0,1,0,talks
100.0,1,0,straight
46.07,34,8,an
100.0,1,0,swallowing
28.67,4,2,bar
100.0,2,0,interrupted
100.0,2,0,grocery
0.0,0,1,joggers
100.0,2,0,medieval
100.0,1,0,purchasing
100.0,1,0,donut
100.0,1,0,expecting
100.0,1,0,now
100.0,1,0,hamburger
100.0,2,0,grill
100.0,3,0,therapist
100.0,1,0,enjoys
16.73,1,1,eating
100.0,2,0,board
100.0,1,0,mountains
43.16,68,18,at
100.0,1,0,fours
100.0,5,0,kitchen
28.67,2,1,left
100.0,5,0,trying
100.0,1,0,sad
0.0,0,1,get
100.0,1,0,seeing
100.0,2,0,skeleton
100.0,1,0,fending
100.0,1,0,clown
100.0,2,0,egg
100.0,1,0,dejected
100.0,1,0,occupied
100.0,1,0,ways
100.0,3,0,giving
100.0,1,0,cook
100.0,1,0,hangs
100.0,1,0,then
100.0,2,0,see
100.0,1,0,gallery
100.0,2,0,hiking
100.0,1,0,crossed
100.0,1,0,host
48.84,19,4,holding
16.73,1,1,drinks
0.0,0,1,black
0.0,0,2,hazmat
100.0,1,0,outstretched
0.0,0,1,insects
28.67,2,1,cherry
100.0,3,0,strapped
100.0,1,0,dorsal
0.0,0,1,deep
100.0,1,0,pizza
100.0,1,0,twice
100.0,1,0,beach
23.16,3,2,expression
100.0,1,0,businessman
100.0,1,0,trapped
100.0,1,0,cavepeople
100.0,1,0,spraying
100.0,1,0,inset
100.0,1,0,defending
100.0,1,0,fireplace
100.0,1,0,hovering
100.0,1,0,identification
100.0,1,0,entangled
0.0,0,1,object
