Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,1010,-1_plymouth_farmers_like_trophy,"['plymouth', 'farmers', 'like', 'trophy', 'really', 'almanac', 'treasure', 'cowboys', 'know', 'said']","['farmers insurance know thing two seen thing two', 'really trophy', 'look beyond shirts actually make cute couple']","['farmers insurance know thing two seen thing two', 'really trophy', 'look beyond shirts actually make cute couple']"
0,194,0_hunters_gatherers_barrel_hunted,"['hunters', 'gatherers', 'barrel', 'hunted', 'bird', 'duck', 'monkey', 'death', 'spears', 'hunting']","['hunters gatherers called', 'look hunters', 'hunters last']","['hunters gatherers called', 'look hunters', 'hunters last']"
1,192,1_look_hear_said_lord,"['look', 'hear', 'said', 'lord', 'good', 'think', 'new', 'sure', 'like', 'tell']","['listen tell say lord', 'even look', 'look like']","['listen tell say lord', 'even look', 'look like']"
2,162,2_grow_mama_mother_let,"['grow', 'mama', 'mother', 'let', 'baby', 'letting', 'feel', 'mamma', 'blame', 'want']","['mama let grow', 'mama let grow', 'mama let grow']","['mama let grow', 'mama let grow', 'mama let grow']"
3,154,3_headhunter_head_headhunters_hiring,"['headhunter', 'head', 'headhunters', 'hiring', 'corporate', 'new', 'job', 'hire', 'said', 'interview']","['said headhunter', 'found headhunter', 'headhunter also head']","['said headhunter', 'found headhunter', 'headhunter also head']"
4,138,4_sheep_shepherds_shepherding_flock,"['sheep', 'shepherds', 'shepherding', 'flock', 'crook', 'wolf', 'wool', 'flocks', 'gig', 'watching']","['counting sheep shepherding sheep tell difference', 'sheep shepherds clothing', 'shepherds h e p h e r']","['counting sheep shepherding sheep tell difference', 'sheep shepherds clothing', 'shepherds h e p h e r']"
5,127,5_cowboys_indians_urban_damn,"['cowboys', 'indians', 'urban', 'damn', 'play', 'dallas', 'bowlegged', 'french', 'york', 'fun']","['damn urban cowboys', 'urban cowboys', 'urban cowboys']","['damn urban cowboys', 'urban cowboys', 'urban cowboys']"
6,110,6_singing_piano_music_song,"['singing', 'piano', 'music', 'song', 'play', 'guitar', 'town', 'songs', 'pianist', 'singer']","['singing never went anywhere without piano', 'see singing back town', 'another singing']","['singing never went anywhere without piano', 'see singing back town', 'another singing']"
7,95,7_gatherer_gatherers_diet_gather,"['gatherer', 'gatherers', 'diet', 'gather', 'hi', 'used', 'team', 'tonight', 'higher', 'stone']","['tell gatherer', 'really rather gatherer', 'really gatherer']","['tell gatherer', 'really rather gatherer', 'really gatherer']"
8,93,8_horse_pommel_ride_save,"['horse', 'pommel', 'ride', 'save', 'saddle', 'rides', 'horses', 'simone', 'thinks', 'sure']","['pommel horse', 'take horse horse', 'take horse but take horse']","['pommel horse', 'take horse horse', 'take horse but take horse']"
9,91,9_huntergatherer_huntergatherers_thing_huntergathers,"['huntergatherer', 'huntergatherers', 'thing', 'huntergathers', 'huntergathering', 'relationship', 'chandelier', 'huntergriller', 'lenny', 'day']","['hope huntergatherer', 'look huntergatherer', 'look else huntergatherer']","['hope huntergatherer', 'look huntergatherer', 'look else huntergatherer']"
10,85,10_farmers_local_carrot_future,"['farmers', 'local', 'carrot', 'future', 'america', 'support', 'welcome', 'united', 'organization', 'seen']","['like support local farmers local mean within galaxy', 'like support local farmers local mean within galaxy', 'first farmers']","['like support local farmers local mean within galaxy', 'like support local farmers local mean within galaxy', 'first farmers']"
11,82,11_lumberjacks_love_hipsters_dress,"['lumberjacks', 'love', 'hipsters', 'dress', 'phew', 'like', 'worry', 'fall', 'look', 'relax']","['lumberjacks ok', 'really lumberjacks dress like', 'think tell lumberjacks']","['lumberjacks ok', 'really lumberjacks dress like', 'think tell lumberjacks']"
12,76,12_market_farmers_apples_organic,"['market', 'farmers', 'apples', 'organic', 'produce', 'table', 'food', 'sorry', 'mushrooms', 'mr']","['got back farmers market', 'take farmers market', 'see farmers market']","['got back farmers market', 'take farmers market', 'see farmers market']"
13,74,13_coffee_espresso_looks_cappuccino,"['coffee', 'espresso', 'looks', 'cappuccino', 'beans', 'like', 'pardner', 'machine', 'cup', 'guess']","['guess coffee', 'coffee must urban cowboys', 'much coffee']","['guess coffee', 'coffee must urban cowboys', 'much coffee']"
