Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,4605,-1_owner_new_said_owners,"['owner', 'new', 'said', 'owners', 'know', 'think', 'yes', 'sword', 'previous', 'like']","['yes still time', 'said keep going', 'think need new']","['yes still time', 'said keep going', 'think need new']"
0,913,0_owner_previous_owners_grew,"['owner', 'previous', 'owners', 'grew', 'original', 'moved', 'died', 'prior', 'house', 'ownership']","['one owner', 'previous owners eleven', 'one previous owner']","['one owner', 'previous owners eleven', 'one previous owner']"
1,269,1_dog_pet_dogs_pets,"['dog', 'pet', 'dogs', 'pets', 'animal', 'doghouse', 'owners', 'house', 'ownership', 'cats']","['pet owners think next', 'like pet owners', 'dog dogs owner']","['pet owners think next', 'like pet owners', 'dog dogs owner']"
2,265,2_chef_food_menu_kitchen,"['chef', 'food', 'menu', 'kitchen', 'lunch', 'restaurant', 'diet', 'meal', 'eat', 'dining']","['told chef thought said execute chef', 'asked food menu list failed orders president', 'one way become chef']","['told chef thought said execute chef', 'asked food menu list failed orders president', 'one way become chef']"
3,209,3_cretaceous_period_jurassic_late,"['cretaceous', 'period', 'jurassic', 'late', 'extinction', 'end', 'cretaceoustertiary', 'era', 'triassic', 'dinosaur']","['thought cretaceous period', 'well always cretaceous', 'cretaceous already']","['thought cretaceous period', 'well always cretaceous', 'cretaceous already']"
4,194,4_pull_pulls_legend_gets,"['pull', 'pulls', 'legend', 'gets', 'able', 'rightful', 'say', 'pulled', 'person', 'remove']","['pull become', 'pull get', 'pull get']","['pull become', 'pull get', 'pull get']"
5,168,5_accountants_accounting_hurrah_marching,"['accountants', 'accounting', 'hurrah', 'marching', 'fun', 'loose', 'strike', 'certified', 'lemmings', 'victory']","['well accountants time see anyone yet', 'accountants top', 'see accountants']","['well accountants time see anyone yet', 'accountants top', 'see accountants']"
6,155,6_ceos_executives_corporate_wearing,"['ceos', 'executives', 'corporate', 'wearing', 'ladder', 'office', 'oil', 'seen', 'senior', 'earnings']","['pick ceos', 'get right first time ceos office', 'looks like ceos fire']","['pick ceos', 'get right first time ceos office', 'looks like ceos fire']"
7,138,7_cpa_cpas_cpac_audit,"['cpa', 'cpas', 'cpac', 'audit', 'taxes', 'sherpa', 'deductions', 'problem', 'refund', 'looks']","['said let us get away cpa', 'cpa came', 'listen charming call cpa cpa cpa']","['said let us get away cpa', 'cpa came', 'listen charming call cpa cpa cpa']"
8,124,8_lovely_referring_attorney_counsel,"['lovely', 'referring', 'attorney', 'counsel', 'stop', 'justice', 'lawyer', 'beautiful', 'witness', 'prosecutor']","['please stop referring counsel lovely', 'please stop referring counsel lovely', 'stop referring attorney lovely']","['please stop referring counsel lovely', 'please stop referring counsel lovely', 'stop referring attorney lovely']"
9,117,9_consultants_ginger_management_hiring,"['consultants', 'ginger', 'management', 'hiring', 'report', 'agree', 'brought', 'hired', 'help', 'sugar']","['sorry take consultants', 'let us get consultants', 'yes consultants']","['sorry take consultants', 'let us get consultants', 'yes consultants']"
10,113,10_plant_potted_cannabis_monsanto,"['plant', 'potted', 'cannabis', 'monsanto', 'seeds', 'new', 'marijuana', 'herbaceous', 'suspected', 'roots']","['think new plant', 'new plant take', 'new plant']","['think new plant', 'new plant take', 'new plant']"
11,101,11_managers_hr_management_middle,"['managers', 'hr', 'management', 'middle', 'black', 'boost', 'special', 'autocorrected', 'capacity', 'plink']","['another managers special', 'heard managers', 'managers look part']","['another managers special', 'heard managers', 'managers look part']"
12,97,12_new_met_meet_looking,"['new', 'met', 'meet', 'looking', 'hi', 'regional', 'chad', 'heard', 'welcome', 'studio']","['met new', 'see met new', 'met new yet']","['met new', 'see met new', 'met new yet']"
13,94,13_auditors_irs_archers_ready,"['auditors', 'irs', 'archers', 'ready', 'enemy', 'army', 'audit', 'drawbridge', 'hoarde', 'resumecrusade']","['yes auditors', 'yes auditors', 'auditors see everything']","['yes auditors', 'yes auditors', 'auditors see everything']"
14,91,14_arthur_king_flour_pendragon,"['arthur', 'king', 'flour', 'pendragon', 'named', 'merlin', 'arthurian', 'retires', 'approach', 'select']","['pull new arthur', 'pull arthur new', 'arthur became']","['pull new arthur', 'pull arthur new', 'arthur became']"
15,84,15_association_homeowners_homeowner_home,"['association', 'homeowners', 'homeowner', 'home', 'noise', 'basis', 'dues', 'lawn', 'nature', 'meeting']","['homeowners association help', 'last homeowners association', 'homeowners association anything']","['homeowners association help', 'last homeowners association', 'homeowners association anything']"
16,82,16_bankers_street_wall_flying,"['bankers', 'street', 'wall', 'flying', 'bank', 'goldman', 'regulators', 'banks', 'wells', 'south']","['bankers street', 'bankers get see could', 'take us bankers']","['bankers street', 'bankers get see could', 'take us bankers']"
17,82,17_homeowners_cover_policy_covered,"['homeowners', 'cover', 'policy', 'covered', 'homeowner', 'god', 'covers', 'home', 'deductible', 'outoftowners']","['homeowners cover one', 'perhaps homeowners fire cover', 'homeowners may cover']","['homeowners cover one', 'perhaps homeowners fire cover', 'homeowners may cover']"
18,76,18_elevator_floor_railroad_slide,"['elevator', 'floor', 'railroad', 'slide', 'chairs', 'train', 'apartment', 'brass', 'sorry', 'wanted']","['sorry elevator executives', 'must elevator', 'sorry elevator']","['sorry elevator executives', 'must elevator', 'sorry elevator']"
19,74,19_clown_clowns_circus_car,"['clown', 'clowns', 'circus', 'car', 'clownerator', 'problem', 'drove', 'cpa', 'hood', 'trunk']","['previous owner clown could tell', 'clown car', 'previous owner clown']","['previous owner clown could tell', 'clown car', 'previous owner clown']"
20,74,20_lab_maze_mice_mouse,"['lab', 'maze', 'mice', 'mouse', 'cheese', 'rat', 'experiment', 'laboratory', 'rodent', 'research']","['lab looking', 'good news went lab rat lab', 'nice see one lab mice promoted lab']","['lab looking', 'good news went lab rat lab', 'nice see one lab mice promoted lab']"
21,73,21_desk_sword_pull_pulls,"['desk', 'sword', 'pull', 'pulls', 'remove', 'rightful', 'true', 'able', 'whomever', 'crowned']","['pull sword desk become', 'pull sword desk get', 'pull sword desk become']","['pull sword desk become', 'pull sword desk get', 'pull sword desk become']"
22,70,22_mileage_low_miles_mile,"['mileage', 'low', 'miles', 'mile', 'barely', 'emissions', 'fuel', 'previous', 'gas', 'owner']","['low mileage one owner', 'one owner low mileage', 'one owner low mileage']","['low mileage one owner', 'one owner low mileage', 'one owner low mileage']"
23,69,23_water_swim_drowners_drowning,"['water', 'swim', 'drowners', 'drowning', 'boat', 'sink', 'handle', 'paperwork', 'drink', 'glass']","['would hire want company water', 'would like keep says water', 'know always seems keep water']","['would hire want company water', 'would like keep says water', 'know always seems keep water']"
24,68,24_downer_downers_uppers_upper,"['downer', 'downers', 'uppers', 'upper', 'debbie', 'guys', 'mix', 'real', 'reentry', 'summitting']","['always downer', 'always downer', 'always much downer']","['always downer', 'always downer', 'always much downer']"
25,68,25_pulleth_whoso_rightwise_desk,"['pulleth', 'whoso', 'rightwise', 'desk', 'sword', 'shall', 'born', 'wise', 'washroom', 'company']","['legend whoso pulleth sword desk rightwise', 'whoso pulleth sword desk rightwise new', 'whoso pulleth sword desk rightwise']","['legend whoso pulleth sword desk rightwise', 'whoso pulleth sword desk rightwise new', 'whoso pulleth sword desk rightwise']"
26,66,26_buyers_market_sellers_model,"['buyers', 'market', 'sellers', 'model', 'location', 'potential', 'rider', 'priced', 'hearing', 'negotiate']","['buyers market back', 'buyers market', 'buyers market']","['buyers market back', 'buyers market', 'buyers market']"
27,66,27_washroom_key_bathroom_bathrooms,"['washroom', 'key', 'bathroom', 'bathrooms', 'toilet', 'keys', 'wash', 'urgently', 'access', 'clogged']","['pull get key washroom', 'keep washroom key', 'key washroom']","['pull get key washroom', 'keep washroom key', 'key washroom']"
28,66,28_dyslexic_dyslexia_lucky_god,"['dyslexic', 'dyslexia', 'lucky', 'god', 'calls', 'fortunately', 'owner', 'reading', 'yeah', 'luckily']","['owner dyslexic', 'dyslexic owner', 'owner may dyslexic']","['owner dyslexic', 'dyslexic owner', 'owner may dyslexic']"
29,66,29_commander_commanderinchief_tweets_twitter,"['commander', 'commanderinchief', 'tweets', 'twitter', 'list', 'commanderinchiefs', 'military', 'citizens', 'medals', 'tweeted']","['well commander insists receive tweets', 'list commander president', 'tweets commander']","['well commander insists receive tweets', 'list commander president', 'tweets commander']"
30,66,30_pick_select_way_selection,"['pick', 'select', 'way', 'selection', 'process', 'choose', 'selecting', 'method', 'choosing', 'traditional']","['new selection process', 'good way pick next', 'new way pick']","['new selection process', 'good way pick next', 'new way pick']"
31,64,31_bestseller_bestsellers_list_york,"['bestseller', 'bestsellers', 'list', 'york', 'nyt', 'monster', 'times', 'runaway', 'author', 'book']","['everyone nyt bestseller', 'new york times bestseller', 'say really bestseller']","['everyone nyt bestseller', 'new york times bestseller', 'say really bestseller']"
32,64,32_umbrella_coverage_policy_needed,"['umbrella', 'coverage', 'policy', 'needed', 'recommended', 'suggested', 'bigger', 'larger', 'sold', 'increase']","['umbrella coverage free homeowners policy', 'recommended umbrella coverage', 'recommended get umbrella coverage']","['umbrella coverage free homeowners policy', 'recommended umbrella coverage', 'recommended get umbrella coverage']"
33,63,33_clothing_dress_code_wear,"['clothing', 'dress', 'code', 'wear', 'sheeps', 'dressed', 'job', 'dressing', 'wolf', 'attire']","['maybe right sheeps clothing might worked better clothing', 'said sheeps clothing corporate chiefs clothing', 'say dress like wolf chiefs clothing']","['maybe right sheeps clothing might worked better clothing', 'said sheeps clothing corporate chiefs clothing', 'say dress like wolf chiefs clothing']"
34,60,34_school_college_schools_kindergarten,"['school', 'college', 'schools', 'kindergarten', 'grade', 'middle', 'affordable', 'tuition', 'elementary', 'university']","['could say new owner old school', 'previous owners moved middle school', 'previous owners high school']","['could say new owner old school', 'previous owners moved middle school', 'previous owners high school']"
35,60,35_square_peg_round_circle,"['square', 'peg', 'round', 'circle', 'hole', 'holes', 'pegs', 'squared', 'goes', 'squares']","['come said square', 'said new recruit like square peg round hole mad square hole', 'square peg']","['come said square', 'said new recruit like square peg round hole mad square hole', 'square peg']"
36,58,36_search_committee_firm_process,"['search', 'committee', 'firm', 'process', 'criteria', 'firms', 'begins', 'simplify', 'medieval', 'committees']","['search committee', 'search said best way find new', 'search company']","['search committee', 'search said best way find new', 'search company']"
37,57,37_motivated_bicycle_socks_highly,"['motivated', 'bicycle', 'socks', 'highly', 'sock', 'shoes', 'bike', 'shoe', 'motivational', 'saving']","['luck owner highly motivated wants buy bicycle', 'heard motivated', 'us motivated']","['luck owner highly motivated wants buy bicycle', 'heard motivated', 'us motivated']"
38,56,38_shred_shredder_document_disappear,"['shred', 'shredder', 'document', 'disappear', 'trick', 'lovely', 'paper', 'reassemble', 'shredding', 'make']","['shall shred document along thumb', 'shred lovely susan prove real working paper shredder', 'last act shred contract make disappear']","['shall shred document along thumb', 'shred lovely susan prove real working paper shredder', 'last act shred contract make disappear']"
39,55,39_fish_fishbowl_fishy_goldfish,"['fish', 'fishbowl', 'fishy', 'goldfish', 'living', 'cfo', 'seafood', 'aquarium', 'jokes', 'pond']","['mean cfo fish officer', 'carnival fish toss cfo fish officer', 'new cfo fish officer']","['mean cfo fish officer', 'carnival fish toss cfo fish officer', 'new cfo fish officer']"
40,55,40_cat_cats_catatonic_cans,"['cat', 'cats', 'catatonic', 'cans', 'tv', 'feed', 'food', 'crazy', 'state', 'friendly']","['guess could give whatever wants like cat owners', 'life great owners got cat', 'previous owner cat']","['guess could give whatever wants like cat owners', 'life great owners got cat', 'previous owner cat']"
41,54,41_white_staff_trumps_house,"['white', 'staff', 'trumps', 'house', 'trump', 'president', 'presidents', 'vice', 'qualified', 'cabinet']","['white house say', 'one wants pull become next white house staff', 'every white house staff one']","['white house say', 'one wants pull become next white house staff', 'every white house staff one']"
42,54,42_driveway_drove_left_took,"['driveway', 'drove', 'left', 'took', 'end', 'culdesac', 'previous', 'drive', 'yard', 'owner']","['previous owner never even left driveway', 'previous owner never left driveway', 'previous owner drove driveway']","['previous owner never even left driveway', 'previous owner never left driveway', 'previous owner drove driveway']"
43,53,43_hike_mountain_hiking_retreat,"['hike', 'mountain', 'hiking', 'retreat', 'flight', 'honey', 'airline', 'trail', 'airlines', 'jet']","['honey remind invited life along mountain hike', 'hike life', 'told take hike']","['honey remind invited life along mountain hike', 'hike life', 'told take hike']"
44,53,44_hot_dog_scheme_pyramid,"['hot', 'dog', 'scheme', 'pyramid', 'hotdog', 'vendors', 'friends', 'recruit', 'stand', 'delicious']","['may look like hot dog think part sort pyramid scheme', 'think hot dog running pyramid scheme', 'tell hot dog']","['may look like hot dog think part sort pyramid scheme', 'think hot dog running pyramid scheme', 'tell hot dog']"
45,51,45_sword_pull_withdraw_pulls,"['sword', 'pull', 'withdraw', 'pulls', 'gets', 'possesseth', 'grabs', 'glue', 'recall', 'slices']","['pull sword become', 'f pull sword get', 'one pull sword next']","['pull sword become', 'f pull sword get', 'one pull sword next']"
46,51,46_stocks_stock_advised_marketyada,"['stocks', 'stock', 'advised', 'marketyada', 'going', 'traditional', 'alpenstock', 'bosss', 'aligned', 'incessant']","['said going stocks thought becoming', 'told get stocks', 'put stocks']","['said going stocks thought becoming', 'told get stocks', 'put stocks']"
47,50,47_physicians_surgery_health_medicine,"['physicians', 'surgery', 'health', 'medicine', 'doctor', 'hospital', 'license', 'moreau', 'healthcare', 'denying']","['hold health vendors license', 'hospital administrators always looking new approaches medicine take blood pressure actually seems pretty high', 'sorry physicians doctor minutes']","['hold health vendors license', 'hospital administrators always looking new approaches medicine take blood pressure actually seems pretty high', 'sorry physicians doctor minutes']"
48,49,48_handkerchief_handkerchiefs_red_pocket,"['handkerchief', 'handkerchiefs', 'red', 'pocket', 'wokka', 'sleeve', 'mouth', 'babushka', 'glazed', 'lace']","['give handkerchief', 'found handkerchief', 'could handkerchief']","['give handkerchief', 'found handkerchief', 'could handkerchief']"
49,49,49_clean_freak_freaks_cleaned,"['clean', 'freak', 'freaks', 'cleaned', 'cleaners', 'cleaning', 'taken', 'dent', 'carr', 'original']","['previous owner bit clean freak', 'previous owner clean freak', 'please clean owner']","['previous owner bit clean freak', 'previous owner clean freak', 'please clean owner']"
