caption_index,category,funniness_score,contest_id,caption,cleaned_caption,topic,topic_probability
295,Sports and Fitness,28.07373271889401,0,personal trainer gave strict limit 10000 steps day,gave strict limit 10000 steps day,19,0.6998690748517173
2635,Sports and Fitness,23.852534562211986,0,decided spend day letting diverse group people pets walk,decided spend day letting diverse group people pets walk,-1,0.0
2698,Sports and Fitness,23.852534562211986,0,yoga teacher right give different perspective world,right give different perspective world,-1,0.0
2827,Sports and Fitness,23.852534562211986,0,yoga teacher says stop every morning matter 30 minutes mindfulness meditation,says stop every morning matter 30 minutes mindfulness meditation,-1,0.0
3728,Sports and Fitness,23.852534562211986,0,realized crazy marching anyway sodifferent schmifferenti fired drummer,realized crazy marching anyway sodifferent schmifferenti fired,19,1.0
6534,Sports and Fitness,24.682027649769584,1,pitchers catchers report,pitchers catchers report,2,1.0
7586,Sports and Fitness,30.986175115207377,2,promoting mat diversity,promoting mat diversity,-1,0.0
8284,Sports and Fitness,28.71889400921659,2,runners next studio left,runners next studio left,20,0.5204897345647913
8905,Sports and Fitness,27.870967741935484,2,ancient indian practice modern american studio diversity enough,ancient indian practice modern american studio diversity enough,-1,0.0
9101,Sports and Fitness,27.244239631336406,2,welcome diversity outreach program,welcome diversity outreach program,16,0.24685922590676626
9104,Sports and Fitness,27.244239631336406,2,think combo yoga mat prayer rug magic carpet satisfies diversity,think combo mat prayer rug magic carpet satisfies diversity,-1,0.0
9836,Sports and Fitness,26.4147465437788,2,gear may overrated reallythe lobby runner,gear may overrated reallythe lobby,-1,0.0
9846,Sports and Fitness,26.4147465437788,2,runners beyond hope class per se gathering across hall big mirror,runners beyond hope class per se gathering across hall big mirror,20,1.0
9858,Sports and Fitness,26.4147465437788,2,yoga use mats runners neither floor designated,use mats runners neither floor designated,20,0.5652361607688713
10066,Sports and Fitness,26.4147465437788,2,think runner yogi,think yogi,4,1.0
10075,Sports and Fitness,26.4147465437788,2,said attracted fit asians oriental runners,said attracted fit asians oriental runners,20,0.9640873893302242
11130,Sports and Fitness,26.4147465437788,2,tend flexible comes runners,tend flexible comes runners,20,0.8967594222425869
11604,Sports and Fitness,24.258064516129032,2,sorry asking sweetie tell pitchers catchers anymore,sorry asking sweetie tell pitchers catchers anymore,2,1.0
12237,Sports and Fitness,32.055299539170505,3,let us take diversity stuff far jenkins,let us take diversity stuff far jenkins,-1,0.0
13832,Sports and Fitness,27.244239631336406,3,course drummer conservative,course conservative,32,0.2564981409311174
13911,Sports and Fitness,27.244239631336406,3,probably noticed firm represents lot basketball players,probably noticed firm represents lot players,24,1.0
14023,Sports and Fitness,27.244239631336406,3,academy pushing diversity,academy pushing diversity,5,0.40808474051090227
14397,Sports and Fitness,27.244239631336406,3,hope next president simplifies diversity regulations,hope next president simplifies diversity regulations,32,1.0
14892,Sports and Fitness,27.244239631336406,3,good see company finally diversifying,good see company finally diversifying,0,1.0
14929,Sports and Fitness,27.244239631336406,3,diversity compliance toolbox,diversity compliance toolbox,16,0.3586611982435834
15125,Sports and Fitness,26.4147465437788,3,welcome diversity southpaw corporation,welcome diversity southpaw corporation,-1,0.0
15244,Sports and Fitness,26.4147465437788,3,well boss keeping promise create jobs promote diversity,well boss keeping promise create jobs promote diversity,-1,0.0
15769,Sports and Fitness,24.258064516129032,3,making strides ethnic diversity gender diversity still needs work,making strides ethnic diversity gender diversity still needs work,18,0.4735918717508257
16582,Sports and Fitness,31.59447004608295,4,know wax runners hit breaks sail right,know wax runners hit breaks sail right,20,0.4732645184134945
17739,Sports and Fitness,27.852534562211986,4,thought told grease runners hit bank,thought told grease runners hit bank,43,0.49068833080667745
18465,Sports and Fitness,25.91705069124424,4,knew waxed runners,knew waxed runners,20,0.5438049623769996
19038,Sports and Fitness,24.516129032258064,4,wait till dad finds greasing runners hair cream,wait till dad finds greasing runners hair cream,20,0.4232866491873552
19339,Sports and Fitness,23.37327188940092,4,sheriffs new model quite runner,sheriffs new model quite,10,0.7738225296461979
19759,Sports and Fitness,35.64976958525346,5,brag runner darwin award last year,brag darwin award last year,-1,0.0
21879,Sports and Fitness,26.4147465437788,5,wow cowcatcher make difference,wow cowcatcher make difference,-1,0.0
23839,Sports and Fitness,25.75115207373272,5,beep beep move roadrunner,beep beep move roadrunner,-1,0.0
23849,Sports and Fitness,25.75115207373272,5,fortunately train cowcatcher,fortunately train cowcatcher,-1,0.0
24758,Sports and Fitness,31.686635944700466,6,sometimes feel like character roadrunner cartoon,sometimes feel like character roadrunner cartoon,22,0.4674923563046111
25123,Sports and Fitness,30.359447004608295,6,knew road runner diner would realistic,knew road diner would realistic,22,0.44770663203946426
25239,Sports and Fitness,29.75115207373272,6,tell ya feel chuck todays day going catch road runner,tell ya feel chuck todays day going catch road,22,0.28512095682618915
25617,Sports and Fitness,29.75115207373272,6,life feels like road runner cartoon,life feels like road cartoon,22,0.4674923563046111
