caption_index,category,funniness_score,contest_id,caption,cleaned_caption,topic,topic_probability
26,"Public Safety, Military and Security",32.22119815668203,0,homicide detectives went buy chalk filling,detectives went buy chalk filling,34,0.39165400486975377
629,"Public Safety, Military and Security",26.930875576036872,0,instead drawing crude outline victims body detective case really displayed talent,instead drawing crude outline victims body case really displayed talent,34,0.2596567297474138
1013,"Public Safety, Military and Security",25.65898617511521,0,cop went back get chalk,went back get chalk,34,0.2795261488737761
1411,"Public Safety, Military and Security",25.493087557603687,0,stay crime scene cop draws chalk outline shows,stay crime scene draws chalk outline shows,34,0.32433299381684305
1990,"Public Safety, Military and Security",24.682027649769584,0,becoming artist c escher unsuccessful school crossing guard,becoming artist c escher unsuccessful school crossing,44,1.0
2038,"Public Safety, Military and Security",24.258064516129032,0,bets bet even denver get lucky job hunting become race demonstrate abilities world class corporate sycophant,bets bet even denver get lucky job hunting become race demonstrate abilities world class corporate sycophant,95,0.9527759171207176
2747,"Public Safety, Military and Security",23.852534562211986,0,ok going need bunch little give word lennie drop sheet copier paper jump whola finally page,ok going need bunch little give word lennie drop sheet copier paper jump whola finally page,7,1.0
3099,"Public Safety, Military and Security",23.852534562211986,0,definitely need traffic cop corner,definitely need traffic corner,44,0.7204371616696063
4764,"Public Safety, Military and Security",27.152073732718893,1,good news scoped tell keep going,good news scoped tell keep going,25,0.8085226885218447
5186,"Public Safety, Military and Security",26.525345622119815,1,wish never took see trumps helicopter,wish never took see trumps helicopter,0,0.9031585698395693
7728,"Public Safety, Military and Security",30.562211981566826,2,military yoga hall,yoga hall,29,0.8703026899825874
8081,"Public Safety, Military and Security",28.71889400921659,2,care flew bagdad laguardia still lumpy use,care flew bagdad laguardia still lumpy use,40,0.46366292926313346
9827,"Public Safety, Military and Security",26.525345622119815,2,agreebikram may work flying carpetbut close laguardia,agreebikram may work flying carpetbut close laguardia,40,0.19150978340546337
11768,"Public Safety, Military and Security",34.74654377880185,3,closelyguarded iphone 7 plus prototype,closelyguarded iphone 7 plus prototype,-1,0.0
12087,"Public Safety, Military and Security",33.08755760368663,3,remind demand side pays copying costs,remind demand side pays copying costs,3,0.730534166951193
15696,"Public Safety, Military and Security",25.75115207373272,3,ben want say two words futureare listening telescopic pointers pissy little take graduate,ben want say two words futureare listening telescopic pointers pissy little take graduate,53,1.0
15803,"Public Safety, Military and Security",41.253456221198164,4,knock marshallthere playpen county hold,knock marshallthere playpen county hold,11,1.0
16081,"Public Safety, Military and Security",34.82027649769585,4,watch boys sheriffs rocker,watch boys sheriffs rocker,37,1.0
16097,"Public Safety, Military and Security",34.654377880184335,4,turn sheriffs,turn sheriffs,37,1.0
16115,"Public Safety, Military and Security",34.617511520737324,4,sheriffs gaining ned told taken broomstick ponies,sheriffs gaining ned told taken broomstick ponies,37,0.9648661754944272
16373,"Public Safety, Military and Security",32.755760368663594,4,ok 30 minutes sheriffs,ok 30 minutes sheriffs,37,0.633703559963441
16374,"Public Safety, Military and Security",32.755760368663594,4,first film coproduced peta,film coproduced peta,14,0.26250446085919893
16730,"Public Safety, Military and Security",31.02304147465438,4,give marshall got head start,give marshall got head start,11,1.0
16830,"Public Safety, Military and Security",30.617511520737327,4,warnin marshall got potato gun know use,warnin marshall got potato gun know use,11,0.679463942195755
16894,"Public Safety, Military and Security",30.4147465437788,4,keep bb chamber deputy,keep bb chamber,49,0.5188252649555316
17164,"Public Safety, Military and Security",29.511520737327192,4,cops n rockers,cops n rockers,5,0.8650797004300539
17261,"Public Safety, Military and Security",29.10599078341014,4,rock rock guess shot sheriff deputy,rock rock guess shot,37,0.17231237817708783
17310,"Public Safety, Military and Security",28.95852534562212,4,deputies rock around clock expect overtime,deputies rock around clock expect overtime,37,0.43788937580127274
17341,"Public Safety, Military and Security",28.884792626728114,4,last time steal deputies horses,last time steal deputies horses,37,1.0
17433,"Public Safety, Military and Security",28.534562211981566,4,done bart sheriffs gone rocker,done bart sheriffs gone rocker,37,0.7852861363111348
17475,"Public Safety, Military and Security",28.534562211981566,4,cmon marshall amount reward moneys worth splinters,cmon marshall amount reward moneys worth splinters,11,0.9718348605854337
17484,"Public Safety, Military and Security",28.534562211981566,4,thinks playing cops rockers,thinks playing cops rockers,5,0.6101749659674152
17505,"Public Safety, Military and Security",28.42396313364056,4,stop copying,stop copying,3,1.0
17565,"Public Safety, Military and Security",28.258064516129032,4,see sheriffs nickname rocky,see sheriffs nickname rocky,37,1.0
17598,"Public Safety, Military and Security",28.14746543778802,4,mom tell eric friend stop copying us,mom tell eric friend stop copying us,3,1.0
17607,"Public Safety, Military and Security",28.14746543778802,4,keep onarockin billie sheriffs posse gainin us,keep onarockin billie sheriffs posse gainin us,37,1.0
17636,"Public Safety, Military and Security",28.14746543778802,4,sheriffs band outrockin us,sheriffs band outrockin us,37,1.0
17643,"Public Safety, Military and Security",28.14746543778802,4,consarn tex looks like marshal tryin cut us past,consarn tex looks like tryin cut us past,61,0.6552212895415636
17698,"Public Safety, Military and Security",28.018433179723502,4,rocker copper,rocker copper,41,0.3027688193768508
17711,"Public Safety, Military and Security",27.944700460829495,4,looks like sheriff woody deputy pecker hold hat riding hard,looks like woody pecker hold hat riding hard,-1,0.0
17718,"Public Safety, Military and Security",27.889400921658986,4,watch deputys going cap gun,watch deputys going cap gun,-1,0.0
17853,"Public Safety, Military and Security",27.57603686635945,4,sheriff stache deputy walsh chase rocking horse thieves town,stache walsh chase rocking horse thieves town,37,0.24861436767234318
17890,"Public Safety, Military and Security",27.35483870967742,4,go position shoot sheriff shoot deputy,go position shoot shoot,-1,0.0
17892,"Public Safety, Military and Security",27.336405529953918,4,best high tail sheriffs rocking,best high tail sheriffs rocking,37,1.0
17914,"Public Safety, Military and Security",27.336405529953918,4,damned dick sheriffs horse racing curves,damned dick sheriffs horse racing curves,37,0.5298623783197991
17999,"Public Safety, Military and Security",27.262672811059907,4,catching marshall think tiny carbon footprint leavin,catching marshall think tiny carbon footprint leavin,11,1.0
18092,"Public Safety, Military and Security",26.930875576036872,4,going jail bart sheriffs playin rules,going jail bart sheriffs playin rules,37,1.0
18103,"Public Safety, Military and Security",26.87557603686636,4,one mans hobby anothers obsession marshal,one mans hobby anothers obsession,4,0.4435429095284176
18128,"Public Safety, Military and Security",26.72811059907834,4,bother drawing gun deputy never catch us,bother drawing gun never catch us,-1,0.0
18163,"Public Safety, Military and Security",26.70967741935484,4,copy cats,copy cats,74,1.0
18179,"Public Safety, Military and Security",26.70967741935484,4,blast think sheriffs gym rats,blast think sheriffs gym rats,37,0.1770032193589895
18221,"Public Safety, Military and Security",26.70967741935484,4,get barn coin operated helicopter waiting us,get barn coin operated helicopter waiting us,0,1.0
18367,"Public Safety, Military and Security",26.304147465437794,4,rock faster sheriffs gaining us,rock faster sheriffs gaining us,37,1.0
18375,"Public Safety, Military and Security",26.304147465437794,4,yelled sheriffs rocker think would turn,yelled sheriffs rocker think would turn,37,0.9712523853225723
18393,"Public Safety, Military and Security",26.17511520737327,4,let us hope print legend marshall,let us hope print legend marshall,11,1.0
18427,"Public Safety, Military and Security",25.990783410138253,4,rock harder clint sheriffs gaining us,rock harder clint sheriffs gaining us,37,0.9380531436752341
18469,"Public Safety, Military and Security",25.91705069124424,4,game cops robbers goes little far,game cops robbers goes little far,5,0.9390180679202784
18531,"Public Safety, Military and Security",25.65898617511521,4,rock faster sheriffs got time eyes,rock faster sheriffs got time eyes,37,0.5457375292964559
18567,"Public Safety, Military and Security",25.566820276497698,4,eat sawdust marshal,eat sawdust,20,0.5399156278401793
18594,"Public Safety, Military and Security",25.566820276497698,4,kindergarten cop ii prequel,kindergarten ii prequel,45,1.0
18659,"Public Safety, Military and Security",25.566820276497698,4,invest pineys marshal oaks cut,invest pineys oaks cut,-1,0.0
18675,"Public Safety, Military and Security",25.566820276497698,4,step buck sheriffs waddlin high,step buck sheriffs waddlin high,37,1.0
18746,"Public Safety, Military and Security",25.566820276497698,4,rock cody sheriffs gaining weight,rock cody sheriffs gaining weight,37,1.0
18756,"Public Safety, Military and Security",25.51152073732719,4,looks like sheriffs rocker anymore,looks like sheriffs rocker anymore,37,0.9287532818074969
18808,"Public Safety, Military and Security",25.23502304147466,4,rock faster sheriffs gaining us,rock faster sheriffs gaining us,37,1.0
18819,"Public Safety, Military and Security",25.198156682027655,4,dang chestnut sheriffs ridin awful fast,dang chestnut sheriffs ridin awful fast,37,1.0
18835,"Public Safety, Military and Security",25.198156682027655,4,dagnabbit sheriffs got one dem carbon fiber rockers,dagnabbit sheriffs got one dem carbon fiber rockers,37,0.9677861255817823
18839,"Public Safety, Military and Security",25.198156682027655,4,marshall deputy wind backs gaining us,marshall wind backs gaining us,11,0.8440032909085262
18859,"Public Safety, Military and Security",25.198156682027655,4,worry sheriffs selfdriving horses speed either,worry sheriffs selfdriving horses speed either,37,0.9248593234438787
18890,"Public Safety, Military and Security",24.921658986175114,4,told cops rock morethan robbers,told cops rock morethan robbers,5,0.8359121556440415
18901,"Public Safety, Military and Security",24.866359447004612,4,shoot deputy two,shoot two,-1,0.0
18908,"Public Safety, Military and Security",24.866359447004612,4,shot sheriff shoot deputies,shot shoot deputies,-1,0.0
18965,"Public Safety, Military and Security",24.663594470046082,4,sheriffs town,sheriffs town,37,1.0
18967,"Public Safety, Military and Security",24.663594470046082,4,hold hat marshall need jump quickly hop choo choo train get home lunch,hold hat marshall need jump quickly hop choo choo train get home lunch,11,0.8689975146285812
18969,"Public Safety, Military and Security",24.663594470046082,4,rocky mount sheriff deputy inching us,rocky mount inching us,37,0.14368166953361897
18972,"Public Safety, Military and Security",24.663594470046082,4,ned think sheriffs behind us rocket never lose,ned think sheriffs behind us rocket never lose,37,0.7498935333780984
19073,"Public Safety, Military and Security",24.313364055299544,4,sheriff deputy trot pursuit,trot pursuit,37,0.6138809147828319
19105,"Public Safety, Military and Security",24.313364055299544,4,never catch us coppers much lead,never catch us coppers much lead,41,0.33517006398525356
19122,"Public Safety, Military and Security",24.313364055299544,4,hurry sheriffs gaining,hurry sheriffs gaining,37,1.0
19142,"Public Safety, Military and Security",24.313364055299544,4,drat caught another speed trap damn sheriffs hobbyhorse,drat caught another speed trap damn sheriffs hobbyhorse,37,0.3989123085083019
19165,"Public Safety, Military and Security",24.313364055299544,4,listen kid got one speed rock matter many cops chasing robbers,listen kid got one speed rock matter many cops chasing robbers,5,0.9959194839799486
19243,"Public Safety, Military and Security",23.963133640552996,4,sheriffs always take toy store seriously,sheriffs always take toy store seriously,5,0.3995902115717967
19309,"Public Safety, Military and Security",23.64976958525346,4,never catch coppa – crime pay,never catch coppa crime pay,5,1.0
19312,"Public Safety, Military and Security",23.502304147465438,4,faster gus must riding military surplus,faster gus must riding surplus,-1,0.0
19339,"Public Safety, Military and Security",23.37327188940092,4,sheriffs new model quite runner,sheriffs new model quite runner,37,1.0
19341,"Public Safety, Military and Security",23.37327188940092,4,deputy regarding catching drug dealers anything worth worth well,regarding catching drug dealers anything worth worth well,5,0.8081235317641233
19459,"Public Safety, Military and Security",23.188940092165904,4,chickie trump cops,chickie trump cops,-1,0.0
19471,"Public Safety, Military and Security",23.188940092165904,4,jus running fer roses marshall,jus running fer roses marshall,11,0.7303334632122209
19574,"Public Safety, Military and Security",22.894009216589865,4,come pete cops us policeyou right remain silent say anything used court lawyou right lawyer present questioning,come pete cops us policeyou right remain silent say anything used court lawyou right lawyer present questioning,5,1.0
19646,"Public Safety, Military and Security",22.617511520737327,4,see told ya oak horses could outrun sheriffs faster spruce ones,see told ya oak horses could outrun sheriffs faster spruce ones,37,0.4791939460263275
