Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,544,-1_like_clown_lyft_know,"['like', 'clown', 'lyft', 'know', 'think', 'said', 'better', 'tell', 'bite', 'bad']","['designated clown car', 'bad news none drivers give lyft', 'neither snow rain heat gloom night stays couriers swift completion appointed roundsnor pandemic derecho acts terrorism fraudulent elections polar freezes wifi twitter darkest powerless days']","['designated clown car', 'bad news none drivers give lyft', 'neither snow rain heat gloom night stays couriers swift completion appointed roundsnor pandemic derecho acts terrorism fraudulent elections polar freezes wifi twitter darkest powerless days']"
0,293,0_drivers_car_model_road,"['drivers', 'car', 'model', 'road', 'designated', 'great', 'younger', 'perfect', 'women', 'new']","['see car', 'guys designated drivers', 'must designated drivers']","['see car', 'guys designated drivers', 'must designated drivers']"
1,216,1_pilots_license_flight_registration,"['pilots', 'license', 'flight', 'registration', 'welcome', 'fly', 'flying', 'worry', 'sir', 'make']","['may see pilots license', 'may see pilots license', 'see pilots']","['may see pilots license', 'may see pilots license', 'see pilots']"
2,160,2_driverless_car_cars_feel,"['driverless', 'car', 'cars', 'feel', 'feeling', 'mean', 'long', 'abandonment', 'issues', 'make']","['first driverless cars', 'sometimes driverless car driverless car', 'see driverless car']","['first driverless cars', 'sometimes driverless car driverless car', 'see driverless car']"
3,139,3_movers_hired_told_house,"['movers', 'hired', 'told', 'house', 'shakers', 'professional', 'said', 'time', 'hire', 'fit']","['hired movers', 'movers movers shakers', 'told hired movers']","['hired movers', 'movers movers shakers', 'told hired movers']"
4,102,4_screwdriver_screwdrivers_phillips_screw,"['screwdriver', 'screwdrivers', 'phillips', 'screw', 'wrench', 'ordered', 'happen', 'wine', 'allen', 'guys']","['going take screwdriver put back together', 'got screwdriver', 'could take screwdriver']","['going take screwdriver put back together', 'got screwdriver', 'could take screwdriver']"
5,93,5_seat_backseat_drivers_steering,"['seat', 'backseat', 'drivers', 'steering', 'drive', 'wheel', 'feel', 'touch', 'humpback', 'chair']","['drivers seat', 'drivers seat', 'back seat drivers']","['drivers seat', 'drivers seat', 'back seat drivers']"
6,82,6_designated_guys_going_friends,"['designated', 'guys', 'going', 'friends', 'decide', 'choose', 'time', 'thought', 'need', 'youse']","['designated twenty', 'well one designated', 'interest designated']","['designated twenty', 'well one designated', 'interest designated']"
7,78,7_license_drivers_need_registration,"['license', 'drivers', 'need', 'registration', 'picture', 'number', 'licence', 'donor', 'expired', 'mr']","['need see drivers license', 'drivers license', 'see drivers license please']","['need see drivers license', 'drivers license', 'see drivers license please']"
8,74,8_sailors_cheese_sea_said,"['sailors', 'cheese', 'sea', 'said', 'white', 'drunken', 'sirens', 'siren', 'pirates', 'sky']","['sailors sleep', 'sailors said real sailors need learn swim said', 'never sailors life']","['sailors sleep', 'sailors said real sailors need learn swim said', 'never sailors life']"
9,71,9_toploader_loaders_frontloader_price,"['toploader', 'loaders', 'frontloader', 'price', 'toploaders', 'water', 'neighborhood', 'frontloaders', 'range', 'architect']","['like front loaders top side', 'front loaders style top loaders show', 'one quirk bottom unit toploader top frontloader brings price well within range']","['like front loaders top side', 'front loaders style top loaders show', 'one quirk bottom unit toploader top frontloader brings price well within range']"
10,50,10_thanks_designated_tonight_sorry,"['thanks', 'designated', 'tonight', 'sorry', 'evening', 'thank', 'pal', 'tonights', 'god', 'nights']","['thanks designated tonight', 'thanks designated tonight', 'thanks thanks designated tonight']","['thanks designated tonight', 'thanks designated tonight', 'thanks thanks designated tonight']"
11,45,11_piano_movers_guessed_incompetent,"['piano', 'movers', 'guessed', 'incompetent', 'ladies', 'tchaikovsky', 'estimate', 'dropping', 'gentlemen', 'minor']","['well call piano movers get door', 'bill piano movers', 'bill piano movers']","['well call piano movers get door', 'bill piano movers', 'bill piano movers']"
12,45,12_look_think_wrong_really,"['look', 'think', 'wrong', 'really', 'need', 'thinks', 'realize', 'like', 'started', 'idea']","['look bright side least look like', 'think need', 'look like']","['look bright side least look like', 'think need', 'look like']"
13,42,13_bark_barking_handlers_dog,"['bark', 'barking', 'handlers', 'dog', 'guy', 'barked', 'meowing', 'spilled', 'vacuum', 'girl']","['yet bark', 'least still bark', 'handlers think barking']","['yet bark', 'least still bark', 'handlers think barking']"
