Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,395,-1_said_row_know_ducks,"['said', 'row', 'know', 'ducks', 'new', 'like', 'instructors', 'news', 'sorry', 'think']","['good ducks row eh', 'see finally got ducks row', 'know new teaching thing really meant said first get ducks row']","['good ducks row eh', 'see finally got ducks row', 'know new teaching thing really meant said first get ducks row']"
0,142,0_teachers_students_schools_like,"['teachers', 'students', 'schools', 'like', 'schoolteachers', 'new', 'got', 'popular', 'parents', 'union']","['popular teachers', 'teachers without schools', 'like teachers']","['popular teachers', 'teachers without schools', 'like teachers']"
1,119,1_maze_space_time_come,"['maze', 'space', 'time', 'come', 'think', 'ready', 'sorry', 'run', 'know', 'little']","['maze ready', 'sorry run space time', 'sorry needed little time maze']","['maze ready', 'sorry run space time', 'sorry needed little time maze']"
2,108,2_lab_experiment_rat_mice,"['lab', 'experiment', 'rat', 'mice', 'cats', 'test', 'rats', 'results', 'mouse', 'testing']","['lab rat welcome', 'right cats proving much better lab test subjects', 'lab cats ready']","['lab rat welcome', 'right cats proving much better lab test subjects', 'lab cats ready']"
3,92,3_tutorial_youtube_tutored_tutorials,"['tutorial', 'youtube', 'tutored', 'tutorials', 'watched', 'tutoring', 'watch', 'diy', 'going', 'video']","['think watched youtube tutorial first', 'watched youtube tutorial', 'another youtube tutorial']","['think watched youtube tutorial first', 'watched youtube tutorial', 'another youtube tutorial']"
4,34,4_professors_university_college_look,"['professors', 'university', 'college', 'look', 'trump', 'degree', 'professorial', 'said', 'offer', 'faculty']","['nervous professors faced packed lecture hall trump medical college', 'college professors always said imagine', 'meet new trump university professors']","['nervous professors faced packed lecture hall trump medical college', 'college professors always said imagine', 'meet new trump university professors']"
5,32,5_cheese_recipe_switch_trans,"['cheese', 'recipe', 'switch', 'trans', 'inner', 'news', 'quarantine', 'enjoy', 'human', 'worry']","['assigned human birth thanks k 6 teachers trans mission learned express inner species opted crispr trans animation enjoy inner tranquility return evolutionary roots', 'worry get bottom moved cheese', 'need recipe quarantine lab cheese']","['assigned human birth thanks k 6 teachers trans mission learned express inner species opted crispr trans animation enjoy inner tranquility return evolutionary roots', 'worry get bottom moved cheese', 'need recipe quarantine lab cheese']"
6,30,6_mentoring_turtles_intern_program,"['mentoring', 'turtles', 'intern', 'program', 'mentorship', 'opportunity', 'role', 'hand', 'mentored', 'young']","['mentoring thing getting hand', 'mentoring thing getting hand', 'heard mentoring turtles well']","['mentoring thing getting hand', 'mentoring thing getting hand', 'heard mentoring turtles well']"
7,26,7_pet_teachers_told_buddy,"['pet', 'teachers', 'told', 'buddy', 'think', 'finally', 'row', 'little', 'coyote', 'cmon']","['told teachers pet', 'teachers pet', 'teachers pet']","['told teachers pet', 'teachers pet', 'teachers pet']"
8,23,8_moriarty_higgins_watson_crossword,"['moriarty', 'higgins', 'watson', 'crossword', 'puzzle', 'answer', 'criminal', 'award', 'detective', 'mastermind']","['moriarty attempts mock watson eight across reads name stupid detective played cumberbatch', 'watson see nemesis moriarty nefarious tricks listed crossword fictional detective', 'moriarty left message crossword puzzle 8 letter word criminal mastermind']","['moriarty attempts mock watson eight across reads name stupid detective played cumberbatch', 'watson see nemesis moriarty nefarious tricks listed crossword fictional detective', 'moriarty left message crossword puzzle 8 letter word criminal mastermind']"
9,22,9_mary_ann_gilligan_wife,"['mary', 'ann', 'gilligan', 'wife', 'millionaire', 'ginger', 'skipper', 'star', 'movie', 'female']","['satisfied taking skipper millionaire wife movie star mary ann leave alone', 'uh oh think killed gilligan skipper millionaire wife movie star mary ann', 'try tune gilligan skipper millionaire wife movie star mary ann']","['satisfied taking skipper millionaire wife movie star mary ann leave alone', 'uh oh think killed gilligan skipper millionaire wife movie star mary ann', 'try tune gilligan skipper millionaire wife movie star mary ann']"
10,21,10_physics_einstein_dark_matter,"['physics', 'einstein', 'dark', 'matter', 'model', 'right', 'job', 'old', 'looks', 'work']","['integrating covarying coupling constants model tired light model led rajendra gupta university ottawa conclude dark matter nonexistent according published astrophysical journal', 'wow old physics', 'worry physics']","['integrating covarying coupling constants model tired light model led rajendra gupta university ottawa conclude dark matter nonexistent according published astrophysical journal', 'wow old physics', 'worry physics']"
