Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,5812,-1_lawyers_presidents_new_like,"['lawyers', 'presidents', 'new', 'like', 'mr', 'trump', 'got', 'think', 'said', 'going']","['think said take', 'mr trump fire', 'going need good']","['think said take', 'mr trump fire', 'going need good']"
0,467,0_pizza_fish_food_chef,"['pizza', 'fish', 'food', 'chef', 'eat', 'menu', 'drink', 'dough', 'fry', 'wine']","['fish ability climb mountain instead tree make feel less stupid', 'sorry chef says got fry', 'told give pizza']","['fish ability climb mountain instead tree make feel less stupid', 'sorry chef says got fry', 'told give pizza']"
1,450,1_election_candidate_presidential_candidacy,"['election', 'candidate', 'presidential', 'candidacy', 'democratic', '2020', 'candidates', 'vote', 'announce', '2024']","['presidential election time already', 'something next presidential election', 'would like announce candidacy united states 2020 election']","['presidential election time already', 'something next presidential election', 'would like announce candidacy united states 2020 election']"
2,289,2_trump_donald_trumps_elected,"['trump', 'donald', 'trumps', 'elected', 'live', 'hey', 'longer', 'little', 'possible', 'odds']","['trump see', 'trump become anything', 'donald trump became']","['trump see', 'trump become anything', 'donald trump became']"
3,265,3_lawyers_attorneys_lawyering_alike,"['lawyers', 'attorneys', 'lawyering', 'alike', 'come', 'bring', 'agreed', 'guess', 'hurrah', 'unbelievable']","['call lawyers', 'lawyers always lawyers', 'never call lawyers r']","['call lawyers', 'lawyers always lawyers', 'never call lawyers r']"
4,232,4_run_running_ready_announce,"['run', 'running', 'ready', 'announce', 'years', 'thinking', 'ran', 'planning', '35', 'lie']","['another one running', 'see either running', 'well always run']","['another one running', 'see either running', 'well always run']"
5,209,5_mr_sir_mister_yes,"['mr', 'sir', 'mister', 'yes', 'excuse', 'mrpresident', 'crisis', 'number', 'disguise', 'morning']","['get mr', 'almost mr', 'get mr']","['get mr', 'almost mr', 'get mr']"
6,208,6_judgement_judged_clouded_cloud,"['judgement', 'judged', 'clouded', 'cloud', 'judgements', 'feel', 'zone', 'snap', 'reserve', 'judgemental']","['judgement day wife says judgement', 'judgement day', 'judgement day already']","['judgement day wife says judgement', 'judgement day', 'judgement day already']"
7,196,7_book_cover_books_covers,"['book', 'cover', 'books', 'covers', 'judged', 'club', 'judging', 'say', 'know', 'thinking']","['book cover', 'book cover', 'cover book']","['book cover', 'book cover', 'cover book']"
8,190,8_judges_caption_contest_yorker,"['judges', 'caption', 'contest', 'yorker', 'cartoon', 'judgey', 'winner', 'competition', 'new', 'captions']","['believe actually new yorker caption contest judges', 'let see judges say', 'come nine judges']","['believe actually new yorker caption contest judges', 'let see judges say', 'come nine judges']"
