caption_index,category,funniness_score,contest_id,caption,cleaned_caption,topic,topic_probability
53,Healthcare and Medicine,30.85714285714286,0,google maps said therapists office,google maps said therapists office,9,0.3211257691598302
115,Healthcare and Medicine,29.52995391705069,0,believe used pay massage therapist thing,believe used pay thing,-1,0.0
251,Healthcare and Medicine,28.58986175115208,0,doctor said need get 10000 steps day,said need get 10000 steps day,26,0.9002173427309391
268,Healthcare and Medicine,28.22119815668203,0,chiropractor said would help heal mothers back,said would help heal mothers back,-1,0.0
391,Healthcare and Medicine,27.668202764976964,0,doctors orders resting back,doctors orders resting back,20,0.527342037549323
506,Healthcare and Medicine,27.428571428571427,0,minute talk ways improve awareness mental health,minute talk ways improve awareness mental health,16,0.9398833797371101
519,Healthcare and Medicine,27.1889400921659,0,doctor told relax meetings,told relax meetings,70,0.9450288221389711
669,Healthcare and Medicine,26.433179723502302,0,psychologist says let everybody walk really people make effort jump,says let everybody walk really people make effort jump,98,1.0
810,Healthcare and Medicine,26.433179723502302,0,said needs pay fancy massage therapist,said needs pay fancy,-1,0.0
874,Healthcare and Medicine,26.433179723502302,0,thinking changing therapists,thinking changing therapists,9,1.0
879,Healthcare and Medicine,26.433179723502302,0,chiropractor booked week,booked week,60,0.9213053445636163
1087,Healthcare and Medicine,25.493087557603687,0,doctors orders rest get tired,doctors orders rest get tired,20,0.47799162657025174
1197,Healthcare and Medicine,25.493087557603687,0,doctor sometimes dream,sometimes dream,47,0.8436663129094621
1439,Healthcare and Medicine,25.493087557603687,0,hey cheaper chiropractor,hey cheaper,-1,0.0
1589,Healthcare and Medicine,25.493087557603687,0,dry cleaning cheaper chiropractor,dry cleaning cheaper,-1,0.0
1760,Healthcare and Medicine,25.493087557603687,0,doctor told get rest,told get rest,-1,0.0
1975,Healthcare and Medicine,25.06912442396314,0,poor idiots pay chiropractor,poor idiots pay,-1,0.0
2073,Healthcare and Medicine,24.258064516129032,0,doctor group therapy working,group working,54,0.5504540171357272
2127,Healthcare and Medicine,24.258064516129032,0,sure check chemtrail conspiracy podcast,sure check chemtrail conspiracy podcast,-1,0.0
2155,Healthcare and Medicine,24.258064516129032,0,yesdoctor feel freer control,yesdoctor feel freer control,4,1.0
2206,Healthcare and Medicine,23.852534562211986,0,doctor right time outside office relaxing,right time outside office relaxing,-1,0.0
2236,Healthcare and Medicine,23.852534562211986,0,works ask doctor ambeyond good,works ask ambeyond good,54,0.8294230767688703
2263,Healthcare and Medicine,23.852534562211986,0,doctor said external obstruction,said external obstruction,-1,0.0
2344,Healthcare and Medicine,23.852534562211986,0,psychologist said need enhance feelings,said need enhance feelings,-1,0.0
2346,Healthcare and Medicine,23.852534562211986,0,doctor tells need plenty rest one ways,tells need plenty rest one ways,-1,0.0
2390,Healthcare and Medicine,23.852534562211986,0,doctor says good heartburn,says good heartburn,-1,0.0
2571,Healthcare and Medicine,23.852534562211986,0,doctor recurring dream nobody pays attention,recurring dream nobody pays attention,47,1.0
2822,Healthcare and Medicine,23.852534562211986,0,doctor never mind childhood feel life passing,never mind childhood feel life passing,4,1.0
2970,Healthcare and Medicine,23.852534562211986,0,sometimes feels like even therapists couch street,sometimes feels like even therapists couch street,9,0.2997910726350788
3024,Healthcare and Medicine,23.852534562211986,0,doctor says get,says get,-1,0.0
3405,Healthcare and Medicine,23.852534562211986,0,said office visits extra doctor realize speaking literally,said office visits extra realize speaking literally,-1,0.0
