caption_index,category,funniness_score,contest_id,caption,cleaned_caption,topic,topic_probability
3196,Service Industry and Hospitality,23.852534562211986,0,sometimes like lay reminisce days customer service industry,sometimes like lay reminisce days industry,-1,0.0
4747,Service Industry and Hospitality,27.170506912442395,1,customer service training bad,training bad,67,1.0
5525,Service Industry and Hospitality,26.525345622119815,1,knew short order cook asked help,knew short order asked help,44,0.7766502442550683
5766,Service Industry and Hospitality,24.682027649769584,1,ah patter little feet around house nothing like midget butler,ah patter little feet around house nothing like midget,-1,0.0
7208,Service Industry and Hospitality,24.258064516129032,1,thank fine silicone spatula timely shots nonstick cooking spray,thank fine silicone spatula timely shots nonstick cooking spray,-1,0.0
8358,Service Industry and Hospitality,28.71889400921659,2,sorry diy yoga converted janitors closet next door,sorry diy yoga converted janitors closet next door,-1,0.0
9682,Service Industry and Hospitality,27.244239631336406,2,doorman asleep looks lot like rug lobby,asleep looks lot like rug lobby,97,0.8071456357540504
9749,Service Industry and Hospitality,27.244239631336406,2,naptime scheduled finish milk cookies,naptime scheduled finish milk cookies,50,0.4304857272762543
11850,Service Industry and Hospitality,33.43778801843318,3,hope doorman remember booked quartet,hope remember booked quartet,-1,0.0
12871,Service Industry and Hospitality,29.75115207373272,3,let us hope doorman remember booked quartet,let us hope remember booked quartet,-1,0.0
15080,Service Industry and Hospitality,26.4147465437788,3,care shark tank thinks say america ready lifesized trump cookie,care shark tank thinks say america ready lifesized trump cookie,-1,0.0
15220,Service Industry and Hospitality,26.4147465437788,3,always takes three valets carry ms kardashians girdle tote,always takes three valets carry ms kardashians girdle tote,4,0.15207932849187125
15967,Service Industry and Hospitality,36.33179723502304,4,get horses cooked,get horses cooked,-1,0.0
16119,Service Industry and Hospitality,34.58064516129033,4,rein milk cookies,rein milk cookies,50,1.0
16878,Service Industry and Hospitality,30.43317972350231,4,cookies lemonade house last one rotten egg,cookies lemonade house last one rotten egg,96,1.0
16929,Service Industry and Hospitality,30.24884792626728,4,lucky us almost time milk cookies,lucky us almost time milk cookies,50,0.9723463617646879
16965,Service Industry and Hospitality,30.19354838709678,4,mind stop nap milk cookies,mind stop nap milk cookies,50,1.0
17586,Service Industry and Hospitality,28.14746543778802,4,hurry yall mommas making cookies,hurry yall mommas making cookies,-1,0.0
17904,Service Industry and Hospitality,27.336405529953918,4,stole cookie cookie jar,stole cookie cookie jar,70,1.0
19166,Service Industry and Hospitality,24.313364055299544,4,time milk cookies nap,time milk cookies nap,50,1.0
24255,Service Industry and Hospitality,33.43778801843318,6,think chef took personally,think took personally,1,0.5689852649521767
24425,Service Industry and Hospitality,33.25345622119816,6,baristas always judgmental,baristas always judgmental,5,0.3636457381682372
24908,Service Industry and Hospitality,30.986175115207377,6,karma koffee baristas never give number lumps request,karma koffee baristas never give number lumps request,5,1.0
24961,Service Industry and Hospitality,30.562211981566826,6,waiters seem little chippy,waiters seem little chippy,4,0.5492461522386252
25056,Service Industry and Hospitality,30.359447004608295,6,ordered chefs surprise whatever,ordered chefs surprise whatever,65,0.2800030440026671
25151,Service Industry and Hospitality,30.359447004608295,6,know cookie kill,know cookie kill,96,0.6953385734041149
26541,Service Industry and Hospitality,27.244239631336406,6,concept brilliant replace waitresses drones,concept brilliant replace waitresses drones,4,0.14435939963571134
26666,Service Industry and Hospitality,27.244239631336406,6,chef takes chickenunderabrick little far,takes chickenunderabrick little far,134,0.8678087936720097
28530,Service Industry and Hospitality,27.244239631336406,6,oh god — fortune cookie right,oh god fortune cookie right,52,1.0
28578,Service Industry and Hospitality,27.244239631336406,6,always said drone could never waiters job,always said drone could never waiters job,4,0.15401871575299142
28630,Service Industry and Hospitality,27.244239631336406,6,yes little strange last night fortune cookie said look,yes little strange last night fortune cookie said look,52,0.5444041084191443
28697,Service Industry and Hospitality,27.244239631336406,6,fortune cookie say,fortune cookie say,52,1.0
28721,Service Industry and Hospitality,27.244239631336406,6,think chef saw negative yelp rating uh yeah,think saw negative yelp rating uh yeah,103,1.0
29312,Service Industry and Hospitality,26.4147465437788,6,quick read fortune cookie,quick read fortune cookie,52,1.0
29399,Service Industry and Hospitality,26.4147465437788,6,probably eaten chefs special instead sending back kitchen,probably eaten chefs special instead sending back kitchen,2,1.0
29438,Service Industry and Hospitality,26.4147465437788,6,fortune cookie wrong,fortune cookie wrong,52,1.0
29719,Service Industry and Hospitality,26.4147465437788,6,last nights fortune cookie said keep covered even indoors,last nights fortune cookie said keep covered even indoors,52,1.0
31112,Service Industry and Hospitality,33.08755760368663,7,get suit left doorman,get suit left,-1,0.0
31687,Service Industry and Hospitality,30.562211981566826,7,lawyer much need image consultant stylist,lawyer much need image consultant,118,0.8576640438584979
33823,Service Industry and Hospitality,28.294930875576043,7,stylist told wear blue really think signature color play better jury,told wear blue really think signature color play better jury,84,1.0
34295,Service Industry and Hospitality,28.294930875576043,7,could hurt meet stylist,could hurt meet,-1,0.0
35289,Service Industry and Hospitality,27.244239631336406,7,offered hire stylist trial remember,offered hire trial remember,-1,0.0
35294,Service Industry and Hospitality,27.244239631336406,7,warned wear hoodie goose cooked,warned wear hoodie goose cooked,8,0.10774603637768133
