Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,2365,-1_copy_copies_good_machine,"['copy', 'copies', 'good', 'machine', 'funny', 'guarding', 'bad', 'new', 'castle', 'guards']","['need know good', 'tell want know bad', 'castle make sure moat working']","['need know good', 'tell want know bad', 'castle make sure moat working']"
0,446,0_helicopter_parents_parent_parenting,"['helicopter', 'parents', 'parent', 'parenting', 'helicopters', 'mom', 'dad', 'salt', 'copter', 'beanie']","['bad helicopter parents', 'helicopter parents', 'helicopter parents']","['bad helicopter parents', 'helicopter parents', 'helicopter parents']"
1,377,1_colonoscopy_prep_colonoscopies_results,"['colonoscopy', 'prep', 'colonoscopies', 'results', 'royal', 'pain', 'news', 'flush', 'schedule', 'need']","['need colonoscopy', 'least colonoscopy', 'last colonoscopy']","['need colonoscopy', 'least colonoscopy', 'last colonoscopy']"
2,312,2_copay_copays_insurance_deductible,"['copay', 'copays', 'insurance', 'deductible', 'corkage', 'copayment', 'cover', 'covers', 'accept', 'waive']","['think way copay', 'going need copay front', 'least copay']","['think way copay', 'going need copay front', 'least copay']"
3,302,3_copies_copy_copying_stop,"['copies', 'copy', 'copying', 'stop', 'make', 'original', 'paste', 'dummy', 'asked', 'snapped']","['must copy everything', 'think made many copies', 'think find copies']","['must copy everything', 'think made many copies', 'think find copies']"
4,268,4_coping_cope_mechanism_help,"['coping', 'cope', 'mechanism', 'help', 'mouse', 'mechanisms', 'way', 'cornucopia', 'change', 'bite']","['hard time coping change', 'call coping mechanism call fashion', 'really think need new coping mechanism']","['hard time coping change', 'call coping mechanism call fashion', 'really think need new coping mechanism']"
5,259,5_cops_calling_called_guys,"['cops', 'calling', 'called', 'guys', 'white', 'robbers', 'time', 'ya', 'try', 'hear']","['call cops tell', 'keep make us call cops', 'last time bad cops']","['call cops tell', 'keep make us call cops', 'last time bad cops']"
6,256,6_copyright_infringement_copyrighted_sue,"['copyright', 'infringement', 'copyrighted', 'sue', 'suing', 'lawyer', 'violation', 'copyrights', 'laws', 'expired']","['copyright infringement', 'copyright infringement', 'copyright infringement']","['copyright infringement', 'copyright infringement', 'copyright infringement']"
7,252,7_copier_broken_repair_repairman,"['copier', 'broken', 'repair', 'repairman', 'malfunctioning', 'hello', 'problem', 'wrong', 'stuck', 'tech']","['problem copier', 'serious problem copier', 'copier whole time']","['problem copier', 'serious problem copier', 'copier whole time']"
8,249,8_clown_bad_clowns_good,"['clown', 'bad', 'clowns', 'good', 'deal', 'choice', 'evil', 'clowning', 'play', 'make']","['good bad clown', 'good bad clown', 'good clown bad']","['good bad clown', 'good bad clown', 'good clown bad']"
9,176,9_watson_letters_famous_word,"['watson', 'letters', 'famous', 'word', 'greatest', 'letter', 'fictional', 'worlds', 'clue', 'starts']","['watson six letters famous poirot', 'help watson six letters famous', 'watson 8 letter word worlds greatest']","['watson six letters famous poirot', 'help watson six letters famous', 'watson 8 letter word worlds greatest']"
10,155,10_bad_good_sad_worse,"['bad', 'good', 'sad', 'worse', 'prop', 'heard', 'mad', 'yada', 'buddy', 'comparison']","['good bad', 'bad good good bad', 'good bad get']","['good bad', 'bad good good bad', 'good bad get']"
11,145,11_marshall_air_undercover_parade,"['marshall', 'air', 'undercover', 'parade', 'grand', 'marshals', 'mcluhan', 'disguise', 'disguises', 'marshalls']","['actually air marshall', 'well might air marshall might air marshall', 'became air marshall']","['actually air marshall', 'well might air marshall might air marshall', 'became air marshall']"
12,141,12_horoscope_horoscopes_today_says,"['horoscope', 'horoscopes', 'today', 'says', 'said', 'read', 'things', 'die', 'pisces', 'encounter']","['horoscope says', 'horoscope said put', 'please see horoscope']","['horoscope says', 'horoscope said put', 'please see horoscope']"
13,127,13_copilot_pilot_worry_pigeon,"['copilot', 'pilot', 'worry', 'pigeon', 'captain', 'disappear', 'flight', 'copilots', 'flying', 'god']","['see copilot', 'see copilot', 'also copilot']","['see copilot', 'see copilot', 'also copilot']"
14,125,14_dog_dogs_shadow_pet,"['dog', 'dogs', 'shadow', 'pet', 'barking', 'copilot', 'kept', 'wife', 'inner', 'fido']","['think good dog', 'never good dog', 'call dog']","['think good dog', 'never good dog', 'call dog']"
15,121,15_darwin_case_theory_evolution,"['darwin', 'case', 'theory', 'evolution', 'evolving', 'looks', 'theories', 'like', 'better', 'cheif']","['get darwin', 'call darwin', 'get darwin']","['get darwin', 'call darwin', 'get darwin']"
