Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,4604,-1_clowns_time_clowning_work,"['clowns', 'time', 'clowning', 'work', 'like', 'adjust', 'said', 'adjusting', 'think', 'make']","['better tell us kid quit clowning around', 'looks like someone clowning around', 'ok smart guy say time stop clowning around mean time stop clowning around']","['better tell us kid quit clowning around', 'looks like someone clowning around', 'ok smart guy say time stop clowning around mean time stop clowning around']"
0,606,0_film_filming_films_filmed,"['film', 'filming', 'films', 'filmed', 'movie', 'horror', '3d', 'glasses', 'sequel', 'foreign']","['hold still start filming', 'watching film', 'like watching film']","['hold still start filming', 'watching film', 'like watching film']"
1,358,1_chiropractor_chiropractors_appointment_recommended,"['chiropractor', 'chiropractors', 'appointment', 'recommended', 'pain', 'recommend', 'neck', 'weight', 'spine', 'need']","['least chiropractor', 'either chiropractor', 'chiropractor could see']","['least chiropractor', 'either chiropractor', 'chiropractor could see']"
2,339,2_models_newer_older_mileage,"['models', 'newer', 'older', 'mileage', 'mustard', 'german', 'supermodels', 'nude', 'newest', 'dijon']","['new models already', 'one models', 'much models']","['new models already', 'one models', 'much models']"
3,329,3_clowns_feel_like_inside,"['clowns', 'feel', 'like', 'inside', 'look', 'knocking', 'sad', 'come', 'pair', 'ok']","['serious clowns', 'clowns clowns', 'see clowns']","['serious clowns', 'clowns clowns', 'see clowns']"
4,322,4_cop_bad_good_routine,"['cop', 'bad', 'good', 'routine', 'copclown', 'copbad', 'old', 'choice', 'play', 'deal']","['good cop bad', 'good cop bad', 'good cop bad cop']","['good cop bad', 'good cop bad', 'good cop bad cop']"
5,229,5_contractor_contractors_independent_subcontractor,"['contractor', 'contractors', 'independent', 'subcontractor', 'employee', 'hired', 'employees', 'building', 'giraffe', 'corners']","['think time call contractor', 'may need contractor', 'think fire contractor']","['think time call contractor', 'may need contractor', 'think fire contractor']"
6,221,6_poetry_poetic_poets_justice,"['poetry', 'poetic', 'poets', 'justice', 'slam', 'license', 'reading', 'tortured', 'read', 'limerick']","['poetic justice', 'poetic justice', 'perhaps poetry life']","['poetic justice', 'poetic justice', 'perhaps poetry life']"
7,210,7_painted_paint_painting_picasso,"['painted', 'paint', 'painting', 'picasso', 'portrait', 'paintings', 'ink', 'color', 'picture', 'self']","['could painted', 'painted one', 'could painted']","['could painted', 'painted one', 'could painted']"
8,202,8_car_cars_designated_fit,"['car', 'cars', 'designated', 'fit', 'town', 'driving', 'autobahn', 'remove', 'republican', 'seen']","['keep one less car', 'first car', 'get car']","['keep one less car', 'first car', 'get car']"
9,180,9_adjust_adjustment_adjusting_adjustments,"['adjust', 'adjustment', 'adjusting', 'adjustments', 'vertical', 'attitude', 'adjustable', 'needs', 'adjusted', 'need']","['adjust vertical', 'think adjust vertical', 'want adjust']","['adjust vertical', 'think adjust vertical', 'want adjust']"
10,150,10_factor_wow_warp_factors,"['factor', 'wow', 'warp', 'factors', 'spf', 'risk', 'sun', 'protection', 'depression', 'forgot']","['sorry wow factor thought would', 'sorry wow factor thought would', 'wow factor']","['sorry wow factor thought would', 'sorry wow factor thought would', 'wow factor']"
11,148,11_car_cars_fit_clowns,"['car', 'cars', 'fit', 'clowns', 'electric', 'compartment', 'runs', 'small', 'engine', '23']","['see someone clowning around car', 'clowns car', 'car clowns']","['see someone clowning around car', 'clowns car', 'car clowns']"
12,147,12_monkeys_typewriters_barrel_ducks,"['monkeys', 'typewriters', 'barrel', 'ducks', 'monkey', 'infinite', '1000', 'thousand', 'laptops', 'fun']","['one hundred monkeys typewriters', 'could find monkeys typewriters', 'monkeys would give typewriters']","['one hundred monkeys typewriters', 'could find monkeys typewriters', 'monkeys would give typewriters']"
13,144,13_musicians_performers_talent_rock,"['musicians', 'performers', 'talent', 'rock', 'studio', 'trumpeters', 'union', 'jazz', 'titanic', 'harpists']","['musicians animals', 'musicians animals', 'musicians union']","['musicians animals', 'musicians animals', 'musicians union']"
14,144,14_block_writers_cured_hit,"['block', 'writers', 'cured', 'hit', 'blocks', 'editor', 'experienced', 'worries', 'coffee', 'writing']","['writers block', 'writers block', 'writers block']","['writers block', 'writers block', 'writers block']"
15,135,15_magicians_code_privilege_oath,"['magicians', 'code', 'privilege', 'oath', 'answer', 'question', 'assistant', 'reveal', 'court', 'half']","['forget magicians code answer question', 'care magicians code tell', 'take magicians']","['forget magicians code answer question', 'care magicians code tell', 'take magicians']"
16,133,16_fear_afraid_scary_phobia,"['fear', 'afraid', 'scary', 'phobia', 'clowns', 'scared', 'creepy', 'irrationality', 'long', 'worry']","['long fear clowns', 'long fear clowns', 'ever tell fear clowns']","['long fear clowns', 'long fear clowns', 'ever tell fear clowns']"
17,126,17_adjourned_meeting_adjourn_motion,"['adjourned', 'meeting', 'adjourn', 'motion', 'diversity', 'committee', 'adjournment', 'board', 'lunch', 'teddy']","['meeting adjourned let us eat guy', 'upon motion house meeting adjourned', 'mean meeting adjourned']","['meeting adjourned let us eat guy', 'upon motion house meeting adjourned', 'mean meeting adjourned']"
18,123,18_clowning_bury_hereyet_tired,"['clowning', 'bury', 'hereyet', 'tired', 'seriously', 'clownin', 'beer', 'driving', 'finished', 'kombucha']","['done clowning around', 'clowning around', 'clowning around']","['done clowning around', 'clowning around', 'clowning around']"
19,122,19_beam_tractor_beams_probe,"['beam', 'tractor', 'beams', 'probe', 'rake', 'lawn', 'leaf', 'broken', 'leaves', 'aim']","['tractor beam working', 'got tractor beam', 'see tractor beam']","['tractor beam working', 'got tractor beam', 'see tractor beam']"
20,118,20_hairdresser_hair_hairdressers_crossdresser,"['hairdresser', 'hair', 'hairdressers', 'crossdresser', 'knows', 'closed', 'rapunzel', 'dressers', 'sure', 'trumps']","['last time go hairdresser', 'may name hairdresser', 'call hairdresser']","['last time go hairdresser', 'may name hairdresser', 'call hairdresser']"
21,109,21_balloon_animal_animals_dog,"['balloon', 'animal', 'animals', 'dog', 'balloons', 'helium', 'twist', 'officer', 'wig', 'undercover']","['see mr balloon let ask', 'balloon next thing tell cop', 'make balloon animals talk']","['see mr balloon let ask', 'balloon next thing tell cop', 'make balloon animals talk']"
22,108,22_parts_replacement_genuine_installed,"['parts', 'replacement', 'genuine', 'installed', 'mechanic', 'factory', 'original', 'problem', 'authorized', 'aftermarket']","['told going use genuine factory parts', 'problem got one corporate replacement parts', 'need 100 genuine replacement parts']","['told going use genuine factory parts', 'problem got one corporate replacement parts', 'need 100 genuine replacement parts']"
23,104,23_shoot_shot_guess_shooting,"['shoot', 'shot', 'guess', 'shooting', 'spot', 'players', 'dang', 'somebody', 'looks', 'butfor']","['well guess shoot', 'guess shoot', 'guess shoot']","['well guess shoot', 'guess shoot', 'guess shoot']"
24,100,24_stop_clowning_quit_clownin,"['stop', 'clowning', 'quit', 'clownin', 'start', 'id', 'questions', 'koons', 'leave', 'answer']","['stop clowning around', 'stop clowning around', 'stop clowning around']","['stop clowning around', 'stop clowning around', 'stop clowning around']"
25,94,25_singers_singersongwriter_bird_backup,"['singers', 'singersongwriter', 'bird', 'backup', 'singersongbird', 'blues', 'singing', 'chorus', 'rare', 'birds']","['rare singersongwriter bird', 'rare singersongwriter bird', 'singersongwriter bird']","['rare singersongwriter bird', 'rare singersongwriter bird', 'singersongwriter bird']"
26,93,26_president_washington_white_congress,"['president', 'washington', 'white', 'congress', 'house', 'hiring', 'politician', 'administration', 'clowns', 'cabinet']","['hiring clowns right try white house', 'know president serve clowns', 'clowns president']","['hiring clowns right try white house', 'know president serve clowns', 'clowns president']"
27,88,27_actors_method_broadway_aspiring,"['actors', 'method', 'broadway', 'aspiring', 'theater', 'role', 'playwrights', 'paparazzi', 'kill', 'arabia']","['hate method actors', 'hate method actors', 'one method actors']","['hate method actors', 'hate method actors', 'one method actors']"
28,87,28_college_school_flunked_attended,"['college', 'school', 'flunked', 'attended', 'mba', 'university', 'degree', 'harvard', 'med', 'plagiarism']","['went college', 'working way college', 'said college think meant college']","['went college', 'working way college', 'said college think meant college']"
29,87,29_bar_walks_priest_walk,"['bar', 'walks', 'priest', 'walk', 'bartender', 'rabbi', 'walked', 'joke', 'cowboy', 'bars']","['walks bar', 'walks bar', 'walks bar']","['walks bar', 'walks bar', 'walks bar']"
30,85,30_suit_outfit_costumes_dress,"['suit', 'outfit', 'costumes', 'dress', 'dressed', 'outfits', 'clothing', 'wearing', 'spacesuit', 'killer']","['bill know suit', 'another suit', 'either suit']","['bill know suit', 'another suit', 'either suit']"
31,83,31_starving_eat_diet_hamburger,"['starving', 'eat', 'diet', 'hamburger', 'pizza', 'vegan', 'eaten', 'hungry', 'grill', 'sauce']","['thought supposed starving', 'room starving', 'starving eat first']","['thought supposed starving', 'room starving', 'starving eat first']"
32,83,32_adjacent_adjoining_neighborhood_location,"['adjacent', 'adjoining', 'neighborhood', 'location', 'door', 'steinway', 'queens', 'estate', 'alley', 'neighbors']","['well would never know neighborhood actually park slope adjacent', 'frankly expecting charming piedàterre adjacent trendy neighborhood alley', 'say alley adjacent']","['well would never know neighborhood actually park slope adjacent', 'frankly expecting charming piedàterre adjacent trendy neighborhood alley', 'say alley adjacent']"
33,79,33_cheesecake_factory_cheese_welcome,"['cheesecake', 'factory', 'cheese', 'welcome', 'menu', 'cheescake', 'factorys', 'le', 'fucking', 'executive']","['cheesecake factory', 'meanwhile cheesecake factory', 'get anything cheesecake factory']","['cheesecake factory', 'meanwhile cheesecake factory', 'get anything cheesecake factory']"
34,78,34_problem_fix_clowns_replace,"['problem', 'fix', 'clowns', 'replace', 'issue', 'right', 'misfiring', 'straight', 'spark', 'went']","['well problem right enough clowns', 'problem right enough clowns', 'problem enough clowns']","['well problem right enough clowns', 'problem right enough clowns', 'problem enough clowns']"
35,75,35_reveals_secrets_tax_returns,"['reveals', 'secrets', 'tax', 'returns', 'fifth', 'reveal', 'taxes', 'tells', 'files', 'amendment']","['never reveals tax return secrets', 'never reveals secrets tax returns', 'never reveals secrets']","['never reveals tax return secrets', 'never reveals secrets tax returns', 'never reveals secrets']"
36,73,36_soda_royal_drink_jerk,"['soda', 'royal', 'drink', 'jerk', 'tap', 'rocks', 'sorry', 'ipa', 'beers', 'shoes']","['hiring soda jerk soda', 'sorry need hire soda jerk soda need', 'call soda jerk']","['hiring soda jerk soda', 'sorry need hire soda jerk soda need', 'call soda jerk']"
37,72,37_think_thought_thinks_beginning,"['think', 'thought', 'thinks', 'beginning', 'idea', 'kind', 'makes', 'dang', 'ask', 'appreciating']","['thought would show', 'must think something', 'think around']","['thought would show', 'must think something', 'think around']"
38,72,38_typewriters_buy_arrive_delivered,"['typewriters', 'buy', 'arrive', 'delivered', 'soon', 'forgot', 'dozen', 'delivery', 'need', 'maybe']","['get typewriters', 'get typewriters', 'could find typewriters']","['get typewriters', 'get typewriters', 'could find typewriters']"
39,70,39_cartoonists_cartoons_draw_generation,"['cartoonists', 'cartoons', 'draw', 'generation', 'someday', 'cartoon', 'math', 'idea', 'creative', 'ink']","['worry cartoonists strike', 'hate cartoonists', 'look cartoonists idea']","['worry cartoonists strike', 'hate cartoonists', 'look cartoonists idea']"
40,70,40_send_clowns_sending_bother,"['send', 'clowns', 'sending', 'bother', 'fret', 'finalize', 'scumbagwe', 'owls', 'jennings', 'hauge']","['send clowns', 'send clowns', 'send clowns']","['send clowns', 'send clowns', 'send clowns']"
41,70,41_problem_short_guy_obvious,"['problem', 'short', 'guy', 'obvious', 'got', 'right', 'regular', 'darnit', 'chameleon', 'fixyou']","['well problem one many', 'well problem', 'well problem']","['well problem one many', 'well problem', 'well problem']"
42,69,42_bozo_bozos_car_bonzo,"['bozo', 'bozos', 'car', 'bonzo', 'officer', 'talk', 'unlike', 'partner', 'clowning', 'bought']","['clowning around job bozo', 'stop clowning around tell us bozo', 'really think clowning around bozo']","['clowning around job bozo', 'stop clowning around tell us bozo', 'really think clowning around bozo']"
43,69,43_marriage_wife_counselor_wedding,"['marriage', 'wife', 'counselor', 'wedding', 'wizard', 'relationship', 'husband', 'couples', 'marry', 'married']","['look marriage counselor', 'please marriage counselor', 'marriage counselor']","['look marriage counselor', 'please marriage counselor', 'marriage counselor']"
44,69,44_running_firing_run_problem,"['running', 'firing', 'run', 'problem', 'clowns', 'runs', 'runnin', 'wonder', 'yer', 'blame']","['problem running three clowns', 'problem running three clowns', 'see problem running three clowns']","['problem running three clowns', 'problem running three clowns', 'see problem running three clowns']"
45,68,45_comfortably_seats_holds_fit,"['comfortably', 'seats', 'holds', 'fit', 'room', 'roomy', 'hold', 'owner', 'plenty', 'clowns']","['seats one regular person thirtyeight clowns comfortably', 'comfortably seats one adult 87 clowns', 'small comfortably seats dozen clowns']","['seats one regular person thirtyeight clowns comfortably', 'comfortably seats one adult 87 clowns', 'small comfortably seats dozen clowns']"
46,66,46_nose_wig_orange_hat,"['nose', 'wig', 'orange', 'hat', 'red', 'noses', 'face', 'hair', 'creation', 'disguise']","['sir must nose car', 'little nose', 'would even put nose']","['sir must nose car', 'little nose', 'would even put nose']"
