Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,2708,-1_doctors_says_said_sure,"['doctors', 'says', 'said', 'sure', 'really', 'know', 'time', 'good', 'think', 'need']","['first let ask something know good', 'say never something wrong want know', 'patient wrong want right right']","['first let ask something know good', 'say never something wrong want know', 'patient wrong want right right']"
0,193,0_look_sorry_mechanic_need,"['look', 'sorry', 'mechanic', 'need', 'seeing', 'reminds', 'right', 'okay', 'tomorrow', 'wait']","['sorry need note', 'sorry like told mechanic', 'sorry need']","['sorry need note', 'sorry like told mechanic', 'sorry need']"
1,172,1_diet_eat_eating_food,"['diet', 'eat', 'eating', 'food', 'fish', 'foods', 'omega', 'carbs', 'vegetarian', 'chew']","['prescribed diet', 'said needed fish diet', 'said need fish diet']","['prescribed diet', 'said needed fish diet', 'said need fish diet']"
2,164,2_trial_trials_phase_results,"['trial', 'trials', 'phase', 'results', 'participated', 'placebo', 'involved', 'doubleblind', 'humans', 'fda']","['thanks phase 1 trials big success', 'know trial may help', 'trial going']","['thanks phase 1 trials big success', 'know trial may help', 'trial going']"
3,157,3_beer_drinking_wine_drink,"['beer', 'drinking', 'wine', 'drink', 'bottle', 'ipa', 'beers', 'alcohol', 'stop', 'said']","['said could drink beer', 'well told stop drinking much beer', 'told stop drinking beer']","['said could drink beer', 'well told stop drinking much beer', 'told stop drinking beer']"
4,154,4_feel_feeling_invisible_blend,"['feel', 'feeling', 'invisible', 'blend', 'life', 'like', 'lately', 'meltdown', 'inside', 'blending']","['know sometimes feel invisible', 'sometimes feel like blend', 'feel empty']","['know sometimes feel invisible', 'sometimes feel like blend', 'feel empty']"
5,145,5_kings_horses_horse_men,"['kings', 'horses', 'horse', 'men', 'king', 'emts', 'pills', 'little', 'prescribed', 'called']","['none kings horses none kings men certified emts', 'kings horses kings men kings doctors', 'think would call look kings horses kings men']","['none kings horses none kings men certified emts', 'kings horses kings men kings doctors', 'think would call look kings horses kings men']"
6,129,6_rat_mouse_mice_lab,"['rat', 'mouse', 'mice', 'lab', 'rats', 'human', 'trials', 'rodent', 'testing', 'cheese']","['may rat least get', 'lab rat', 'lab rat']","['may rat least get', 'lab rat', 'lab rat']"
7,126,7_years_worry_evolve_lizard,"['years', 'worry', 'evolve', 'lizard', 'says', 'chameleon', 'defense', 'social', 'environmental', 'ice']","['said worry evolve much', 'stop right got masters oceanography doctorate environmental management social sustainability belong 8 political action groups hell could possible tell already know', 'stop right got masters oceanography doctorate environmental management social sustainability belong 8 political action groups hell could possible tell already know']","['said worry evolve much', 'stop right got masters oceanography doctorate environmental management social sustainability belong 8 political action groups hell could possible tell already know', 'stop right got masters oceanography doctorate environmental management social sustainability belong 8 political action groups hell could possible tell already know']"
8,114,8_prescription_refill_half_medication,"['prescription', 'refill', 'half', 'medication', 'prescriptions', 'prescribed', 'sorry', 'refills', 'pharmacy', 'need']","['also need prescription', 'need prescription also', 'need prescription']","['also need prescription', 'need prescription also', 'need prescription']"
9,94,9_therapists_idea_psychotherapy_clients,"['therapists', 'idea', 'psychotherapy', 'clients', 'changing', 'number', 'tell', 'contest', 'caption', 'methods']","['therapists idea', 'therapists idea', 'therapists idea']","['therapists idea', 'therapists idea', 'therapists idea']"
10,92,10_surgeons_plastic_surgery_operating,"['surgeons', 'plastic', 'surgery', 'operating', 'orthopedic', 'skilled', 'theatre', 'training', 'room', 'hands']","['sometimes hate plastic surgeons', 'said needed two surgeons', 'say surgeons care']","['sometimes hate plastic surgeons', 'said needed two surgeons', 'say surgeons care']"
11,89,11_vet_veterinarians_prescription_prescriptions,"['vet', 'veterinarians', 'prescription', 'prescriptions', 'veterinary', 'signature', 'signed', 'sir', 'sorry', 'vets']","['bill vet', 'vet go', 'fill vet']","['bill vet', 'vet go', 'fill vet']"
12,84,12_plaque_buildup_floss_brush,"['plaque', 'buildup', 'floss', 'brush', 'remove', 'rid', 'says', 'flossing', 'spit', 'removed']","['said plaque', 'said plaque', 'see plaque']","['said plaque', 'said plaque', 'see plaque']"
13,84,13_dentists_dentistry_teeth_braces,"['dentists', 'dentistry', 'teeth', 'braces', 'practice', 'orthodontists', 'office', 'school', 'fangs', 'dentures']","['4 5 dentists recommend', 'like dentists much', 'like dentists']","['4 5 dentists recommend', 'like dentists much', 'like dentists']"
14,79,14_hours_lasts_consult_longer,"['hours', 'lasts', 'consult', 'longer', 'supposed', 'lasted', 'lasting', 'minutes', '24', 'immediately']","['lasts four hours see', 'lasts two hours call', 'lasts six hours see']","['lasts four hours see', 'lasts two hours call', 'lasts six hours see']"
15,77,15_dog_cat_cats_dogs,"['dog', 'cat', 'cats', 'dogs', 'pet', 'animal', 'service', 'animals', 'fly', 'felines']","['dog needs see', 'want see dog see dog needs see vet got', 'dog went cat cure stomach pain dog really trust cat']","['dog needs see', 'want see dog see dog needs see vet got', 'dog went cat cure stomach pain dog really trust cat']"
16,74,16_mental_health_day_affects,"['mental', 'health', 'day', 'affects', 'tok', 'tik', 'stigma', 'crisis', 'complaints', 'awareness']","['taking mental health day', 'taking mental health day', 'told get you know mental health']","['taking mental health day', 'taking mental health day', 'told get you know mental health']"
17,71,17_appointment_schedule_cancel_200,"['appointment', 'schedule', 'cancel', '200', 'make', 'online', 'reminds', 'late', 'tomorrow', 'reminder']","['trying make appointment', 'remember appointment eleven', 'one would keep appointment']","['trying make appointment', 'remember appointment eleven', 'one would keep appointment']"
18,70,18_feet_knees_legs_leg,"['feet', 'knees', 'legs', 'leg', 'shoes', 'bone', 'foot', 'bend', 'cartilage', 'varicose']","['feel legs', 'feel legs', 'said legs']","['feel legs', 'feel legs', 'said legs']"
19,70,19_quack_quacks_borders_bunch,"['quack', 'quacks', 'borders', 'bunch', 'doctors', 'duck', 'ducks', 'students', 'snip', 'generation']","['sorry see call quack', 'know going quack doctors', 'think doctors quack']","['sorry see call quack', 'know going quack doctors', 'think doctors quack']"
20,62,20_orders_doctors_following_ordered,"['orders', 'doctors', 'following', 'ordered', 'order', 'onychophagia', 'technically', 'passed', 'bedroom', 'bored']","['doctors orders', 'doctors orders', 'doctors orders']","['doctors orders', 'doctors orders', 'doctors orders']"
21,61,21_think_meant_thought_beginning,"['think', 'meant', 'thought', 'beginning', 'time', 'forward', 'means', 'thinking', 'knows', 'extended']","['think time see', 'think time see', 'think go back']","['think time see', 'think time see', 'think go back']"
22,61,22_bed_stay_rest_bedrest,"['bed', 'stay', 'rest', 'bedrest', 'said', 'work', 'told', 'confined', 'complete', 'promise']","['told stay bed', 'told stay bed', 'said get bed']","['told stay bed', 'told stay bed', 'said get bed']"
