caption_index,category,funniness_score,contest_id,caption,cleaned_caption,topic,topic_probability
4453,Transportation and Logistics,27.981566820276498,1,know son old mailman used shovel like,know son old used shovel like,4,0.6868765246764293
6520,Transportation and Logistics,24.682027649769584,1,bring tonka skiploader toy box,bring tonka skiploader toy box,9,0.7039429315177672
6780,Transportation and Logistics,24.682027649769584,1,wonder big mailmans shovel,wonder big mailmans shovel,17,1.0
7620,Transportation and Logistics,30.986175115207377,2,sorry yoga class furniture movers next week,sorry yoga class furniture movers next week,3,0.43930580125979074
10447,Transportation and Logistics,26.4147465437788,2,movers office straight ahead,movers office straight ahead,3,1.0
15315,Transportation and Logistics,26.4147465437788,3,supposed job onehanded couriers,supposed job onehanded couriers,17,1.0
18151,Transportation and Logistics,26.70967741935484,4,go driverless hobbyhorse next race,go driverless hobbyhorse next race,2,1.0
18383,Transportation and Logistics,26.304147465437794,4,trying new driverless horses,trying new driverless horses,2,1.0
20982,Transportation and Logistics,28.71889400921659,5,told ambulance driver able train sure understood,told ambulance able sure understood,-1,0.0
21019,Transportation and Logistics,28.71889400921659,5,wonder donald trump pay drivers legal fees,wonder donald trump pay drivers legal fees,7,0.8609304263605687
21215,Transportation and Logistics,28.71889400921659,5,hear drivers meet track workers soon go complaint,hear drivers meet track workers soon go complaint,0,1.0
21742,Transportation and Logistics,27.870967741935484,5,look dave driver hit us last week,look dave hit us last week,-1,0.0
22974,Transportation and Logistics,26.4147465437788,5,turned insurance claim invalid unless get statement driver,turned insurance claim invalid unless get statement,-1,0.0
23259,Transportation and Logistics,26.4147465437788,5,driverless trains really work call union rep,driverless trains really work call union rep,2,0.6015589624588424
23985,Transportation and Logistics,24.258064516129032,5,history record driverless cars needed hundreds human interventions stop accidents,history record driverless cars needed hundreds human interventions stop accidents,2,1.0
23986,Transportation and Logistics,23.852534562211986,5,much convenient since uber converted driverless vehicles,much convenient since converted driverless vehicles,2,1.0
33545,Transportation and Logistics,28.294930875576043,7,place attracts lot movers shakers,place attracts lot movers shakers,3,0.31262027524556824
39159,Transportation and Logistics,26.046082949308754,8,sure asked dad front loader freeloader,sure asked dad front freeloader,18,0.31843961971270013
41228,Transportation and Logistics,22.857142857142858,8,shiny yellow frontend loader typically gets point,shiny yellow frontend typically gets point,-1,0.0
54331,Transportation and Logistics,29.032258064516128,11,cab driver even slow,cab even slow,-1,0.0
56631,Transportation and Logistics,24.737327188940096,11,like pheromone cab drivers,like pheromone cab drivers,0,0.9024915467582844
58636,Transportation and Logistics,48.7557603686636,12,yes sir martini screwdriver monster,yes sir martini screwdriver monster,4,0.5101906423825695
58883,Transportation and Logistics,28.86635944700461,12,told driver kind body shop,told kind body shop,-1,0.0
60417,Transportation and Logistics,24.07373271889401,12,sorry master bobby uber driver refused pick brain,sorry master bobby refused pick brain,-1,0.0
60962,Transportation and Logistics,23.225806451612907,12,would screwdriver sir,would screwdriver sir,4,0.6211018526008013
62848,Transportation and Logistics,20.202764976958527,12,patron got juiced rusty nails screwdrivers per policy charges removed,patron got juiced rusty nails screwdrivers per policy charges removed,4,0.9327864413682843
65443,Transportation and Logistics,24.46082949308756,13,finished downloading everything shakespeare ever wrote 3100i said call monroe county movers monkey movers 3330so fun barrel monkeys eh 3873i thought said tiger mom 3630ok really sorry eleven one short dozen 3541you right much fun barrel monkeys 2930i thought said liked monkeys 4021mom told mine 3530i thought left urban jungle moved suburbs 5195i actually thrilled 3550when agreed help homeless something else mind 55234and take barrel 44134at least could ignore eighthundredpound gorilla 49173how much time left monkeyofthemonth club 4272i wonder 12th monkey 51101is idea barrel fun 51232i still think made right decision children 2910cannot stay anyone one else cleveland july 3670complete works shakespeare need break time 3630you said wanted entertaining evening home 3932do think ever grow 4192they want know would consider voting 3rd party,finished downloading everything shakespeare ever wrote 3100i said call monroe county movers monkey movers 3330so fun barrel monkeys eh 3873i thought said tiger mom 3630ok really sorry eleven one short dozen 3541you right much fun barrel monkeys 2930i thought said liked monkeys 4021mom told mine 3530i thought left urban jungle moved suburbs 5195i actually thrilled 3550when agreed help homeless something else mind 55234and take barrel 44134at least could ignore eighthundredpound gorilla 49173how much time left monkeyofthemonth club 4272i wonder 12th monkey 51101is idea barrel fun 51232i still think made right decision children 2910cannot stay anyone one else cleveland july 3670complete works shakespeare need break time 3630you said wanted entertaining evening home 3932do think ever grow 4192they want know would consider voting 3rd party,3,1.0
76586,Transportation and Logistics,30.617511520737327,16,hi jack jonathan uber driver,hi jack jonathan,14,0.9156954524938593
76599,Transportation and Logistics,30.506912442396313,16,greetings bort uber driver tonight,greetings bort tonight,14,0.9828336346089694
76675,Transportation and Logistics,29.566820276497698,16,closest uber driver tonight,closest tonight,10,0.6234200653957871
77024,Transportation and Logistics,27.29953917050691,16,names kevin uber driver,names kevin,-1,0.0
77071,Transportation and Logistics,27.11520737327189,16,yeah started lyft driver weeks ago,yeah started lyft weeks ago,-1,0.0
