Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,4141,-1_cooking_said_like_cookie,"['cooking', 'said', 'like', 'cookie', 'cooked', 'time', 'eat', 'think', 'new', 'really']","['said wanted fresh sure meant', 'yes hot idea cooking make better', 'would like books cooked']","['said wanted fresh sure meant', 'yes hot idea cooking make better', 'would like books cooked']"
0,256,0_cookies_cookie_chocolate_chip,"['cookies', 'cookie', 'chocolate', 'chip', 'chips', 'oreo', 'cream', 'elves', 'buy', 'black']","['much cookies system', 'give cookies', 'must cookies']","['much cookies system', 'give cookies', 'must cookies']"
1,245,1_told_tell_know_hell,"['told', 'tell', 'know', 'hell', 'said', 'joint', 'believe', 'way', 'want', 'meant']","['said know', 'told hell', 'want could told']","['said know', 'told hell', 'want could told']"
2,242,2_chefs_special_tonight_specials,"['chefs', 'special', 'tonight', 'specials', 'choice', 'changed', 'specialty', 'wales', 'tonights', 'kitchen']","['chefs special tonight everything', 'become chefs special', 'chefs special']","['chefs special tonight everything', 'become chefs special', 'chefs special']"
3,221,3_books_cooking_cookbooks_crocker,"['books', 'cooking', 'cookbooks', 'crocker', 'betty', 'hope', 'easier', '510', 'mesquite', 'bookswhy']","['keep cooking books', 'see cooking books put', 'cooking books']","['keep cooking books', 'see cooking books put', 'cooking books']"
4,199,4_waiters_attention_waitresses_tip,"['waiters', 'attention', 'waitresses', 'tip', 'valets', 'eye', 'singing', 'restaurant', 'ceiling', 'catch']","['get waiters attention', 'see get waiters attention', 'get waiters attention']","['get waiters attention', 'see get waiters attention', 'get waiters attention']"
5,149,5_baristas_gang_espresso_banditos,"['baristas', 'gang', 'espresso', 'banditos', 'wild', 'far', 'reckon', 'ho', 'lattes', 'looks']","['baristas far', 'looks like baristas move', 'looks baristas move']","['baristas far', 'looks like baristas move', 'looks baristas move']"
6,143,6_iron_ingredient_bars_secret,"['iron', 'ingredient', 'bars', 'secret', 'episode', 'cast', 'feline', 'taking', 'thing', 'metal']","['see iron', 'call iron', 'call iron']","['see iron', 'call iron', 'call iron']"
7,135,7_books_cooked_minutes_office,"['books', 'cooked', 'minutes', 'office', 'saying', 'steaks', 'thoroughly', 'flip', 'started', 'overcooked']","['cooked books', 'never cooked books', 'one cooked books']","['cooked books', 'never cooked books', 'one cooked books']"
8,134,8_goose_cooked_foie_gras,"['goose', 'cooked', 'foie', 'gras', 'afraid', 'news', 'fowl', 'governor', 'fry', 'bad']","['goose cooked yet', 'goose cooked', 'goose cooked']","['goose cooked yet', 'goose cooked', 'goose cooked']"
