Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,495,-1_scientists_say_know_economists,"['scientists', 'say', 'know', 'economists', 'ornithologists', 'think', 'training', 'mad', 'lab', 'like']","['look like real mr bezos', 'economists say everything bubble right', 'know scientists get head']","['look like real mr bezos', 'economists say everything bubble right', 'know scientists get head']"
0,122,0_engineers_engineering_send_technicians,"['engineers', 'engineering', 'send', 'technicians', '3d', 'job', 'problem', 'need', 'security', 'copier']","['security engineers getting', 'really think need tell engineers new 3d printer toy', 'tell engineers']","['security engineers getting', 'really think need tell engineers new 3d printer toy', 'tell engineers']"
1,121,1_astronauts_space_license_nasa,"['astronauts', 'space', 'license', 'nasa', 'wearing', 'moon', 'mars', 'glad', 'program', 'suit']","['think astronauts space divers', 'astronauts really earth', 'see astronauts license please']","['think astronauts space divers', 'astronauts really earth', 'see astronauts license please']"
2,112,2_scientists_believe_think_listen,"['scientists', 'believe', 'think', 'listen', 'know', 'smart', 'real', 'trump', 'ikea', 'tst']","['believe scientists', 'think scientists something', 'would go scientists one']","['believe scientists', 'think scientists something', 'would go scientists one']"
3,76,3_maze_rats_lab_mouse,"['maze', 'rats', 'lab', 'mouse', 'mice', 'rat', 'scientist2', 'flying', 'damn', 'scientists']","['really need maze flying rats scientist2 damn right', 'really need maze flying rats scientist2 damn right', 'really need maze flying rats scientist2 damn right']","['really need maze flying rats scientist2 damn right', 'really need maze flying rats scientist2 damn right', 'really need maze flying rats scientist2 damn right']"
4,75,4_chemistry_set_great_class,"['chemistry', 'set', 'great', 'class', 'father', 'cheesy', 'told', 'relationship', 'brother', 'think']","['told chemistry', 'get chemistry set said', 'anyone found chemistry']","['told chemistry', 'get chemistry set said', 'anyone found chemistry']"
5,73,5_herpetologists_referring_refer_herpes,"['herpetologists', 'referring', 'refer', 'herpes', 'referral', 'appointment', 'wrapped', 'going', 'hematologist', 'medical']","['warned herpetologists get wrapped work', 'herpetologists go wrapped work', 'referring one top herpetologists']","['warned herpetologists get wrapped work', 'herpetologists go wrapped work', 'referring one top herpetologists']"
6,67,6_climate_change_global_scientists,"['climate', 'change', 'global', 'scientists', 'warming', 'levels', 'right', 'rise', 'accept', 'causing']","['knows humans causing global climate change', 'knows humans causing global climate change', 'climate but']","['knows humans causing global climate change', 'knows humans causing global climate change', 'climate but']"
7,62,7_rocket_speeding_speed_pulled,"['rocket', 'speeding', 'speed', 'pulled', 'figure', 'know', 'care', 'track', 'limit', 'warp']","['care rocket', 'rocket scientists', 'rocket take']","['care rocket', 'rocket scientists', 'rocket take']"
8,45,8_astronomers_black_hole_astrophysicists,"['astronomers', 'black', 'hole', 'astrophysicists', 'universe', 'physicists', 'explain', 'gravity', 'say', 'einstein']","['stephen hawking greeted einstein diner black hole favored physicists heaven einstein says hawking place great rule play dice', 'scientists see black hole', 'astrophysicists call black hole']","['stephen hawking greeted einstein diner black hole favored physicists heaven einstein says hawking place great rule play dice', 'scientists see black hole', 'astrophysicists call black hole']"
9,44,9_want_sure_good_wanted,"['want', 'sure', 'good', 'wanted', 'need', 'fuck', 'told', 'wish', 'smart', 'makes']","['told really want', 'made want become', 'sure knows fuck good']","['told really want', 'made want become', 'sure knows fuck good']"
10,41,10_diver_sea_bar_deep,"['diver', 'sea', 'bar', 'deep', 'walk', 'scuba', 'heard', 'party', 'costume', 'hear']","['hear one deep sea diver', 'heard one deep sea diver', 'deep sea diver walk bar']","['hear one deep sea diver', 'heard one deep sea diver', 'deep sea diver walk bar']"
11,34,11_archaeologists_years_someday_die,"['archaeologists', 'years', 'someday', 'die', 'future', 'ancient', 'thousand', 'think', 'make', 'going']","['archaeologists never guess', 'archaeologists never know', 'archaeologists think']","['archaeologists never guess', 'archaeologists never know', 'archaeologists think']"
12,25,12_asteroid_asteroids_scientists_extinction,"['asteroid', 'asteroids', 'scientists', 'extinction', 'meteor', 'pandemic', 'people', 'day', 'movie', 'starts']","['imagine 100 years ago scientists warning people get serious coronavirus pandemic people went beach', 'astronomers keep warning us asteroid impacts think serious threat lack social distancing pandemic', 'funny scientists still believe giant asteroid going kill us mass extinction']","['imagine 100 years ago scientists warning people get serious coronavirus pandemic people went beach', 'astronomers keep warning us asteroid impacts think serious threat lack social distancing pandemic', 'funny scientists still believe giant asteroid going kill us mass extinction']"
13,24,13_anthropologists_usual_round_paleoanthropologists,"['anthropologists', 'usual', 'round', 'paleoanthropologists', 'future', 'impressed', 'check', 'neighborhood', 'leave', 'biologists']","['need call anthropologists one', 'round usual anthropologists', 'round usual anthropologists']","['need call anthropologists one', 'round usual anthropologists', 'round usual anthropologists']"
14,22,14_marine_biologists_beach_whales,"['marine', 'biologists', 'beach', 'whales', 'ha', 'water', 'beaching', 'rarely', 'sharks', 'shark']","['recommended four five marine biologists', 'marine biologists take work home', 'tell marine biologists']","['recommended four five marine biologists', 'marine biologists take work home', 'tell marine biologists']"
15,21,15_dessert_cream_butter_garlic,"['dessert', 'cream', 'butter', 'garlic', 'ice', 'dinner', 'cuisine', 'chef', 'let', 'table']","['mad culinary scientists fusion monsters need crusty bread garlic butter manhattan deal escargojira', 'suppose ice cream dessert', 'let guess ice cream dessert']","['mad culinary scientists fusion monsters need crusty bread garlic butter manhattan deal escargojira', 'suppose ice cream dessert', 'let guess ice cream dessert']"
16,21,16_programmers_python_bunch_algorithm,"['programmers', 'python', 'bunch', 'algorithm', 'calabar', 'cobol', 'circles', 'clientfacing', 'cracking', 'ai']","['tell right couple good programmers bunch', 'programmers literal', 'python programmers really clientfacing']","['tell right couple good programmers bunch', 'programmers literal', 'python programmers really clientfacing']"
