Occupation,Job Zone,Code,Synonyms
data scientist,,,"['data scientist', 'data scientists']"
cosmetologist,,,['cosmetologists']
urban planner,,,"['urban planner', 'urban planners']"
nuclear engineer,,,"['nuclear engineer', 'nuclear engineers']"
drafter,,,"['drafter', 'drafters']"
stonemason,,,['stonemasons']
detective,,,"['detective', 'detectives']"
pediatric nurse,,,['pediatric nurses']
jockey,,,['jockeys']
trainer,,,['trainers']
curator,,,"['curator', 'curators']"
setter,,,"['setter', 'setters']"
biostatistician,,,['biostatisticians']
physician,,,"['physician', 'physicians']"
chiropractor,,,"['chiropractor', 'chiropractors']"
engraver,,,['engravers']
underwriter,,,['underwriters']
agent,,,"['agent', 'agents']"
cartographer,,,['cartographers']
neuropsychologist,,,['neuropsychologists']
merchandiser,,,"['merchandiser', 'merchandisers']"
roofer,,,['roofers']
machinist,,,['machinists']
housekeeping staff,,,"['housekeeping staff', 'housekeeping staffs']"
installer,,,"['installer', 'installers']"
industrial-organizational psychologist,,,['industrial-organizational psychologists']
veterinary technician,,,['veterinary technicians']
rehabilitation specialist,,,['rehabilitation specialists']
cleaner,,,"['cleaner', 'cleaners']"
fitter,,,"['fitter', 'fitters']"
data entry keyer,,,['data entry keyers']
ai researcher,,,"['ai researcher', 'ai researchers']"
paperhanger,,,['paperhangers']
railroad worker,,,['railroad workers']
sonographer,,,['sonographers']
dishwasher,,,['dishwashers']
etcher,,,['etchers']
artist,,,['artists']
choreographer,,,"['choreographer', 'choreographers']"
plasterer,,,['plasterers']
pharmacist,,,['pharmacists']
probation officer,,,['probation officers']
painter,,,"['painter', 'painters']"
stewardes,,,"['stewardess', 'stewarde']"
historian,,,['historians']
broker,,,"['broker', 'brokers']"
locksmith,,,['locksmiths']
lathe operator,,,['lathe operators']
chemist,,,"['chemist', 'chemists']"
patternmaker,,,"['patternmaker', 'patternmakers']"
dressmaker,,,['dressmakers']
conductor,,,['conductors']
official,,,['officials']
referee,,,['referees']
paralegal,,,"['paralegal', 'paralegals']"
congressperson,,,"['congressperson', 'congresspeople']"
plumber,,,['plumbers']
blockmason,,,['blockmasons']
electromechanical technician,,,['electromechanical technicians']
nurse practitioner,,,"['nurse practitioner', 'nurse practitioners']"
janitor,,,['janitors']
roustabout,,,['roustabouts']
podiatrist,,,['podiatrists']
editor,,,['editors']
attendant,,,['attendants']
optometrist,,,['optometrists']
speech-language pathologist,,,['speech-language pathologists']
dermatologist,,,['dermatologists']
observer,,,"['observer', 'observers']"
journalist,,,"['journalist', 'journalists']"
postmaster,,,['postmasters']
allergist,,,['allergists']
artisan,,,"['artisan', 'artisans']"
teller,,,"['teller', 'tellers']"
guard,,,"['guard', 'guards']"
archivist,,,['archivists']
astronomer,,,['astronomers']
physiotherapist,,,"['physiotherapist', 'physiotherapists']"
groomer,,,"['groomer', 'groomers']"
cutter,,,['cutters']
dosimetrist,,,['dosimetrists']
farmer,,,['farmers']
upholsterer,,,"['upholsterer', 'upholsterers']"
police officer,,,"['police officer', 'police officers']"
accountant,,,['accountants']
operator,,,"['operator', 'operators']"
technician,,,"['technician', 'technicians']"
instructor,,,['instructors']
bartender,,,['bartenders']
counselor,,,"['counselor', 'counselors']"
chief justice,,,"['chief justice', 'chief justices']"
radiologist,,,"['radiologist', 'radiologists']"
geographer,,,['geographers']
butcher,,,['butchers']
orthoptist,,,['orthoptists']
hygienist,,,['hygienists']
mortician,,,['morticians']
promoter,,,['promoters']
photographer,,,"['photographer', 'photographers']"
analyst,,,"['analyst', 'analysts']"
neurologist,,,['neurologists']
ship captain,,,"['ship captain', 'ship captains']"
athlete,,,['athletes']
volunteer,,,"['volunteer', 'volunteers']"
superintendent,,,['superintendents']
collector,,,['collectors']
ecologist,,,['ecologists']
captain,,,['captains']
copilot,,,['copilots']
social worker,,,"['social worker', 'social workers']"
driller,,,['drillers']
illustrator,,,['illustrators']
competitor,,,['competitors']
welder,,,"['welder', 'welders']"
behaviourist,,,"['behaviourist', 'behaviourists']"
nanny,,,['nannies']
pilot,,,['pilots']
mediator,,,['mediators']
librarian,,,"['librarian', 'librarians']"
pumper,,,['pumpers']
representative,,,"['representative', 'representatives']"
server,,,['servers']
adjudicator,,,['adjudicators']
officer,,,['officers']
barber,,,['barbers']
grader,,,"['grader', 'graders']"
elevator installer,,,['elevator installers']
surgeon,,,['surgeons']
publisher,,,['publishers']
fisher,,,['fishers']
advisor,,,['advisors']
driver,,,"['driver', 'drivers']"
yardmaster,,,['yardmasters']
obstetrician,,,['obstetricians']
recycling worker,,,['recycling workers']
immunologist,,,['immunologists']
barista,,,['baristas']
manager,,,['managers']
salesperson,,,"['salespersons', 'salespeople', 'sales']"
linguist,,,"['linguist', 'linguists']"
warden,,,['wardens']
philosopher,,,"['philosopher', 'philosophers']"
mechanical engineer,,,"['mechanical engineer', 'mechanical engineers']"
bailiff,,,['bailiffs']
law enforcement officer,,,"['law enforcement officer', 'law enforcement officers']"
teacher,,,['teachers']
vendor,,,"['vendor', 'vendors']"
courier,,,['couriers']
machine learning engineer,,,"['machine learning engineer', 'machine learning engineers']"
musician,,,['musicians']
paramedic,,,"['paramedic', 'paramedics']"
sewer worker,,,['sewer workers']
founder,,,"['founder', 'founders']"
rigger,,,['riggers']
seller,,,"['seller', 'sellers']"
professor,,,"['professor', 'professors']"
orthotist,,,['orthotists']
developer,,,['developers']
tailor,,,['tailors']
appraiser,,,"['appraiser', 'appraisers']"
marketing specialist,,,['marketing specialists']
faller,,,['fallers']
patrol officer,,,['patrol officers']
weaver,,,"['weaver', 'weavers']"
environmental scientist,,,"['environmental scientist', 'environmental scientists']"
miller,,,"['miller', 'millers']"
maker,,,"['maker', 'makers']"
fabricator,,,['fabricators']
scientist,,,"['scientist', 'scientists']"
transcriptionist,,,['transcriptionists']
acupuncturist,,,['acupuncturists']
metallurgist,,,"['metallurgist', 'metallurgists']"
servicer,,,['servicers']
court reporter,,,['court reporters']
ergonomist,,,['ergonomists']
fiberglass laminator,,,['fiberglass laminators']
cook,,,"['cook', 'cooks']"
