Topic,Count,Name,Representation,Representative_Docs
-1,7187,-1_he_you_the_to,"['he', 'you', 'the', 'to', 'don', 'it', 'is', 'in', 'of', 'for']","['what do you mean he has to go out?', 'so much for “what you read when you don’t have to, determines what you will be when you can’t help it.”', 'i don']"
0,376,0_don_look_you_you don,"['don', 'look', 'you', 'you don', 'don worry', 'worry', 'don look', 'me', 'your', 'want']","['what do you mean, ""you don\'t want to talk about it?""', ""don't look"", ""don't look at me like that.  no, you don't look at me like that.  no, you don't look at me like that. ....""]"
1,354,1_king_the king_horses_all the,"['king', 'the king', 'horses', 'all the', 'men', 'king men', 'king horses', 'all', 'horses and', 'and all']","['... but you should see all the king’s horses and all the king’s men.', ""i'm telling you, it was all the king's horses and all the king's men!"", ""this time it was all the king's horses and all the king's men.""]"
2,247,2_rock_rock and_climbing_the rock,"['rock', 'rock and', 'climbing', 'the rock', 'face', 'between rock', 'roll', 'rock face', 'hard', 'and hard']","['rock face.', ""i'm between a rock and a hard place!"", 'rock']"
3,235,3_serve_don serve_clown_we don,"['serve', 'don serve', 'clown', 'we don', 'wine', 'clowns', 'drink', 'sorry', 'sorry we', 'beer']","[""we don't serve clowns here."", ""sorry we don't serve clowns here."", ""sorry, we don't serve clowns.""]"
4,214,4_invention_reinventing_inventor_he,"['invention', 'reinventing', 'inventor', 'he', 'himself', 'his', 'inventor he', 'invent', 'new invention', 'reinvention']","['roger is working on his new invention.', ""don't mind him. he says he's an inventor."", 'he thinks of himself as an inventor.']"
5,170,5_pie_apple_adam_eve,"['pie', 'apple', 'adam', 'eve', 'apples', 'apple pie', 'an apple', 'god', 'the pie', 'snake']","['(adam) "" i hope it\'s not apple pie ""', 'eve: ""happy valentines day!"" adam: ""another vegan pie?\' eve: ""yes, it\'s your favorite -it\'s blueberry pie."" adam: ""alright snake, give me that apple.""', ""not to worry adam, it's an apple pie""]"
6,156,6_cave_the cave_trained_arrest,"['cave', 'the cave', 'trained', 'arrest', 'man cave', 'monitor', 'ankle', 'cave man', 'man', 'ankle monitor']","[""ankle monitor lizard. he's fine, as long as i don't leave the cave."", ""he's not cave trained yet."", 'he came with the cave.']"
7,155,7_piano_music_song_boxing,"['piano', 'music', 'song', 'boxing', 'play', 'the piano', 'singing', 'gloves', 'symphony', 'the']","['the ex-boxer had moved from the ring to the classical music stage. although still limited in his piano playing, he has become highly regarded in the nearly lost art of round singing. here he is shown preparing his audience to go the full 10.', ""i play the songs, not the melody\r\ni'll sing you a song tonight\r\ni'm the piano man\r\nand i'll make you feel alright"", 'this isn’t a boxing match for crying out loud! you are meant to play the piano and those gloves are completely inappropriate. don’t look at me like that, you know exactly what to do, so get them gloves off and use your fingers like you’re supposed t!']"
8,143,8_peter_movie_book_bird,"['peter', 'movie', 'book', 'bird', 'peter pan', 'pan', 'shrinking man', 'shrinking', 'books', 'the movie']","['i didn’t think the movie prop from “the incredible shrinking man” i purchased on ebay would actually work.', 'the remake of the ""wizard of oz""', ""i'm trying out for the special effects position for the remake of the wizard of oz""]"
9,139,9_duck_row_ducks_quack,"['duck', 'row', 'ducks', 'quack', 'third row', 'in row', 'third', 'rubber', 'ducks in', 'right']","[""keep your eye on the last duck on the right in row three. looks like he's cheating."", 'don’t look now but they gave us an odd duck in the third row', ""``don't look. third row. far right. fake duck.''""]"
10,126,10_license_sir_mph_speed,"['license', 'sir', 'mph', 'speed', 'fast', 'you', 'you were', 'how fast', 'registration', 'were']","[""sir, do you know how fast you were going? no, it's rocket science."", 'sir do you know how fast you were going?"" ""odometer says i was just about sound mph.', 'sir. do you know how fast you were going? it was about 671 million miles per hour. now can i see your license and registration?']"
11,112,11_dad_father_your father_your,"['dad', 'father', 'your father', 'your', 'your dad', 'my', 'my dad', 'dad dad', 'my father', 'but dad']","['tell me about your father.', 'dad! dad! dad! dad?...etc. etc.', ""that's your father?""]"
12,108,12_dress_suit_fashion_sir,"['dress', 'suit', 'fashion', 'sir', 'outfit', 'dress code', 'code', 'wear', 'casual', 'coat']","[""the manager said i can't serve you. you don't meet our dress code."", ""sir- with this suit it doesn't matter if you dress left or right"", ""sir, i'm afraid your attire doesn't conform to our dress code.""]"
13,105,13_wall_trump_the wall_tower,"['wall', 'trump', 'the wall', 'tower', 'trump tower', 'his wall', 'border', 'trump wall', 'mexico', 'building']","[""it was supposed to be my wall after the divorce but it fell down  when i tied to climb it to get a cup of coffee.  so now  it's his wall.  .  since it's no longer a wall, i'm suing for false news."", ""trump: mexico will pay for the wall\r\nthe world: ummmm i don't thin-\r\ntrump: no, no, quiet i saidddd mexico will pay for the wall\r\nmexico: no thank you \r\nthe world: we told yo-\r\ntrump: i said mexico will pay okay? mexico will payyyyy!\r\nthe world: okay buddy"", ""trump's wall""]"
14,105,14_wave_trump_trump wave_waves,"['wave', 'trump', 'trump wave', 'waves', 'the trump', 'donald', 'donald trump', 'us', 'tsunami', 'tidal']","[""that wave has a wave like donald's wave!"", 'we call it the ""donald trump wave.""', 'oh no! the trump wave!']"
15,102,15_the wheel_wheel_wheel he_reinvent the,"['the wheel', 'wheel', 'wheel he', 'reinvent the', 'reinvent', 'reinventing the', 'to reinvent', 'reinventing', 'trying to', 'trying']","['yes, he is trying to reinvent the wheel!', 'he wants to reinvent the wheel.', ""he's trying to reinvent the wheel -- again!""]"
16,101,16_eat_him_feed_feed him,"['eat', 'him', 'feed', 'feed him', 'eat him', 'food', 'cheese', 'he', 'hungry', 'appetite']","[""it's my turn to feed him."", 'i told you not to feed him first.  feed yourself first.', 'i told you to eat him before he ate you']"
17,99,17_attached_attached to_to me_very attached,"['attached', 'attached to', 'to me', 'very attached', 'become', 'me he', 'he become', 'very', 'attached he', 'quite attached']","['he’s become very attached to me.', ""he's very attached to me."", ""he's very attached to me.""]"
