Topic,Count,Name,Representation,Representative_Docs
-1,1293,-1_she_the_to_you,"['she', 'the', 'to', 'you', 'her', 'it', 'is', 'and', 'of', 'that']","['martha when you said this was going to be hot and sensual, this is not what i thought you meant..', ""i got this girl and she wants me to duke her\r\ni told her i'd come scoop her around eight, she said (super)\r\nthat sounds great, shorty girl's a trooper\r\nno matter what i need her to do, she be like (super)"", ""you know what you have to do, ed. you have to kill mary hogan. you have to see what's inside of her, ed. i know you hear me. only you can here me. stop raking leaves and do what must be done!ehhhhhhhh! ehhhhhh!""]"
0,295,0_mom_mother_your_your mother,"['mom', 'mother', 'your', 'your mother', 'you', 'my', 'to', 'me', 'the', 'in']","['your mother is good.', 'while i wash your back, tell me about your mother.', 'mom!?']"
1,138,1_lady_hey_hey lady_cake,"['lady', 'hey', 'hey lady', 'cake', 'some', 'want', 'psst', 'wanna', 'you', 'pancakes']","['psst, hey lady!  wanna buy a cake?', 'hey lady, wanna buy a', 'hey, lady. want some pancakes?']"
2,112,2_wife_my wife_my_your wife,"['wife', 'my wife', 'my', 'your wife', 'you', 'your', 'to', 'ex', 'ex wife', 'wife and']","['my wife said to ignore it, since what it wants is attention; but then again, my wife is missing.', ""oh my! i'm so sorry--i thought this was my wife."", 'have you seen my wife?']"
3,99,3_neck_she_her_her neck,"['neck', 'she', 'her', 'her neck', 'it', 'to', 'is', 'has', 'the', 'neck she']","['i think she injured her neck.', 'her neck shrank.', ""she's worried about her neck.""]"
4,78,4_ruff_she_the_her,"['ruff', 'she', 'the', 'her', 'ruff she', 'the ruff', 'it ruff', 'that', 'life', 'ruff around']","['she must be really ruff around the edges', 'she must be really ruff around the edges', ""that's queen e. ruff ruff""]"
5,77,5_hillary_clinton_the_president,"['hillary', 'clinton', 'the', 'president', 'she', 'hillary clinton', 'of', 'for', 'be', 'and']","['just think, if this was the fall of 2016 that would be hillary clinton up to her neck in....', ""hillary clinton's emails"", ""(feb. 2017) obviously our new president hillary clinton's bill is still pending but she'll keep at it and i'll be grandfathered in...its in the fine print!""]"
6,73,6_women_women women_you_girls,"['women', 'women women', 'you', 'girls', 'ladies', 'woman', 'the', 'lady', 'this', 'female']","[""you won't budge? not even an inch? then you shall be the grand poobah today. hah! i will let you get your way and we will watch in glee, nasty women that we are!"", 'feminism: made by women for women', 'so, do you think women,women, women, women, women,women, women, women, women,women, women, women, women,women, women, women, women,women, women, women, women,women, women, women, women,women, women, women, women, women, women, get enough attention?']"
7,72,7_queen_princess_the_the queen,"['queen', 'princess', 'the', 'the queen', 'the princess', 'elizabeth', 'her', 'pea', 'and', 'of']","[""a new story! instead of the princess and the pea it's the whale, the coconut palm, and the stranded sailor."", 'the princess and the pea', 'i feel like the princess in ""the princess and the pea.""']"
8,57,8_her name_name_her_is,"['her name', 'name', 'her', 'is', 'name is', 'she', 'lady', 'that', 'on', 'need her']","['her name is circe, but we call her millie.', 'hey, lets both change our names to duran!"" ""why?"" ""her name is rio and she dances on the sand...!', 'i think her name is millie.']"
9,53,9_she_me_her_told,"['she', 'me', 'her', 'told', 'to', 'my', 'said', 'was', 'and', 'told her']","['she told me to meet her here at 6.', 'ironically, she once told me she was wet for me in high school.', ""i told her my parents wanted me to find someone interested in my mind. she promised she'd get there.""]"
10,51,10_fashion_her_dress_she,"['fashion', 'her', 'dress', 'she', 'wears', 'is', 'the', 'fashion statement', 'dressing', 'she wears']","['she has lots of suitors, so she wears her rolodex on her sleeve, instead of her heart.', 'that fashion statement is the only way qe1 would allow qm to keep her head.', 'no, it is not the latest fashion from paris. it is her way of avoiding political discussions. she just nods.']"
11,50,11_stone_stepping stone_stepping_your stepping,"['stone', 'stepping stone', 'stepping', 'your stepping', 'you', 'me', 'to', 'the stone', 'the', 'your']","[""i'm starting to feel like just a stepping stone."", ""my friends always told me that i'm just your stepping-stone."", ""i'm more than just a stepping stone.""]"
12,42,12_recipe_mother_your_apple,"['recipe', 'mother', 'your', 'apple', 'mom', 'pie', 'apple pie', 'my', 'my mother', 'you']","[""wow, and it was your mother's favorite recipe!"", ""it was my mother's favorite recipe."", ""apple pie- it was your mother's favorite....""]"
13,37,13_summer_the_autumn_nor,"['summer', 'the', 'autumn', 'nor', 'of', 'the summer', 'this summer', 'rake', 'is', 'you']","[""in the summertime when the weather is hot\r\nyou can stretch right up and touch the sky\r\nwhen the weather's fine\r\nyou got women, you got women on your mind\r\nhave a drink, have a drive\r\ngo out and see what you can find"", 'summer school stinks! it really is the dog days of summer.', ""now is the summer of our discontent, made glorious summer by this sun of york! that's right good neighbor, spacey is back.""]"
14,34,14_cat_she_mouse_the,"['cat', 'she', 'mouse', 'the', 'pony', 'the cat', 'and', 'we', 'her', 'blind']","[""the cat lost her fiddle, the dog stopped laughing, the cow-bell's in orbit, and the trumpetfish makes no sense at all."", 'sing along! one blinkered cat, one blinkered cat. see how she runs, see how she runs.', ""neigh, we are not just horsing around. no cat and mouse games here but she unnecessarily purr-sists on wearing blinders even though we're in a stable relationship. well, it's been mice talkin' to ya.""]"
15,34,15_she_her_to_stop,"['she', 'her', 'to', 'stop', 'think she', 'talk', 'think', 'her mind', 'mind', 'much lately']","['yes, but then mira likes to talk. you know how she likes to talk, talk, talk.', 'so many cpas think they are the magician! watch me put nadine’s w-2s in here. in six weeks, she will have her refund!', ""...aye my friend, a little odd for sure. methinks her latest phobia is catching fire. you know, the old 'stop, drop, and roll.' always takes it to the next level, she does.""]"
16,34,16_eat_she_in_to eat,"['eat', 'she', 'in', 'to eat', 'the', 'her', 'to', 'to feed', 'feed', 'the kitchen']","['apparently this is something the young ladies are doing these days. i believe they are calling this dieting? starving like the peasants by choice!', ""la scala's diva in first class has very defined culinary requirements. her arugula salad is being prepared in seat 23c."", 'i thought you said this was gonna be a sausage fest!""\r\n""well, i\'m cooking burgers right now but i can put a hot dog on here in a few mins.""\r\n""i see a woman in the other room!""\r\n""oooooh....i see...you weren\'t expecting fish.']"
17,34,17_band_marching_she_drummer,"['band', 'marching', 'she', 'drummer', 'drum', 'own drummer', 'her', 'the', 'crawl', 'own']","['her recession job is to ""lead the band through the sand"". think our recession job is being called ""the band""?', ""sure, she marches to her own drummer, but we're nothing but a couple of lemmings."", 'she marches to her own drummer, we crawl to our own drumsticks.']"
