Topic,Count,Name,Representation,Representative_Docs
-1,6853,-1_he_don_the_you,"['he', 'don', 'the', 'you', 'to', 'it', 'we', 'him', 'his', 'and']","[""do you think he's still in there?"", ""i know you don't want to move, but do you think you could just check that you're not sitting on the remote?"", ""don't blame me, you are the one who told him that if he didn't get a job he would have to move out.""]"
0,488,0_trump_president_donald_the trump,"['trump', 'president', 'donald', 'the trump', 'election', 'voted', 'tower', 'trump tower', 'the election', 'for trump']","['so how long have you been in the trump administration?', 'he voted for trump', 'trump rally']"
1,242,1_sir_menu_reservation_the menu,"['sir', 'menu', 'reservation', 'the menu', 'sorry', 'sir sir', 'sorry sir', 'you', 'reservations', 'need']","[""i'm sorry sir, you're no longer on the menu."", 'sir, i just need you to take one small step out of the vehicle.', ""sorry, sir, that's not on the menu.""]"
2,177,2_feel_feel seen_don feel_don,"['feel', 'feel seen', 'don feel', 'don', 'see', 'people don', 'see me', 'feel like', 'people', 'me']","[""it's just, sometimes i feel like people don't even see me."", 'sometimes i feel like people don’t see me for me', ""i feel like people don't even see me.""]"
3,167,3_don worry_worry_fast_don,"['don worry', 'worry', 'fast', 'don', 'worry we', 'they', 'worry they', 'worry it', 'we', 'll']","[""don't worry, we're covered."", 'don’t worry, we’ll have you running away fast as you can in no time.', ""don't worry, we have time.""]"
4,165,4_shoes_pants_wearing_wear,"['shoes', 'pants', 'wearing', 'wear', 'no service', 'dress', 'no', 'no shoes', 'service', 'shirt']","['toast of the town notwithstanding, sir, no shirt, no shoes, no service!', 'he said no shoes, no service.', ""i don't make the rules. no shirt, no shoes: no service.""]"
5,164,5_dad_father_your father_your dad,"['dad', 'father', 'your father', 'your dad', 'my dad', 'your', 'father was', 'my father', 'the father', 'my']","['i think your dad wants us to move out.', 'that one reminds me of your father.', ""you're my father?""]"
6,151,6_dog_the dog_dogs_park,"['dog', 'the dog', 'dogs', 'park', 'bark', 'his dog', 'pet', 'animal', 'dog park', 'service animal']","[""first they told me no flying kites at the dog park and now you're telling me no flying dogs at the kite park.  where am i suppose to fly this guy?"", 'we don’t always go to the dog park.', ""if you don't see the dog...you're the dog.""]"
7,133,7_rock_rock faster_rock and_faster,"['rock', 'rock faster', 'rock and', 'faster', 'the rock', 'rock bottom', 'between', 'between rock', 'hard place', 'and hard']","[""rock faster, they're catching up!"", ""rock, billy, rock! they're gaining on us!"", ""rock faster, they're gaining on us!""]"
8,130,8_hands_size_feet_six feet,"['hands', 'size', 'feet', 'six feet', 'small', 'six', 'big', 'finger', 'bigger', 'his hands']","[""johnson, i was going to dazzle you by handing you this memo while sitting in a large man's arms and speaking to you without moving my lips, but instead i'm very distracted by the size of your tiny hands."", 'six feet dude. six. feet.', ""of course, it's him. look at the size of his hands.""]"
9,127,9_king_the king_prince_live the,"['king', 'the king', 'prince', 'live the', 'for king', 'fit for', 'long live', 'live', 'fit', 'the prince']","[""i'd say you're fit, for a king."", ""you're fit for a king."", 'so about that ""long live the king.""']"
10,126,10_water_pool_michael_swim,"['water', 'pool', 'michael', 'swim', 'ashore', 'boat', 'michael you', 'water he', 'river', 'wet']","[""if we give him water he'll never leave."", ""michael, you've rowed your boat ashore. you can stop now."", ""michael, you've rowed your boat ashore.""]"
11,124,11_waiter_chef_soup_the chef,"['waiter', 'chef', 'soup', 'the chef', 'mustard', 'ketchup', 'my soup', 'waiter there', 'steak', 'in my']","[""waiter there's a hare in my soup."", 'waiter, there\'s an act of god in my soup.""', 'waiter, there’s an eye in my soup.']"
12,113,12_patient_doc_doctor_appointment,"['patient', 'doc', 'doctor', 'appointment', 'know doc', 'the doctor', 'prostate', 'don know', 'feel', 'his appointment']","[""i don't know doc... sometimes i just feel so invisible."", ""i don't know doc,sometimes i just feel invisible."", ""i don't know doc, i just feel like i don't stand out.""]"
13,110,13_brother_your brother_your_my brother,"['brother', 'your brother', 'your', 'my brother', 'uncle', 'you wanted', 'puppy', 'wanted', 'family', 'ancestry']","['what? you wanted a little brother and you wanted a puppy!', ""you said you wanted a puppy...and a baby brother.  now you've got both!"", 'maybe if you were more like your brother...']"
14,108,14_eat_feed_dinner_food,"['eat', 'feed', 'dinner', 'food', 'eat him', 'feed him', 'to feed', 'him', 'for dinner', 'we']","['sure we have to feed him, but the people below us have to clean up after him.', 'will the gentleman be alive in time for dinner, sir?', ""we're lucky. we just have to feed him.""]"
15,107,15_died_he died_death_loved,"['died', 'he died', 'death', 'loved', 'died doing', 'he loved', 'doing what', 'doing', 'like death', 'he looks']","['well, at least he died doing what he loved', 'well, at least he died doing what he loved', 'at least he died doing what he loved.']"
16,107,16_mouse_rat_mice_lab,"['mouse', 'rat', 'mice', 'lab', 'race', 'rat race', 'rats', 'pigs', 'mouse broken', 'and and']","['i’m sorry sir, but this is a rat race.', 'sorry sir but this is a rat-race”', 'he’s “mouse” broken']"
17,106,17_houses_house_flipping_flip,"['houses', 'house', 'flipping', 'flip', 'to flip', 'flips', 'he flips', 'flips houses', 'flipping houses', 'flip it']","['he did say he was going to flip the house.', 'he said he flips houses.', 'he flips houses.']"
18,105,18_bird_chicken_pigeon_cuckoo,"['bird', 'chicken', 'pigeon', 'cuckoo', 'like chicken', 'chicken he', 'birds', 'the pigeon', 'stool pigeon', 'stool']","['he wants to know if you taste like chicken.', ""he's a bird dog."", ""he's a bird, but he identifies as a bird-dog.""]"
19,101,19_piano_music_keith richards_keith,"['piano', 'music', 'keith richards', 'keith', 'richards', 'of stomp', 'musical', 'stomp', 'violinist', 'violin']","['unfortunately,our strolling violinist has the night off,but please enjoy my twin brother performing selections from the broadway production of stomp.', 'i\'m sorry to say our violinist is isolating, and that tonight\'s entertainment will be sergio and his one-man rendition of ""stomp!""', 'andrew lloyd webber, this is your conscience speaking, you should write a musical about cats, you should write a musical about cats, you should write a musical about cats, you should wr...']"
20,101,20_cave_man cave_man_your man,"['cave', 'man cave', 'man', 'your man', 'cave you', 'wanted man', 'of man', 'my man', 'honey', 'the man']","['but this is a man cave.', 'it’s not a man cave; it’s just a cave.', ""you wanted a man cave? i'm making you a man cave.""]"
21,91,21_tweet_tweets_tweeting_twitter,"['tweet', 'tweets', 'tweeting', 'twitter', 'nra', 'the nra', 'he tweets', 'tweet he', 'twitter account', 'his tweets']","['i like his tweets.', 'every time trump tweets, an angel gets its swings.', 'he tweets for the nra']"
22,91,22_last man_on earth_man on_earth,"['last man', 'on earth', 'man on', 'earth', 'the last', 'man', 'am the', 'last', 'scary time', 'scary']","['so, now that i am the last man on earth...', 'but i am the last man on earth.', 'well, i am the last man on earth...']"
23,86,23_gravity_gravity of_the gravity_situation,"['gravity', 'gravity of', 'the gravity', 'situation', 'the situation', 'situation he', 'of the', 'doesn', 'he doesn', 'his situation']","[""i really think he doesn't understand the gravity of the situation."", ""he doesn't understand the gravity of the situation."", ""i think he doesn't understand the gravity of the situation.""]"
24,85,24_insurance_life insurance_cover_health,"['insurance', 'life insurance', 'cover', 'health', 'existing', 'pre existing', 'pre', 'obamacare', 'covered', 'covered by']","[""his insurance won't cover it, sir. death is a pre-existing condition."", ""pre-existing conditions will not prevent us from winning a lawsuit. or they won't prevent us from getting health insurance? obama has made it all so complicated."", 'i’m sorry sir, but your insurance doesn’t cover pre-existing constrictions']"
25,83,25_dark side_dark_friendly_side,"['dark side', 'dark', 'friendly', 'side', 'has dark', 'friendly but', 'down on', 'he has', 'seems friendly', 'looks down']","[""he seems friendly, but i've heard he has a dark side."", 'i know he looks friendly, but he has a dark side.', 'seems friendly, but he has a dark side.']"
26,81,26_god_of god_acts of_acts,"['god', 'of god', 'acts of', 'acts', 'act of', 'act', 'an act', 'clause', 'god clause', 'of']","['....everything except an act of god.', 'of course this policy covers acts of god. why do you ask?', 'yes, there is an act of god clause, why do you ask?']"
27,81,27_fish_whale_sharks_dolphins,"['fish', 'whale', 'sharks', 'dolphins', 'the fish', 'whales', 'the sharks', 'sharks don', 'salmon', 'fresh']","[""listen, pal, i don't mind being a fish out of water. i do mind being a fish out of scotch."", ""i guess i don't have to ask if the fish is fresh."", 'no, pal, i don\'t drink like a fish.  i drink ""as"" a fish!']"
28,80,28_climate_climate change_global warming_warming,"['climate', 'climate change', 'global warming', 'warming', 'global', 'change', 'believe in', 'meteor', 'believe', 'don believe']","[""he doesn't believe in climate change either."", ""i don't believe in global warming either."", ""you don't believe in global warming?""]"
29,79,29_jury_judge_the judge_the jury,"['jury', 'judge', 'the judge', 'the jury', 'reaper', 'jurors', 'plea', 'don think', 'hanging judge', 'mr reaper']","[""just don't look the jury in the eye."", ""just don't point at the judge."", ""whatever you do, don't look at the jury.""]"
30,79,30_jack_know jack_bean_cloud,"['jack', 'know jack', 'bean', 'cloud', 'beanstalk', 'corporate', 'growth', 'the corporate', 'giant', 'stalk']","['the bean counters don’t know jack!', ""remember, you don't know jack."", ""they don't know jack""]"
31,78,31_frank_be frank_frank with_frank you,"['frank', 'be frank', 'frank with', 'frank you', 'with you', 'be', 'wurst', 'to be', 'frank it', 'frank this']","['i need to be frank with you…', 'can i be frank?', ""i'll be frank with you...""]"
32,77,32_plant_careful_he plant_be plant,"['plant', 'careful', 'he plant', 'be plant', 'careful what', 'weed', 'plant manager', 'plant he', 'what you', 'you say']","[""be careful what you say; i think he's a plant."", ""be careful what you say; i think he's a plant."", ""careful what you say. i think he's a plant.""]"
