caption,mean,precision,votes,not_funny,somewhat_funny,funny,funny_score_scaled,funny_group,topic_nb,aggregated_topic
What do you mean I don’t have time for another game?,1.7495412844036695,0.0140623610419938,3270,1569,951,750,45.990783410138256,funny,6,chess_life_game
Hah. Now it’s only taxes.,1.7273802483737433,0.0194339203244198,1691,833,486,372,43.76036866359447,funny,7,bureaucracy_taxes_insurance
Grim loser is more like it.,1.7054726368159203,0.0173220292814663,2010,989,624,397,43.28110599078341,funny,9,death_grim_reaper_afterlife
Well I’ll be damned.,1.7114461960246743,0.0207909297042293,1459,731,418,310,42.78341013824885,funny,-1,misc
"Whadda ya mean, “it’s my last move?!”",1.6894601542416452,0.0173366093553718,1945,964,621,360,42.58064516129032,funny,2,chess_mechanics_pieces
Leonard soon learns what it means to win the battle and lose the war.,1.6998706338939198,0.0205707788091943,1546,807,396,343,41.89861751152074,funny,3,checkmate_win_lose
How's  that for a death defying move!,1.6795048143053646,0.0197329647877566,1454,719,482,253,41.88018433179724,funny,2,chess_mechanics_pieces
"A soul? That’s a good one, I’m a lawyer.",1.6803468208092485,0.0190212737401617,1730,906,470,353,41.30875576036866,funny,21,death_grim_reaper_afterlife
"I may live to regret this, but CHECKMATE!",1.662295081967213,0.017621291011488,1830,933,582,315,41.16129032258065,funny,0,checkmate_win_lose
"Winners keepers, losers reapers.""",1.6697154471544715,0.0176748200216625,1968,1037,544,387,41.03225806451613,funny,9,death_grim_reaper_afterlife
How about one more game just for the hell of it?,1.6625971143174252,0.0180115408168954,1802,933,544,325,40.94009216589862,funny,6,chess_life_game
Hold up! You can’t take my pieces by just claiming their time has come.,1.6609277857484457,0.016862234735846,2091,1096,608,387,40.866359447004605,funny,15,time_endgame_clock
I've beaten Death! Next up -- taxes!,1.6637931034482758,0.0198843848789533,1508,788,439,281,40.645161290322584,funny,7,bureaucracy_taxes_insurance
"Are you trying to cheat, Death?",1.656800563777308,0.0203083010712812,1419,742,422,255,40.33179723502305,funny,1,checkmate_win_lose
Over my dead body!,1.6618575293056808,0.0231441990227594,1109,580,324,205,40.22119815668203,funny,-1,misc
"Apparently,you CAN cheat death!",1.6567291311754684,0.0222322105690098,1174,611,355,208,40.184331797235025,funny,1,checkmate_win_lose
Would it kill you to let me win,1.6398390342052314,0.019693334900982,1491,796,436,259,39.52073732718894,funny,3,checkmate_win_lose
Checkmate! Now give Betty White back!,1.6493791088385683,0.0213755104100833,1369,752,345,272,39.336405529953915,funny,0,checkmate_win_lose
"Vaccinated, boosted and checkmate.",1.640761300555115,0.0215849354337582,1261,678,358,225,39.28110599078341,funny,24,pop_culture
And now for my final move,1.6285444234404536,0.0226362138927869,1058,556,339,163,39.02304147465438,funny,2,chess_mechanics_pieces
Now if you'll kindly move along. Taxes has next match.,1.6264176117411608,0.0193962892477182,1499,807,445,247,38.94930875576038,funny,7,bureaucracy_taxes_insurance
Sudden death overtime?,1.631083202511774,0.0212828232174144,1274,689,366,219,38.894009216589865,funny,22,death_grim_reaper_afterlife
Gotta run! I have a date with Destiny!,1.621113521330441,0.0198284528808143,1383,737,433,213,38.83870967741935,funny,0,checkmate_win_lose
"Now that I've beaten Death, I'm taking on taxes!",1.6250927988121753,0.0207105611070933,1347,736,380,231,38.59907834101382,funny,7,bureaucracy_taxes_insurance
HAH! I'm gonna remember this win till the day I die!,1.6376360808709176,0.0300421131929125,643,345,186,112,38.56221198156682,funny,3,checkmate_win_lose
"Now look who's cheating, Death!",1.6233644859813083,0.0228116403642919,1070,575,323,172,38.56221198156682,funny,1,checkmate_win_lose
"Checkmate!  Now go ""collect"" my mother-in-law like you promised.",1.620764239365537,0.0206093406147737,1387,771,371,245,38.21198156682028,funny,-1,misc
"Looking pretty grim, eh?",1.605095541401274,0.0221981418925813,1099,600,333,166,37.78801843317972,funny,9,death_grim_reaper_afterlife
I’ll give you a do-over if you give me one someday.,1.602996254681648,0.0223192857918635,1068,580,332,156,37.76958525345622,funny,-1,misc
A deal's a deal--give me the get out of hell free card.,1.6079791847354727,0.0220330104785199,1153,637,331,185,37.75115207373272,funny,-1,misc
Who says you can't beat death?,1.5994094488188977,0.0225407854244994,1016,547,329,140,37.73271889400922,funny,10,death_grim_reaper_afterlife
aaand check! Hah! I'm gonna win this game if it's the last thing I do!,1.6099830795262269,0.0221552006276187,1182,663,317,202,37.603686635944705,funny,0,checkmate_win_lose
Ha! And tomorrow I'm taking on TAXES!,1.610312764158918,0.022299849168959,1183,668,308,207,37.52995391705069,funny,7,bureaucracy_taxes_insurance
Checkmate! Guess you got the short end of the Styx!,1.6024551463644947,0.0229014247853107,1059,588,304,167,37.43778801843318,funny,-1,misc
"Not so tough without your scythe, are you!",1.5967413441955194,0.0232848661076694,982,539,300,142,37.29032258064516,funny,32,death_grim_reaper_afterlife
You are so dead.,1.6,0.0233853586673371,1025,574,287,164,37.19815668202765,funny,34,death_grim_reaper_afterlife
Enjoying your end game?,1.5929487179487178,0.0237083114562521,936,514,289,133,37.19815668202765,funny,17,time_endgame_clock
Let’s see this ‘final move’ you keep  talking about.,1.592959295929593,0.0241504870889342,909,501,277,131,37.12442396313364,funny,2,chess_mechanics_pieces
"So, what’s the endgame?",1.602803738317757,0.0235095120479402,1070,613,269,188,36.995391705069125,funny,17,time_endgame_clock
You’re digging your own grave with that move,1.583132530120482,0.024699388916353,830,455,266,109,36.8294930875576,funny,2,chess_mechanics_pieces
"Make a move already, you're killing me",1.5857142857142856,0.0249247853006515,840,465,258,117,36.7926267281106,funny,2,chess_mechanics_pieces
"So if I win, will you have a chat with the Supreme Court?",1.5994180407371483,0.0239585296057655,1031,594,256,181,36.774193548387096,funny,20,pop_culture
Ha! You were easier to beat then Taxes.,1.5929487179487178,0.024467300107567,936,530,257,149,36.7557603686636,funny,7,bureaucracy_taxes_insurance
Reap this!,1.5947136563876652,0.0251484773308004,908,519,238,151,36.663594470046085,funny,9,death_grim_reaper_afterlife
"Sorry, your time’s up.",1.58203125,0.0258240975940131,768,424,241,103,36.645161290322584,funny,15,time_endgame_clock
That’s one each.  Sudden death?,1.5903083700440528,0.0248262987635645,908,516,248,144,36.60829493087557,funny,22,death_grim_reaper_afterlife
"So, you can handle death but not the agony of defeat.",1.5851938895417157,0.0251785204992257,851,479,246,126,36.552995391705075,funny,10,death_grim_reaper_afterlife
Now you only have one horseman.,1.5894495412844036,0.0253744883727001,872,497,236,139,36.51612903225807,funny,-1,misc
Nice execution,1.5921052631578947,0.0273520071010085,760,434,202,124,36.47926267281106,funny,-1,misc
"Despite his better judgment,Dave attempted to cheat death.",1.5876993166287017,0.0251938805245039,878,500,240,138,36.47926267281106,funny,1,checkmate_win_lose
Perhaps you’d prefer The Game of Life.,1.5814814814814817,0.0255304995978363,810,454,241,115,36.46082949308756,funny,6,chess_life_game
"Oh death, where is thy king.",1.588235294117647,0.0254132065325854,884,508,230,145,36.36866359447004,funny,14,chess_mechanics_pieces
More like Grim Loser.,1.585928489042676,0.0253986367867596,867,496,234,137,36.35023041474654,funny,9,death_grim_reaper_afterlife
"Never saw that coming, did you? Not such a great feeling, is it?",1.5878300803673937,0.0255592139781297,871,501,228,142,36.33179723502304,funny,27,emotional_reactions
"Are you accusing me of cheating, Death?",1.58159509202454,0.0258796764994993,815,464,228,123,36.23963133640553,funny,1,checkmate_win_lose
Suppose I just sacrifice my queen instead?,1.5722070844686649,0.0263539584168108,734,411,226,97,36.12903225806452,funny,12,chess_mechanics_pieces
Don’t feel too bad - I beat taxes too!,1.576874205844981,0.026551799580492,787,455,210,122,35.87096774193548,funny,7,bureaucracy_taxes_insurance
You should know never to ignore the pale horse.,1.5657311669128509,0.0275882795210422,677,385,201,91,35.68663594470046,funny,-1,misc
"Oh, yes, Henry, that's a killer move.",1.564179104477612,0.0277329179292496,670,382,198,90,35.594470046082954,funny,2,chess_mechanics_pieces
"You can take my soul, but not before I take your queen.",1.5812274368231047,0.0268776669978303,831,496,187,148,35.55760368663594,funny,12,chess_mechanics_pieces
Maybe you needed some skin in the game.,1.5698166431593794,0.0281507136591454,709,417,180,112,35.354838709677416,funny,19,body_parts
"Checkmate, skinny!  That means I get to live, I get the scythe, and I guess YOU are on your way to Mar-a-Lago!",1.5761154855643045,0.0279832986984781,762,457,171,134,35.29953917050692,funny,32,death_grim_reaper_afterlife
Checkmate! And people said you were gonna kill me.,1.5570032573289905,0.0287685523621127,614,352,182,80,35.262672811059915,funny,0,checkmate_win_lose
How could you of all people not see that coming?,1.5477477477477477,0.0292736121367139,555,314,178,63,35.115207373271886,funny,27,emotional_reactions
"Who’s knocking on Death’s door now, baby?",1.564179104477612,0.0289914928245792,670,398,166,106,35.02304147465438,funny,-1,misc
Check mate! One apiece…Up for sudden death?,1.5493197278911566,0.029064543230548,588,338,177,73,34.986175115207374,funny,22,death_grim_reaper_afterlife
You’ll win over my dead body!,1.5548172757475085,0.0295857374945649,602,351,166,84,34.94930875576037,funny,-1,misc
Forget reaping. What's grim is your chess game.,1.5505226480836236,0.0297977915904723,574,333,166,75,34.87557603686636,funny,9,death_grim_reaper_afterlife
"So, how does ""sudden death"" apply to you?",1.5568,0.0294493742043127,625,369,164,92,34.857142857142854,funny,22,death_grim_reaper_afterlife
Checkmate! You know my mother-in-law's address?,1.561919504643963,0.0297598495017202,646,388,153,105,34.78341013824885,funny,-1,misc
"Rules are rules, now lose the robe.",1.559593023255814,0.0286348576956163,688,412,167,109,34.78341013824885,funny,18,checkmate_win_lose
Looks like my endgame is better than yours.,1.5444444444444445,0.0302270055753595,540,312,162,66,34.72811059907834,funny,17,time_endgame_clock
"James… I love the confidence, but that is an illegal move. You cannot cheat death.",1.533057851239669,0.0319390215900935,484,285,140,59,34.11981566820277,funny,1,checkmate_win_lose
"Aha! Now,the only thing sure in life is taxes!",1.538910505836576,0.0322191770634856,514,310,131,73,33.97235023041475,funny,7,bureaucracy_taxes_insurance
I’ll remember this for the rest of my life.,1.5354969574036512,0.0324002046539791,493,295,132,66,33.97235023041475,funny,6,chess_life_game
Who’s the little grim weeper?,1.536144578313253,0.0324017145302518,498,299,131,68,33.953917050691246,funny,9,death_grim_reaper_afterlife
"A guy from Georgia told me you're a lousy fiddler player, too!",1.5353535353535352,0.0326785969873944,495,299,127,69,33.84331797235023,funny,-1,misc
"Checkmate!""
""Your timer is up!",1.52183908045977,0.0327543224919559,435,255,133,47,33.82488479262673,funny,0,checkmate_win_lose
Best out of infinity?,1.5169082125603863,0.0331045984484416,414,242,130,42,33.714285714285715,funny,8,deals_bets_rematches
"In the end, Death had to settle for flipping Gary the bird, which still felt pretty good.",1.530398322851153,0.0331032453408794,477,289,123,65,33.64055299539171,funny,-1,misc
Mate! And I also slept with your wife!,1.5268817204301075,0.0330667392411553,465,280,125,60,33.622119815668206,funny,1,checkmate_win_lose
I thought you'd be better at the endgame.,1.5266524520255864,0.0329924097257254,469,283,125,61,33.6036866359447,funny,17,time_endgame_clock
"You made a grave mistake, my friend!",1.5257270693512304,0.0336285324531744,447,269,121,57,33.6036866359447,funny,-1,misc
REAP this Pal !!!,1.5246636771300448,0.0335372601529985,446,268,122,56,33.5852534562212,funny,9,death_grim_reaper_afterlife
Never take on the IRS.,1.5486725663716814,0.0332317304423497,565,361,98,106,33.43778801843318,funny,7,bureaucracy_taxes_insurance
Grave mistake!,1.5281385281385282,0.0340639474222825,462,284,112,66,33.382488479262676,funny,-1,misc
Do I have time for another game?,1.5179856115107917,0.0343022717085167,417,251,116,50,33.364055299539174,funny,6,chess_life_game
Ha! Who says you can't cheat death?,1.5179856115107917,0.0343022717085167,417,251,116,50,33.364055299539174,funny,1,checkmate_win_lose
I forgot to mention that I am a sore loser!,1.5257270693512304,0.0343662364158121,447,274,111,62,33.345622119815665,funny,-1,misc
