Topic,Count,Name,Representation,Representative_Docs
-1,33405,-1_don_the_he_you,"['don', 'the', 'he', 'you', 'to', 'it', 'we', 'him', 'of', 'his']","[""my name's rufus. if you don't know how to do it \r\ni'll show you how to walk the dog."", ""pull it out of the desk and you'll be the king of wall street"", ""i don't think this is going to work.""]"
0,1754,0_him_he_follow_us,"['him', 'he', 'follow', 'us', 'go', 'him he', 'home', 'just', 'he said', 'to']","['do you think he knows...?', 'do you think he knows?', 'do you think he was trying to tell us something?']"
1,1101,1_art_artist_work_his,"['art', 'artist', 'work', 'his', 'his work', 'draw', 'primitive', 'the artist', 'modern', 'his earlier']","[""i really don't get modern art."", ""i don't get modern art."", ""i just don't get modern art.""]"
2,900,2_dog_park_the dog_sir,"['dog', 'park', 'the dog', 'sir', 'dogs', 'dog park', 'your dog', 'the park', 'park is', 'pet']","[""i don't care if the dog park is closed"", 'yes, i see he’s on a leash, but the dog park is on the other side of the park.', 'sorry sir, you need to go to the dog park.']"
3,822,3_father_organ_steam_pipes,"['father', 'organ', 'steam', 'pipes', 'heat', 'priest', 'hot', 'the pipes', 'rabbi', 'god']","['oh, danny boy, the pipes, the pipes, are rusty!', 'oh danny boy, the pipes, the pipes are knocking.', 'oh danny boy the pipes the pipes are warming.']"
4,714,4_don_look down_step_don worry,"['don', 'look down', 'step', 'don worry', 'don know', 'worry', 'feel', 'don look', 'step on', 'me']","[""don't..."", ""don't look down."", ""just don't look down.""]"
5,700,5_piano_piano man_the piano_play,"['piano', 'piano man', 'the piano', 'play', 'cage', 'john cage', 'joel', 'and now', 'piece', 'song']","['can you play piano man?', ""play 'piano man'."", ""play 'piano man'.""]"
6,687,6_ball_bat_the ball_hit,"['ball', 'bat', 'the ball', 'hit', 'hitter', 'mets', 'the mets', 'batting', 'club', 'for the']","['he played for the mets.', ""no, man. you hit the ball, you don't eat it."", ""you don't hit me, you hit the ball""]"
7,608,7_kite_kites_park_your kite,"['kite', 'kites', 'park', 'your kite', 'sir', 'kite park', 'dog', 'as kite', 'kite sir', 'high as']","['sorry, sir. this is not a dog kite park.', ""he's high as a kite."", ""he's high as a kite.""]"
8,587,8_global_global warming_warming_climate,"['global', 'global warming', 'warming', 'climate', 'climate change', 'change', 'tide', 'beach', 'epa', 'carbon']","['so, you still don’t believe in global warming?', 'i still don‘t believe in global warming!', ""still don't believe in global warming?""]"
9,577,9_arthur_king arthur_king_arthur is,"['arthur', 'king arthur', 'king', 'arthur is', 'arthur arthur', 'is arthur', 'like arthur', 'arthur was', 'arthur king', 'arthur in']","["". . . and this is king arthur's office."", 'arthur! arthur!', 'arthur!']"
10,552,10_trump_donald_donald trump_president,"['trump', 'donald', 'donald trump', 'president', 'voted', 'for trump', 'vote', 'elected', 'voted for', 'the donald']","['trump?', 'trump?', 'trump!']"
11,538,11_rock_rock and_between rock_and hard,"['rock', 'rock and', 'between rock', 'and hard', 'face', 'hard', 'between', 'hard place', 'rock face', 'the rock']","[""i'm between a rock and a hard place!"", 'rock', 'rock']"
12,526,12_god_of god_heaven_an act,"['god', 'of god', 'heaven', 'an act', 'hell', 'act of', 'god is', 'act', 'god god', 'to heaven']","['are you an act of god?', ""i'd say it was an act of god but...."", ""so, an 'act of god' is not really an act-of-god?""]"
13,506,13_cop_good cop_bad cop_the good,"['cop', 'good cop', 'bad cop', 'the good', 'bad', 'the bad', 'good', 'he the', 'cop he', 'cop bad']","[""actually, i'm the good cop, and he's the bad cop."", ""no, i'm the good cop. he's the bad cop."", ""i'm the bad cop- he's the good cop !""]"
14,505,14_coffee_toast_wish_toaster,"['coffee', 'toast', 'wish', 'toaster', 'wishes', 'genie', 'mr coffee', 'lamp', 'starbucks', 'the coffee']","[""whatever you do, don't rub the coffee maker."", ""i'm mr. toast. if you wanted coffee, you needed to point to mr. coffee"", ""yes, you get three wishes for toast. and, no, you can't make your third wish for toast be three more wishes for toast. mr. coffee already tried that.""]"
15,475,15_train_model_trains_train set,"['train', 'model', 'trains', 'train set', 'railroad', 'set', 'model train', 'my husband', 'model trains', 'husband']","['it all started with a lionel train set when he was a kid.', 'it started with  his lionel train set', 'this all started with his model train set.']"
16,461,16_seasonal_seasonal help_he seasonal_just seasonal,"['seasonal', 'seasonal help', 'he seasonal', 'just seasonal', 'holiday', 'employee', 'seasonal employee', 'help', 'christmas', 'worker']","[""he's seasonal help."", ""he's just seasonal help."", ""he's just seasonal help.""]"
17,437,17_pants_wearing_pants he_clothes,"['pants', 'wearing', 'pants he', 'clothes', 'costume', 'wear', 'shirt', 'wear pants', 'he', 'halloween']","['you just had to tell him that he isn’t wearing pants,', 'i still think he should have to wear pants.', ""he's not wearing any pants!""]"
18,436,18_death_he died_died_killed,"['death', 'he died', 'died', 'killed', 'to death', 'himself to', 'lived', 'worked himself', 'death he', 'suicide']","['i heard he worked himself to death.', 'he worked himself to death.', 'he worked himself to death.']"
19,433,19_hair_bald_your hair_beard,"['hair', 'bald', 'your hair', 'beard', 'man right', 'hairy', 'mustache', 'wash that', 'gel', 'the hair']","[""we're going to wash that man right out of your hair."", ""we're going to wash that man right out of your hair."", 'gonna wash that man right out of your hair?']"
20,426,20_sword_the sword_desk_he who,"['sword', 'the sword', 'desk', 'he who', 'sword from', 'the desk', 'who', 'shall', 'this sword', 'pulleth']","['he who pulls the sword from the desk is be king of the corner office', 'he who pulls the sword from the desk is rightwise king of the corner office.', 'he who pulls the sword from the desk shall be ceo.']"
21,421,21_fish_like fish_drink_drink like,"['fish', 'like fish', 'drink', 'drink like', 'like', 'fish out', 'fish in', 'fish don', 'don drink', 'water']","['don’t tell me i drink like a fish!', 'drink like a fish? don’t get it.', ""no, i don't drink like a fish.""]"
22,418,22_luther_martin_martin luther_messenger,"['luther', 'martin', 'martin luther', 'messenger', 'the messenger', 'mr luther', 'church', 'theses', 'hello', 'was martin']","['he said his name was luther. martin luther. l-u-t-h-e-r.', 'martin luther, please.', 'luther. martin luther']"
23,400,23_abominable_abominable he_him abominable_not abominable,"['abominable', 'abominable he', 'him abominable', 'not abominable', 'jim', 'be abominable', 'abominable but', 'is abominable', 'was abominable', 'he not']","[""he's not abominable at all."", 'he\'s abominable!""', ""he's abominable.""]"
