Topic,Count,Name,Representation,Representative_Docs
-1,27728,-1_he_don_you_the,"['he', 'don', 'you', 'the', 'to', 'it', 'him', 'we', 'is', 'his']","['i agree that they’re not going anywhere, but don’t you think that could be a problem?', 'i really don\'t think this is what they meant by ""catch and release"".', ""if you don't mind...""]"
0,2298,0_jack_cloud_bean_beans,"['jack', 'cloud', 'bean', 'beans', 'giant', 'beanstalk', 'the cloud', 'clouds', 'growth', 'jack and']","['jack stalking the bean counters', 'jack discovers the cloud', 'jack discovers bean counters in the cloud.']"
1,1653,1_your honor_honor_witness_bear,"['your honor', 'honor', 'witness', 'bear', 'mr', 'teddy', 'client', 'ted', 'the witness', 'my client']","['may i treat him as a hostile witness, your honor?', 'i would like to treat him as a hostile witness your honor.', 'your honor,permission to treat mr. teddy as a hostile witness.']"
2,984,2_sheep_wool_clothing_sheep clothing,"['sheep', 'wool', 'clothing', 'sheep clothing', 'wolf', 'the sheep', 'they', 'the wool', 'sheepish', 'wool over']","['don""t worry. they\'re really all wolves in sheep\'s clothing.', 'wool suits larry???...i don’t believe that is what they meant by wolves in sheep’s clothing.', ""they don't like your wool suit...something about a wolf in sheep's clothing.""]"
3,918,3_lemonade_lemons_make lemonade_you lemons,"['lemonade', 'lemons', 'make lemonade', 'you lemons', 'lemon', 'make', 'death', 'gives', 'gives you', 'when death']","[""when death gives you lemons, don't drink the lemonade."", ""no dear, when death gives you lemons you don't make lemonade."", ""when death gives you lemons, don't make lemonade""]"
4,838,4_trump_donald_election_vote,"['trump', 'donald', 'election', 'vote', 'the election', 'president', 'won', 'votes', 'voted', 'white house']","['still believe trump won the election.', 'trump still lost the election.', 'donald?!']"
5,782,5_suit_wear_dress_clothes,"['suit', 'wear', 'dress', 'clothes', 'pants', 'the suit', 'to wear', 'wearing', 'outfit', 'fashion']","[""he gets to wear a suit because he's got a job."", 'today is his turn to wear the suit and you wear the shoes.  tomorrow you can switch.', ""when you're a good boy, you'll get the suit.""]"
6,734,6_father_dad_your father_your dad,"['father', 'dad', 'your father', 'your dad', 'my father', 'your', 'my dad', 'my', 'the father', 'dad you']","['i knew your father.', ""that's your father?"", 'i’m your father.']"
7,709,7_art_monet_sir_burgers,"['art', 'monet', 'sir', 'burgers', 'grill', 'gallery', 'performance art', 'performance', 'don care', 'museum']","['excuse me sir.  performance art is on the 4th floor.', ""excuse me sir! you can't sell the performance art!"", 'excuse me sir.  the performance art gallery is on the third floor...']"
8,708,8_pet_boys_beach_beach boys,"['pet', 'boys', 'beach', 'beach boys', 'sounds', 'pet sounds', 'burdon', 'the beach', 'eric burdon', 'pet shop']","['the beach boys remake of pet sounds.', ""the beach boys 'pet sounds' is way better."", 'the pet shop boys']"
9,704,9_book_books_author_read,"['book', 'books', 'author', 'read', 'the author', 'book club', 'club', 'the book', 'don', 'eat the']","['you know what they say. “ don’t judge a book by its cover”', 'honey, don’t a judge a book by its cover.', ""don't judge a book by its cover""]"
10,704,10_city_the city_he ll_pace,"['city', 'the city', 'he ll', 'pace', 'he', 'here', 'll', 'at', 'week', 'block']","['my god! he’ll destroy the city in 6 to 9 months.', 'if we don’t act now, it’ll destroy the city in 20 years!', ""my god, we've got to stop him, or he'll destroy the city in a matter of months!""]"
11,690,11_mask_masks_wear_to wear,"['mask', 'masks', 'wear', 'to wear', 'wear mask', 'wearing', 'wearing mask', 'his mask', 'wear masks', 'don have']","[""at least we don't have to wear a mask."", ""dude, you don't have to wear a mask!"", ""now we don't have to wear a mask.""]"
12,664,12_piano_the house_house_house down,"['piano', 'the house', 'house', 'house down', 'brought', 'down the', 'down', 'keys', 'the piano', 'brought down']","['i hear he brought down the house.', 'he really brought the house down.', 'i told you “the piano man” would bring the house down.']"
13,645,13_rock_the rock_rocks_rock and,"['rock', 'the rock', 'rocks', 'rock and', 'that rock', 'between rock', 'the rocks', 'and hard', 'hard place', 'hard']","['caught between a rock and a hard place.', ""you're between a rock and a hard place."", 'between a rock and a hard place.']"
14,538,14_square_round_hole_peg,"['square', 'round', 'hole', 'peg', 'fireman', 'round hole', 'pole', 'square peg', 'the square', 'moby']","['he got tired of being the square peg in the round hole.', ""don't put square peg in a round hole"", ""i just don't know if i'm a square peg in a round hole, or a round peg in a square hole.""]"
15,518,15_rat_lab_mouse_mice,"['rat', 'lab', 'mouse', 'mice', 'rat race', 'race', 'rats', 'experiment', 'the rat', 'sir']","[""i'm sorry sir, the rat race is only for rats."", 'i’m sorry sir, but this is a rat race.', 'sorry sir but this is a rat-race”']"
16,517,16_water_boss_clean_shower,"['water', 'boss', 'clean', 'shower', 'toilet', 'the water', 'come clean', 'the boss', 'cement', 'the toilet']","[""if you don't start talking, i am going to flush the toilet."", 'when the boss told you to “come clean”, i don’t think he had this in mind!', ""don't make me flush the toilet!""]"
17,511,17_cave_man cave_man_your man,"['cave', 'man cave', 'man', 'your man', 'my man', 'the man', 'cave thing', 'cave man', 'cave honey', 'neanderthal']","['but…this is my man cave !', ""it's my man cave."", ""that's your man cave?""]"
18,481,18_brother_your brother_your_little brother,"['brother', 'your brother', 'your', 'little brother', 'like your', 'your new', 'my brother', 'new brother', 'brother he', 'little']","['now, be a good boy like your brother.', 'meet your brother', 'why can’t you be like your brother? 🤔']"
19,455,19_fish_the fish_fishes_seafood,"['fish', 'the fish', 'fishes', 'seafood', 'the fishes', 'fish is', 'goldfish', 'horn', 'tuna', 'the']","['you should see what he did to the fish .', ""i don't hear the fish - do you hear the fish?"", ""i don't get the fish""]"
20,444,20_don worry_worry_don_worry we,"['don worry', 'worry', 'don', 'worry we', 'worry it', 'time', 'sir', 'dude', 'll', 'it']","['i said don’t worry!', ""don't worry. we have plenty of time."", ""don't worry, we have time.""]"
21,441,21_good boy_boy_good_who good,"['good boy', 'boy', 'good', 'who good', 'be good', 'boy too', 'who', 're good', 'boy who', 'boy you']","[""who's a good boy?"", 'be a good boy', ""who's a good boy?  you're a good boy!""]"
22,432,22_mustard_ketchup_relish_jackson,"['mustard', 'ketchup', 'relish', 'jackson', 'don relish', 'pollock', 'oil', 'low', 'the mustard', 'jackson pollock']","[""i don't relish telling you your'e low on mustard."", 'i don’t relish telling you that it’s low on mustard.', ""i don't relish telling you this but you're running low on mustard.""]"
23,403,23_salesman_sales_our best_best,"['salesman', 'sales', 'our best', 'best', 'best salesman', 'he our', 'customers', 'our', 'inventory', 'he']","[""i know what you're thinking, but he's our best salesman."", ""i know, but he's our best salesman."", ""he's our best salesman.""]"
24,395,24_wine_drink_for drink_drinking,"['wine', 'drink', 'for drink', 'drinking', 'the wine', 'of wine', 'drinks', 'glass', 'tequila', 'glass of']","[""why don't you stop for a glass of wine on the way down?"", 'why don’t you drop everything and join me for a drink?', ""why don't you drop what you're doing and join me for a drink??""]"
25,384,25_man_men_man who_like man,"['man', 'men', 'man who', 'like man', 'who', 'male', 'man with', 'gender', 'best man', 'love man']","['you look like a man who knows how to have a good time.', 'i like a man with big balls.', 'i like a man who’s on the ball.']"
26,354,26_china_china shop_shop_china he,"['china', 'china shop', 'shop', 'china he', 'in china', 'the china', 'fine china', 'to china', 'knows', 'he']","['he really knows his china!', 'he really knows his way around the china shop', 'not only is he in a china shop, he owns the china shop.']"
27,347,27_climate_weather_climate change_the weather,"['climate', 'weather', 'climate change', 'the weather', 'change', 'warming', 'global warming', 'global', 'rain', 'weatherman']","['so you still don’t believe in climate change?', 'and you said you don’t believe in climate change', ""i still don't believe in climate change.""]"
28,345,28_rabbit_the rabbit_hat_rabbit out,"['rabbit', 'the rabbit', 'hat', 'rabbit out', 'bunny', 'out of', 'of hat', 'pulling', 'pulling rabbit', 'the hat']","['and then he pulled a rabbit out of a hat.', 'i think he pulled the hat out of the rabbit !', 'i still don’t see the rabbit.']"
29,339,29_feel_don feel_feel seen_don see,"['feel', 'don feel', 'feel seen', 'don see', 'see', 'see me', 'feel like', 'seen', 'people don', 'people']","[""i don't feel seen."", ""i feel like you don't see me."", 'i just don’t feel seen.']"
30,333,30_upside_upside down_down_world,"['upside', 'upside down', 'down', 'world', 'his world', 'turned', 'turned upside', 'world upside', 'down he', 'turn']","['he said i turned his world upside down.', 'his world has been turned upside down.', 'i turned his world upside-down!']"
31,303,31_lion_the lion_daniel_circus,"['lion', 'the lion', 'daniel', 'circus', 'den', 'the circus', 'lion king', 'the den', 'lion tamer', 'tamer']","[""daniel in the lion's dentures."", ""i warned you, daniel. this is the lion's den."", 'you’re not the lion king.']"
32,299,32_dinner_eat_lunch_ate,"['dinner', 'eat', 'lunch', 'ate', 'hungry', 'feed', 'food', 'for dinner', 'him', 'meal']","[""you didn't have to eat him ..."", 'who do you think he’ll eat for dinner?', 'i told you to eat him before he ate you']"
33,298,33_bite_don bite_males_bite don,"['bite', 'don bite', 'males', 'bite don', 'scratch', 'lick', 'don scratch', 'worry', 'don worry', 'smell']","[""don't worry. the males don't bite."", ""don't worry.  they don't bite."", 'don’t worry...they don’t bite.']"
34,283,34_cake_groom_down cake_the cake,"['cake', 'groom', 'down cake', 'the cake', 'wedding', 'the groom', 'pineapple', 'upside down', 'upside', 'pineapple upside']","['he makes the best upside down cake.', 'his pineapple upside-down cake is out of this world!', 'he makes the best pineapple upside down cake']"
35,282,35_friendly_nice_he nice_he friendly,"['friendly', 'nice', 'he nice', 'he friendly', 'nice guy', 'friendly but', 'enough but', 'different', 'friendly enough', 'on us']","['he seems friendly, but i know he looks down on us.', ""he seems friendly, but he's always looking down on us."", ""he's friendly enough but i think he looks down on us.""]"
36,282,36_moon_the moon_man in_the man,"['moon', 'the moon', 'man in', 'the man', 'moon is', 'in the', 'man', 'the', 'full', 'in']","['i think the man in the moon is coming on to you', 'do you think the man in the moon knows something?', 'the moon is the man!']"
