caption,topic
"when the right woman comes along, i'll know it.",3
i see this job as a stepping stone...,238
my ex-wife puts you all to shame.,0
this is how i met my first wife.,0
my mother-in-law arrives today - this is how i warm up.,206
just protecting my mom's crack.,317
mom named me matt and it just kinda' stuck.,-1
my wife says this is what i do best.,0
my ex-wife told me it would help me understand our divorce.,7
"""stand closer to the window,"" she said. ""what could possibly go wrong?"" she said.",-1
i'm starting to think that it might have something to do with my mother.,-1
she's right! she's right! everybody does just walk all over me!,-1
the chiropractor said this would help heal my mother's back.,53
i prefer women in skirts.,-1
my wife's right! i do let people walk all over me.,-1
she's right. i do let people walk all over me.,-1
my wife left me for a banker. and i'm a banker.,0
like my wife keeps telling me i let people walk all over me.,-1
"if i even save one mother's back, it's worth it.",-1
i'm kind of hoping the right girl will just fall into my lap,3
my wife says i let people walk all over me...do you think that's true?,-1
she said i'll never know what it's like to have people walk all over me.,-1
my wife complains that i take things lying down.,0
"come on, think of your mother's back!",-1
nobody's breaking their mother's back on my watch.,317
"go ahead, my wife does it all the time.",0
"my wife said i was lying around the house too much, so i decided to go somewhere else.",0
so this is what grandma meant by tripping the light fantastic.,14
my wife says i let people walk all over me. maybe she's right.,-1
my wife says i let people walk all over me.,-1
i'll show her avoidance behavior.,-1
i'm waiting for nancy sinatra.,-1
"it's better in summer, with the shorter skirts.",2
"step on my tie, poke your mother's eye!",317
my ex-wife suggested this crowd-sourced massage idea.,-1
"it's just like spending time with my wife, except that i get to see many more shoes.",35
"so i said to her: ""who needs to pay for a fancy massage therapist?""",-1
"mom,i hope you can hear me up there. most people would rather walk over something than pick it up.",-1
my wife always says that i let people walk all over me.,-1
"ok, so maybe i am your stepping stone.",75
that's weird. that cloud looks like my mother.,282
"step on me, break your mother’s knee.",317
keep moving! my wife says this is part of my homework for couples therapy.,84
i'm starting to think my wife is right. i do let people walk all over me.,-1
my mother was right. i always let people walk all over me.,-1
i'm still have faith in trickle-down economics.,-1
then she told me to stop being everyone's door mat.,223
this job is just a stepping stone.,238
mom was right. they really did walk all over me.,-1
my wife wants me to understand how it feels to have people walking all over me.,-1
my wife says i'm lazy.,0
"my wife says i shouldn't let people walk all over me, but i'm not taking that lying down.",-1
my wife says that i let people walk all over me.,-1
guess what mom? maybe i do like letting people walk all over me.,-1
i guess my ex-wife and that therapist we're right; i do let people walk over me!,-1
"i'm ignored at work, my wife ignores me, now this!",0
she says i was a doormat--i'll show her.,223
"step on an banker, break your mother's credit score.",317
step on a crack and break your mother's back.,317
soft landing. negative interest. thank you janet.,91
tiffany and i are thinking of going off the grid.,-1
and you wonder why my wife calls me a doormat!,223
"..me lazy! i'll show her. tomorrow; early next week, tops.",-1
it’s a low-level position but they assured me it would be a stepping stone.,238
""" my wife keeps telling me to ' just stop and smell the roses.' got any roses?''",29
?? i'm not your stepping stone ????,75
my wife found the idea on pinterest.,0
"mother named me matt, now look at me!",-1
"well, when i was born, my mom said ""welcome, matt"".",-1
"step on a crack, break my mother's back...oh what the hell, go for it anyway.",317
"step on a crack and break your mother's, i mean, my back.",317
"step on a crack, you'll break your mother's back.",317
you know my last girlfriend used to call me a doormat...,223
"i'm not moving until she comes down and says ""yes""!",339
"door mat she said, can you believe it?",223
this feels like summer camp compared to date night with my wife!,2
"my wife and my boss walks all over me, why not you people too.",-1
"yep, should suit grandma perfectly",14
"i tried to tell mom in giltner that this is life in the city. ""i wanna go home"".",-1
my wife is right. i have physical attraction.,3
this is were i broke my mothers back.,-1
"was that the old lady from next door? ""woof""",-1
"my wife says i'm a doormat, so i'm waiting for her to walk home.",223
"remember, step on a crack and your old lady goes to the er.",317
this is how i feel when my wife tells me i'm a doormat !,223
i'm just a sidewalk goofball named leroy. hooboy! leroy's back in town. wait until hillary wins. hooboy!,5
where's my wife with that needle and thread?,-1
"in my imagination, there were more rose petals.",29
"i am just testing out a theory,....my wife keeps telling me my boss treats me like a ""door mat"".",223
"just trying to get to the bottom of things, mom.",-1
i knew she was asking for it when my mom named me matt.,-1
"i wonder why my wife i was nothing more than a ""door mat"".",223
i'm not moving til hillary wins!,5
step on zak and break your mother's back.,317
"that's life. riding high in april, shot down in may. but i'll be back on top in june.",2
"she said, ""go to a peaceful place.""",-1
she keeps saying i let people walk all over me...where's she getting that?,-1
my wife's been preparing me for this day for 23 years!,0
it makes me feel closer to my ex-wife.,0
it's my back--it turns out my mother stepped on a crack first.,317
"how long has it been like that?"" ""since beyoncé's super bowl 50 halftime show.",-1
so my wife thinks that the human resources dept. is taking their title too literally ...,-1
"so she told me, if you want people to stop using you as a doormat, you should start by getting a new therapist, or at least a real one.",84
i see london. i see france. i see lucy's underpants.,102
the gal at the massage parlor wanted to charge me $100 for this.,-1
"...four hours without being spat upon, robbed, or actually stepped on! my faith in humanity is restored!",76
"step on a back, break your mother's crack.",317
"if you think of me as a stepping-stone in your career, you'll sleep better at night.",238
my wife was right. she always said that i let people walk all over me.,-1
i haven't felt like this since my wife left me.,0
"always wondered why mother said "" try to stay out from underfoot"" ?",-1
"so far, no one has actually stepped on me, renewing my faith in humanity.",76
i break my back to save your mother's.,-1
"i'm ready to talk about my mother, doc.",16
that old lady sure had a well kept muff,-1
i'm the company stepping stone. it's part of our non-discrimination program.,238
"my wife told me to get out from under her feet, so i lay down out here instead.",0
i loafe and invite my soul; i lean and loafe at my ease observing these peers of summer pass.,2
it's an experiment. my wife says people walk all over me.,-1
good morning. i'm your mother's chiropractor. good morning. i'm your mother's chiropractor. good morning....,73
"finally, some peace and quiet away from the wife and kids.",7
mom always said women would walk all over me. so far they're just walking around...,-1
"my ex-wife scolded me for allowing everyone to walk all over me. but, hey, i can't help it if i'm a people person",-1
i wasn't expecting madison avenue to be filled with such sensible footwear.,35
the wife was tired of me getting underfoot at home.,0
i'll try anything to cut back on mom's chiropractor bills.,53
i'm testing mother's theory that i must lie down to be walked on.,-1
your mother will thank me.,-1
give my concession speech to my mom and tell her i'm finally getting noticed.,-1
my wife says i should view people from another angle.,-1
this has 'alice in wonderland' beat by a mile.,23
i promised to take your mother shoe shopping as soon as i was finished.,-1
not quite yet. your grandmother is still visiting.,63
your mother doesn't want me hurt. only humiliated.,130
because i promised your mother we would talk after i finished the driveway.,-1
tell your mother i'll be in to meet her parents when i'm done.,-1
"""your mother said we should be spending more time together"".",-1
it's your mom's idea.,-1
"they call this a ""tall?"" you were right to get the grande.",37
"quick switch shovels, moms coming!",167
no thanks - i'm trying to beat mom's fitbit total,-1
you'll understand one day when your mother-in-law is visiting.,-1
and you can paint the fence this summer.,2
"no, thanks. i promised we'd visit your grandmother when i finished the walkway.",14
"no matter what your mother says, size does matter.",30
"because when i'm done shoveling the sidewalk i have to rub grandma's nasty feet, that's why.",167
keep looking. i know grandma's out here somewhere.,14
"the messier, the better; then your mother won't trust us to do this anymore.",-1
"size matters? your mom sent you out here to say that, right?",30
we can't go to grandma's recital until we're done.,14
tell mom i'll watch the debates as soon as i finish shoveling.,167
no ! no ! no ! i'll dig out grandma .,14
shhh. i told your mother i'd watch the view with her as soon as i cleared the entire sidewalk.,-1
you sound like your mother. it's not about size.,30
where's your baby sister with the snowblower?,167
i have no idea why your mother says i'm always doing things the hard way.,-1
"obviously i'd prefer yours, but helen gave me this one for christmas.",46
i never should have told your mother that size doesn't matter.,30
"no, i won't tweet cory booker to come over and shovel our sidewalk",-1
you can tell your mom it's my heart healthy shovel and i need a few more hours.,167
"well, you got to use it at the beach last summer.",2
"nice try. go back inside and tell your mother that she said to shovel the walk, so i'm shoveling the walk.",167
"well alice, does size matter now?",30
"a mother-law will make you want to do strange things, timmy.",150
mom sent me out to tell you she lied; size does matter...,30
and then she has the nerve to accuse me of always taking the good pillow.,-1
mom says she needs her ice cream scoop back.,-1
it was your mother's idea.,-1
it's your mom's idea. it's called the zen diet.,72
get inside with that before your mother sees you.,-1
even after 25 years i still like to prove to your mother that size doesn't matter.,30
when i want your mother's advice i'll ask for it.,-1
"like i told your mother, it's not the size of the tool that counts but how you use it.",167
"if she is paying you buy the hour, you need a new shovel",167
"no matter what your mom says, size doesn't matter.",30
tell your mother that size isn't everything.,30
you'll never find mom with that one.,-1
your mom was right. size doesn't matter.,30
let's make a deal: we swap shovels and the hot chocolate servings mom is preparing for each of us.,167
"sydney, i have a better idea. lets go buy a snowblower.",178
switching our shovels just before mom looks out the window never gets old.,167
wait till i tell your mother i did this with your shovel.,167
now you can understand the dangers of big government! your mother is the one who insisted on buying you that subsidized shovel!,167
tell your mom to get out here so i can finally prove to her that size doesn't matter.,30
give a call to goldilocks to come on over with her shovel,167
i told my wife that i would help out around the house after i finished shoveling.,0
"thanks, but i’m looking for mom’s wedding ring.",287
your sister stayed on the sidewalk.,11
"go see if mom has warmed your cocoa, and remind her i'd like my reward shaken...",-1
"thanks, but your mother isn't always right.",-1
"i have a bigger shovel, but the wife wants to talk about feelings when i'm done.",167
mom's making bacon and eggs and she wants you to use this one.,34
go tell mom she made her point; size does matter!,30
"come on mom, we have 5 more houses to do.",-1
"this one keeps me out longer, away from your mother.",-1
grandma's house looks smaller than when i was your age.,14
"timmy, your mother and i have already explained our switch to small-batch snow shoveling.",167
"my what a big shovel you have...and mine is too small...mom's should be just the right size to finish...let's go in, game starts in 15 minutes.",167
