Topic,Count,Name,Representation,Representative_Docs
-1,19352,-1_she_her_mother_mom,"['she', 'her', 'mother', 'mom', 'to', 'and', 'you', 'the', 'my', 'it']","['what do you think mom is trying to say?', ""you'll never know what it's like to have the weight of the world on your back, karen"", 'mom?']"
0,1323,0_wife_my wife_your wife_ex,"['wife', 'my wife', 'your wife', 'ex', 'ex wife', 'my', 'wife is', 'the wife', 'my ex', 'your ex']","['and for my ex-wife?', ""i think that's my ex-wife!"", 'to my ex-wife.']"
1,1140,1_queen_the queen_my queen_majesty,"['queen', 'the queen', 'my queen', 'majesty', 'queen is', 'royal', 'queen you', 'like queen', 'queen for', 'her majesty']","['be my queen.', 'the queen is dead. long live the queen.', ""tell the queen i'm sorry.""]"
2,1012,2_summer_the summer_this summer_fall,"['summer', 'the summer', 'this summer', 'fall', 'great fall', 'winter', 'spring', 'june', 'great', 'summer it']","['i had a great fall, but the spring and summer have been a nightmare!', 'winter, spring, and summer were ok, but i had a great fall!', 'had a great fall, but winter, spring and summer... not so much.']"
3,811,3_women_woman_female_girls,"['women', 'woman', 'female', 'girls', 'women women', 'the women', 'feminine', 'women in', 'ladies', 'the ladies']","[""it's a good way to meet women."", 'feminism: made by women for women', 'i told you - i’m not into older women.']"
4,651,4_trophy_trophy wife_your trophy_wife,"['trophy', 'trophy wife', 'your trophy', 'wife', 'being trophy', 'being', 'wanted trophy', 'wife you', 'be trophy', 'for trophy']","['you wanted a trophy wife!', 'i’m not your trophy 🏆 🐟 wife!', 'i’m a trophy wife !']"
5,614,5_hillary_for hillary_voted_voted for,"['hillary', 'for hillary', 'voted', 'voted for', 'vote', 'president', 'pelosi', 'clinton', 'voting', 'voting for']","['maybe we should have voted for hillary.', 'i told you, we should have voted for hillary!', 'we should have voted for hillary.']"
6,563,6_karen_karen you_karen it_you karen,"['karen', 'karen you', 'karen it', 'you karen', 'karen karen', 'manager', 'the manager', 'it karen', 'no karen', 'time karen']","['ok, karen.', ""that's the manager, karen."", 'i told you karen']"
7,519,7_divorce_papers_divorce papers_the divorce,"['divorce', 'papers', 'divorce papers', 'the divorce', 'served', 'served me', 'just served', 'wants divorce', 'lawyer', 'me with']","['my wife just served me with divorce papers.', 'yes, she served me the divorce papers.', 'she just served me with the divorce papers.']"
8,403,8_dress_fashion_wearing_wear,"['dress', 'fashion', 'wearing', 'wear', 'pants', 'outfit', 'her dress', 'was wearing', 'that dress', 'she wearing']","[""she's just trying to make a fashion statement"", 'i can see up her dress.', 'can you believe she said ""yes to the dress"" ?']"
9,379,9_feed_feed her_eat_to feed,"['feed', 'feed her', 'eat', 'to feed', 'lunch', 'food', 'meat', 'eat her', 'to eat', 'sandwich']","['we only need to feed her.', 'at least we get to feed her.', 'i forgot to feed her.']"
10,321,10_dog_her dog_pet_the dog,"['dog', 'her dog', 'pet', 'the dog', 'vet', 'dogs', 'leash', 'the vet', 'animal', 'dog she']","[""she thinks i'm the dog"", 'you should see her dog.', ""you should see her dog's.""]"
11,318,11_sister_your sister_sisters_my sister,"['sister', 'your sister', 'sisters', 'my sister', 'twisted', 'sister you', 'bitch', 'sister is', 'little sister', 'your']","[""she's my sister!"", 'so much for your sister', 'i slept with your sister.']"
12,317,12_peep_sheep_bo_bo peep,"['peep', 'sheep', 'bo', 'bo peep', 'little bo', 'ms', 'ms peep', 'her sheep', 'ms bo', 'little']","[""would you tell little bo peep - i've found her sheep?!"", 'tell bo peep i found her sheep.', 'little bo peep lost her sheep']"
13,309,13_princess_the princess_castle_princess is,"['princess', 'the princess', 'castle', 'princess is', 'like princess', 'the castle', 'your princess', 'princess this', 'princess and', 'princess in']","['sorry the princess is in another castle.', 'sorry, but the princess is in another castle.', 'you wanted to be the princess.']"
14,293,14_grandma_grandmother_great great_great,"['grandma', 'grandmother', 'great great', 'great', 'your grandmother', 'in grandma', 'you have', 'the grandma', 'in grandmother', 'costume']","[""it was my great great grandma's."", 'grandma?!', 'grandma?']"
15,277,15_fish_like fish_drink like_drink,"['fish', 'like fish', 'drink like', 'drink', 'fish in', 'the sea', 'sea', 'fish and', 'says drink', 'plenty']","['my wife says i drink like a fish.', 'she says i drink like a fish...', 'then she says i drink like a fish.']"
16,261,16_about your_your mother_about_tell me,"['about your', 'your mother', 'about', 'tell me', 'me about', 'mother', 'relationship with', 'talk about', 'your relationship', 'mother tell']","['tell me about your mother.', 'tell me about your relationship with your mother.', 'tell me about your relationship with your mother.']"
17,258,17_susan_susan susan_susan you_susan we,"['susan', 'susan susan', 'susan you', 'susan we', 'susan but', 'hey susan', 'susan what', 'sorry susan', 'see susan', 'me susan']","['oh, hey susan.', 'susan, we have a problem.', 'hi, susan!”']"
18,258,18_cake_the cake_cake and_cake she,"['cake', 'the cake', 'cake and', 'cake she', 'her cake', 'wedding cake', 'wedding', 'eat', 'it too', 'eat cake']","['she wanted to have her cake and eat it too.', 'you know she can’t have her cake and eat it too', 'she can have her cake and eat it too.']"
19,253,19_stone_in stone_the stone_stone throw,"['stone', 'in stone', 'the stone', 'stone throw', 'throw away', 'throw', 'that stone', 'just stone', 'stone cold', 'one stone']","['honey, \r\ni’m only a stone’s throw away ,,,,,.', ""i am only a stone's throw away."", 'just a stone‘s throw away']"
20,250,20_mustard_ketchup_low_low on,"['mustard', 'ketchup', 'low', 'low on', 'quart', 'on mustard', 'ma am', 'ma', 'the mustard', 'dijon']","['ma’am, you’re low on ketchup, mustard, and relish.', ""you're low on mustard lady"", 'ma’am you’re a quart low on mustard.']"
21,245,21_witch_wicked witch_wicked_the witch,"['witch', 'wicked witch', 'wicked', 'the witch', 'the wicked', 'witch of', 'good witch', 'the west', 'west', 'witch and']","['my ex is the wicked witch of the west.', 'i thought you were the wicked witch of the west.', 'my mother was the wicked witch of the west.']"
22,211,22_cat_cat lady_the cat_cats,"['cat', 'cat lady', 'the cat', 'cats', 'crazy cat', 'crazy', 'kitty', 'kittens', 'lady', 'catnip']","[""at least you won't be the crazy cat lady"", 'is this about the cat lady in 6-b?', ""i'll get the cat lady.""]"
23,207,23_alice_the moon_moon_moon alice,"['alice', 'the moon', 'moon', 'moon alice', 'alice in', 'wonderland', 'alice you', 'alice alice', 'in wonderland', 'ask alice']","['to the moon, alice', 'to the moon, alice', 'to the moon, alice']"
24,206,24_martha_martha you_martha martha_you martha,"['martha', 'martha you', 'martha martha', 'you martha', 'martha the', 'martha it', 'no martha', 'martha they', 'martha just', 'it martha']","['martha told me to do it.', ""i'm telling you, martha, it's not going to work."", 'where’s martha?!']"
25,196,25_knight_armor_shining_in shining,"['knight', 'armor', 'shining', 'in shining', 'knight in', 'shining armor', 'her knight', 'the knight', 'knight out', 'armour']","['you said she wanted a ""knight in shining armor"".', ""just think, you'll be her knight in shining armor."", ""you'll be her knight in shining armor.""]"
26,193,26_bull_china_shop_china shop,"['bull', 'china', 'shop', 'china shop', 'cow', 'in china', 'the bull', 'the china', 'bull in', 'no bull']","['like a karen in a china shop.', 'how do you know i’m the bull in a china shop, brenda? maybe the china is in the bull shop. have you ever thought of that?', ""it's not bull in a china shop. its bull owns the china shop debra""]"
27,190,27_in half_half_trick_her in,"['in half', 'half', 'trick', 'her in', 'saw', 'magic', 'woman in', 'sawing', 'cut', 'saw her']","['just answer the question! did you or did you not saw her in half?', 'answer the question. did you or did you not saw her in half?', 'did you cut her in half or did you not cut her in half?']"
28,190,28_lemons_lemonade_you lemons_gives you,"['lemons', 'lemonade', 'you lemons', 'gives you', 'death', 'gives', 'lemon', 'when death', 'death gives', 'life']","['my mother always said, “when death gives you lemons, make lemon bars.”', 'when death gives you lemons, carol…', 'when death gives you lemons, make lemonade for your mother.']"
29,177,29_rose_rose garden_the rose_garden,"['rose', 'rose garden', 'the rose', 'garden', 'you rose', 'never promised', 'promised you', 'promised', 'roses', 'rose gold']","['i never promised you a rose garden!', 'i never promised you a rose garden.', 'i never promised you a rose garden.']"
30,174,30_size_matter_size doesn_doesn matter,"['size', 'matter', 'size doesn', 'doesn matter', 'that size', 'matters', 'size matters', 'size does', 'does matter', 'bigger']","[""i know your wife told you that size doesn't matter. but..."", ""mom says size doesn't matter."", ""your mother told me that size doesn't matter""]"
31,174,31_stone age_age_the stone_stone,"['stone age', 'age', 'the stone', 'stone', 'back to', 'age stone', 'age this', 'modern', 'modern stone', 'age but']","['still stuck in the stone age""', 'is this the end of the stone age?', 'you’re still in the stone age.']"
32,171,32_autumn_leaves_autumn leaves_the autumn,"['autumn', 'leaves', 'autumn leaves', 'the autumn', 'fall', 'autumn of', 'it autumn', 'autumn is', 'in autumn', 'autumn in']","[""it's the autumn of their lives"", ""it's autumn, i leaves you now."", 'autumn leaves']"
33,171,33_neck_her neck_neck she_neck out,"['neck', 'her neck', 'neck she', 'neck out', 'bad about', 'feels bad', 'she feels', 'about her', 'feels', 'necking']","['she feels bad about her neck.', 'she feels bad about her neck.', 'she feels bad about her neck']"
34,169,34_recipe_mother recipe_recipes_mom recipe,"['recipe', 'mother recipe', 'recipes', 'mom recipe', 'mother recipes', 'your mother', 'mother', 'recipe your', 'my mother', 'recipe what']","[""your mother's recipe?"", ""your mother's recipe?"", ""your mother's recipe?""]"
35,168,35_shoes_shoe_her shoes_in shoe,"['shoes', 'shoe', 'her shoes', 'in shoe', 'old lady', 'old', 'old woman', 'lived in', 'who lived', 'heels']","['and next, how about doing the old woman who lived in a shoe!', 'you should see her shoes.', '“her shoes.”']"
