percent_male,male_count,female_count,word
61.65,8,1,hair
100.0,2,0,ground
100.0,1,0,attached
0.0,0,1,pendant
100.0,1,0,cop
0.0,0,1,notepad
100.0,2,0,relaxing
100.0,1,0,reads
100.0,1,0,discussing
100.0,2,0,too
100.0,1,0,surprised
100.0,1,0,occupied
50.12,5,1,person
16.73,1,1,lawn
100.0,1,0,children
100.0,4,0,suits
50.12,5,1,three
100.0,1,0,crushed
43.3,19,5,while
100.0,1,0,held
0.0,0,1,friend
0.0,0,1,hornets
100.0,1,0,ignores
0.0,0,1,station
46.55,13,3,them
100.0,1,0,using
100.0,1,0,bigfoot
25.09,5,3,people
100.0,2,0,offers
28.67,2,1,waits
100.0,1,0,part
0.0,0,1,prison
100.0,1,0,bakers
100.0,1,0,type
16.73,1,1,attacked
100.0,3,0,hamster
100.0,1,0,railroad
46.07,17,4,office
100.0,1,0,marrying
100.0,1,0,pilots
28.67,2,1,going
100.0,1,0,aggressive
9.13,1,2,shock
100.0,1,0,pants
100.0,3,0,pirates
100.0,4,0,boat
100.0,3,0,briefcase
100.0,1,0,press
100.0,1,0,pad
100.0,1,0,tier
100.0,2,0,tubas
100.0,1,0,gallery
100.0,1,0,beneath
100.0,1,0,communicator
100.0,1,0,what's
100.0,2,0,bartender
100.0,1,0,policeman
100.0,1,0,grand
100.0,2,0,cannonball
100.0,2,0,experimenting
100.0,1,0,decorated
100.0,2,0,bench
100.0,2,0,sharks
66.78,10,1,stands
68.86,11,1,inside
100.0,1,0,bucked
100.0,1,0,tuxedo
100.0,1,0,apron
47.41,314,70,a
100.0,1,0,twice
0.0,0,1,sort
16.73,2,2,beer
100.0,2,0,group
100.0,4,0,tub
0.0,0,2,alley
100.0,2,0,also
100.0,1,0,struggle
33.44,5,2,knight
100.0,1,0,trick
43.16,68,18,at
62.61,75,9,to
23.16,6,4,phone
0.0,0,1,spinning
100.0,2,0,yoga
34.89,8,3,face
100.0,18,0,into
100.0,1,0,starring
100.0,1,0,sand
0.0,0,1,light
100.0,1,0,animal
44.57,4,1,worried
0.0,0,1,interracial
100.0,1,0,costumes
100.0,1,0,concerned
100.0,6,0,hat
100.0,2,0,clothing
100.0,1,0,identification
100.0,1,0,stopped
100.0,1,0,loin
37.61,3,1,third
100.0,1,0,umbrella
100.0,1,0,odd
100.0,3,0,weight
61.65,8,1,watching
28.67,4,2,waiting
100.0,4,0,stare
100.0,1,0,explorer
100.0,1,0,curator
100.0,1,0,jester
100.0,3,0,dive
50.12,5,1,its
28.67,6,3,head
44.57,4,1,speaking
100.0,1,0,hitchhiker
100.0,2,0,busy
0.0,0,1,series
100.0,1,0,shopping
100.0,7,0,like
100.0,1,0,magic
100.0,1,0,alligator
59.58,22,3,by
100.0,1,0,calling
40.12,10,3,out
100.0,1,0,palm
100.0,2,0,tuba
33.44,10,4,restaurant
100.0,1,0,instruments
38.89,19,6,who
72.32,26,2,standing
100.0,2,0,medieval
100.0,1,0,clothed
100.0,2,0,things
54.67,12,2,giant
100.0,3,0,cliff
100.0,1,0,cannonballs
100.0,3,0,ship
0.0,0,2,astronaut
100.0,1,0,puppet
100.0,2,0,points
100.0,1,0,hunter
100.0,1,0,crib
16.73,1,1,confronting
100.0,1,0,instructor
100.0,4,0,little
55.08,61,10,with
100.0,1,0,restrained
100.0,1,0,roped
3.86,1,5,living
100.0,4,0,doing
0.0,0,1,black
100.0,1,0,hiding
100.0,1,0,everyone
100.0,1,0,calmly
16.73,1,1,floor
100.0,1,0,hovering
100.0,1,0,can
100.0,2,0,riding
100.0,2,0,mobster
0.0,0,1,end
0.0,0,1,game
100.0,1,0,seeing
100.0,1,0,make
100.0,1,0,beam
100.0,1,0,climbs
100.0,1,0,legs
100.0,1,0,burgers
100.0,2,0,rug
100.0,1,0,biting
100.0,5,0,between
0.0,0,1,astronauts
100.0,1,0,shows
100.0,1,0,support
61.65,24,3,up
100.0,5,0,trying
16.73,1,1,empty
100.0,2,0,each
100.0,1,0,width
100.0,3,0,lamp
100.0,1,0,fireplace
100.0,1,0,corded
100.0,2,0,globe
100.0,4,0,train
100.0,1,0,cloth
0.0,0,1,peeking
100.0,8,0,top
100.0,2,0,soldier
100.0,1,0,breakfast
100.0,1,0,donut
100.0,5,0,crawling
100.0,1,0,string
100.0,1,0,frightened
100.0,1,0,art
100.0,1,0,courtroom
66.78,10,1,they
100.0,3,0,subway
100.0,1,0,suitcase
100.0,1,0,pirate
100.0,1,0,parents
41.3,42,12,two
100.0,1,0,cell
100.0,1,0,letter
100.0,1,0,possibly
100.0,1,0,where
100.0,1,0,though
100.0,2,0,or
100.0,1,0,pancakes
100.0,2,0,work
0.0,0,1,times
100.0,1,0,rocks
100.0,1,0,drop
100.0,1,0,notes
45.77,126,30,in
0.0,0,1,cocktail
6.28,1,3,shocked
100.0,2,0,binoculars
100.0,3,0,business
