caption,mean,precision,votes,not_funny,somewhat_funny,funny,cleaned_caption_v2,contest_id,tokens,occupations,topic
Could you please ask the street painter to add a pillow?,1.0,0.1543033499620919,7,7,0,0,could you please ask the street painter to add a pillow,0,"['could', 'you', 'please', 'ask', 'the', 'street', 'painter', 'to', 'add', 'a', 'pillow']",{'painter'},-1
Someone...please...call...cement...mason!,1.0,0.1178511301977579,9,9,0,0,someone please call cement mason,0,"['someone', 'please', 'call', 'cement', 'mason']",{'mason'},3
"Son, a good carpenter doesn't blame his tools.",1.4285714285714286,0.1727058642362825,14,9,4,1,son a good carpenter does not blame his tools,1,"['son', 'a', 'good', 'carpenter', 'does', 'not', 'blame', 'his', 'tools']",{'carpenter'},-1
"Don't think of it as a big shovel, as much as a big character builder.",1.125,0.1336306209562122,8,7,1,0,do not think of it as a big shovel as much as a big character builder,1,"['do', 'not', 'think', 'of', 'it', 'as', 'a', 'big', 'shovel', 'as', 'much', 'as', 'a', 'big', 'character', 'builder']",{'builder'},0
"I'm an artist, not a garage painter!",1.0,0.1543033499620919,7,7,0,0,i am an artist not a garage painter,1,"['i', 'am', 'an', 'artist', 'not', 'a', 'garage', 'painter']",{'painter'},-1
"Next time, just pay the blacksmith.",1.5,0.1701392618446801,20,13,4,3,next time just pay the blacksmith,4,"['next', 'time', 'just', 'pay', 'the', 'blacksmith']",{'blacksmith'},1
I reckon the Pinkertons got the same carpenter.,1.4516129032258065,0.1020089567796251,31,18,12,1,i reckon the pinkertons got the same carpenter,4,"['i', 'reckon', 'the', 'pinkertons', 'got', 'the', 'same', 'carpenter']",{'carpenter'},-1
You got a loaner from the blacksmith too?,1.4074074074074074,0.1224076983415432,27,18,7,2,you got a loaner from the blacksmith too,4,"['you', 'got', 'a', 'loaner', 'from', 'the', 'blacksmith', 'too']",{'blacksmith'},1
"It's a bad carpenter who blames his tools, Leroy",1.2857142857142858,0.101015254455221,21,15,6,0,it is a bad carpenter who blames his tools leroy,4,"['it', 'is', 'a', 'bad', 'carpenter', 'who', 'blames', 'his', 'tools', 'leroy']",{'carpenter'},-1
I think we need to fire the blacksmith.,1.263157894736842,0.1037908733877125,19,14,5,0,i think we need to fire the blacksmith,4,"['i', 'think', 'we', 'need', 'to', 'fire', 'the', 'blacksmith']",{'blacksmith'},1
Shouldn't we all be going after the farrier?!,1.1666666666666667,0.0903876907577734,18,15,3,0,should not we all be going after the farrier,4,"['should', 'not', 'we', 'all', 'be', 'going', 'after', 'the', 'farrier']",{'farrier'},2
"I don't care how much we saved, we are never using that cobbler again.",1.0769230769230769,0.0800640769025435,13,12,1,0,i do not care how much we saved we are never using that cobbler again,4,"['i', 'do', 'not', 'care', 'how', 'much', 'we', 'saved', 'we', 'are', 'never', 'using', 'that', 'cobbler', 'again']",{'cobbler'},0
"Hey, we're not the dirty varmints who recommended the new farrier.",1.0,0.0870388279778489,12,12,0,0,hey we are not the dirty varmints who recommended the new farrier,4,"['hey', 'we', 'are', 'not', 'the', 'dirty', 'varmints', 'who', 'recommended', 'the', 'new', 'farrier']",{'farrier'},2
Don't worry Quantum Mechanics says we are here.,1.2,0.2236067977499789,5,4,1,0,do not worry quantum mechanics says we are here,5,"['do', 'not', 'worry', 'quantum', 'mechanics', 'says', 'we', 'are', 'here']",{'mechanic'},0
"Yesiree, we're the lucky ones. You should see where my cousin, Bob, the bridge painter, is recouping after HIS worker's comp accident, on the Verrazano.",1.0,0.2236067977499789,5,5,0,0,yesiree we are the lucky ones you should see where my cousin bob the bridge painter is recouping after his worker s comp accident on the verrazano,5,"['yesiree', 'we', 'are', 'the', 'lucky', 'ones', 'you', 'should', 'see', 'where', 'my', 'cousin', 'bob', 'the', 'bridge', 'painter', 'is', 'recouping', 'after', 'his', 'worker', 's', 'comp', 'accident', 'on', 'the', 'verrazano']",{'painter'},-1
You'll never guess how much I squeezed out of the contractors on this building.,1.7,0.213437474581095,10,4,5,1,you will never guess how much i squeezed out of the contractors on this building,6,"['you', 'will', 'never', 'guess', 'how', 'much', 'i', 'squeezed', 'out', 'of', 'the', 'contractors', 'on', 'this', 'building']",{'contractor'},0
"No, I'm not worried. Her mason husband is totally clueless.",1.625,0.2630521404045756,8,4,3,1,no i am not worried her mason husband is totally clueless,6,"['no', 'i', 'am', 'not', 'worried', 'her', 'mason', 'husband', 'is', 'totally', 'clueless']",{'mason'},3
"So, I am still seeing the mason's wife.",1.5714285714285714,0.2973808570665904,7,4,2,1,so i am still seeing the mason s wife,6,"['so', 'i', 'am', 'still', 'seeing', 'the', 'mason', 's', 'wife']",{'mason'},3
"Yes, I'm still writing that exposé on the Masons. Why do you ask?",1.5,0.2236067977499789,6,3,3,0,yes i am still writing that exposé on the masons why do you ask,6,"['yes', 'i', 'am', 'still', 'writing', 'that', 'exposé', 'on', 'the', 'masons', 'why', 'do', 'you', 'ask']",{'mason'},3
