caption,mean,precision,votes,not_funny,somewhat_funny,funny,cleaned_caption_v2,contest_id,tokens,occupations,topic
"You know, Son, our old Mailman used to have a shovel just like that...",1.2727272727272727,0.1949782780866111,11,9,1,1,you know son our old mailman used to have a shovel just like that,1,"['you', 'know', 'son', 'our', 'old', 'mailman', 'used', 'to', 'have', 'a', 'shovel', 'just', 'like', 'that']",{'mailman'},1
I wonder how big the mailman's shovel is.,1.0,0.1543033499620919,7,7,0,0,i wonder how big the mailman s shovel is,1,"['i', 'wonder', 'how', 'big', 'the', 'mailman', 's', 'shovel', 'is']",{'mailman'},1
"Sorry, but our yoga class for furniture movers is next week.",1.4285714285714286,0.2973808570665903,7,5,1,1,sorry but our yoga class for furniture movers is next week,2,"['sorry', 'but', 'our', 'yoga', 'class', 'for', 'furniture', 'movers', 'is', 'next', 'week']",{'mover'},-1
You're with the movers? The office is straight ahead.,1.0,0.2886751345948128,4,4,0,0,you are with the movers the office is straight ahead,2,"['you', 'are', 'with', 'the', 'movers', 'the', 'office', 'is', 'straight', 'ahead']",{'mover'},2
This was supposed to be a job for one-handed couriers.,1.0,0.2886751345948128,4,4,0,0,this was supposed to be a job for one handed couriers,3,"['this', 'was', 'supposed', 'to', 'be', 'a', 'job', 'for', 'one', 'handed', 'couriers']",{'courier'},1
I told the ambulance driver that I won't be able to train for a while! I'm not sure he understood!,1.2,0.2236067977499789,5,4,1,0,i told the ambulance driver that i will not be able to train for a while i am not sure he understood,5,"['i', 'told', 'the', 'ambulance', 'driver', 'that', 'i', 'will', 'not', 'be', 'able', 'to', 'train', 'for', 'a', 'while', 'i', 'am', 'not', 'sure', 'he', 'understood']","{'driver', 'ambulance'}",0
I wonder if Donald Trump will pay the driver's legal fees?,1.2,0.2236067977499789,5,4,1,0,i wonder if donald trump will pay the driver s legal fees,5,"['i', 'wonder', 'if', 'donald', 'trump', 'will', 'pay', 'the', 'driver', 's', 'legal', 'fees']",{'driver'},0
I hear the drivers will meet the track workers soon to go over our complaint.,1.2,0.2236067977499789,5,4,1,0,i hear the drivers will meet the track workers soon to go over our complaint,5,"['i', 'hear', 'the', 'drivers', 'will', 'meet', 'the', 'track', 'workers', 'soon', 'to', 'go', 'over', 'our', 'complaint']",{'driver'},0
"Look, Dave! It's the same driver who hit us here last week.",1.1666666666666667,0.1825741858350553,6,5,1,0,look dave it is the same driver who hit us here last week,5,"['look', 'dave', 'it', 'is', 'the', 'same', 'driver', 'who', 'hit', 'us', 'here', 'last', 'week']",{'driver'},0
It turned out that our insurance claim is invalid unless we get a statement from the driver.,1.0,0.2886751345948128,4,4,0,0,it turned out that our insurance claim is invalid unless we get a statement from the driver,5,"['it', 'turned', 'out', 'that', 'our', 'insurance', 'claim', 'is', 'invalid', 'unless', 'we', 'get', 'a', 'statement', 'from', 'the', 'driver']",{'driver'},0
This place attracts a lot of movers and shakers.,1.0,0.7071067811865476,2,2,0,0,this place attracts a lot of movers and shakers,7,"['this', 'place', 'attracts', 'a', 'lot', 'of', 'movers', 'and', 'shakers']","{'shaker', 'mover'}",-1
Are you sure you asked Dad for a front loader not a freeloader?,1.2307692307692308,0.1008836696046461,26,21,4,1,are you sure you asked dad for a front loader not a freeloader,8,"['are', 'you', 'sure', 'you', 'asked', 'dad', 'for', 'a', 'front', 'loader', 'not', 'a', 'freeloader']",{'loader'},3
A shiny yellow front-end loader typically gets them to this point.,1.0555555555555556,0.0571661950475029,18,17,1,0,a shiny yellow front end loader typically gets them to this point,8,"['a', 'shiny', 'yellow', 'front', 'end', 'loader', 'typically', 'gets', 'them', 'to', 'this', 'point']",{'loader'},3
I'm guessing...married fisherman.,1.0769230769230769,0.0800640769025435,13,12,1,0,i am guessing married fisherman,9,"['i', 'am', 'guessing', 'married', 'fisherman']",{'fisherman'},0
That cab driver didn't even slow down.,1.3695652173913044,0.0898667594082753,46,32,11,3,that cab driver did not even slow down,11,"['that', 'cab', 'driver', 'did', 'not', 'even', 'slow', 'down']",{'driver'},0
It's like a pheromone for cab drivers.,1.1851851851851851,0.0930189613522194,27,23,3,1,it is like a pheromone for cab drivers,11,"['it', 'is', 'like', 'a', 'pheromone', 'for', 'cab', 'drivers']",{'driver'},0
I told the driver we were not that kind of body shop.,1.3858267716535433,0.0536707130903863,127,86,33,8,i told the driver we were not that kind of body shop,12,"['i', 'told', 'the', 'driver', 'we', 'were', 'not', 'that', 'kind', 'of', 'body', 'shop']",{'driver'},0
"I am sorry, Master Bobby, but the Uber driver refused to pick up a brain.",1.2272727272727273,0.064034717220707,66,54,9,3,i am sorry master bobby but the uber driver refused to pick up a brain,12,"['i', 'am', 'sorry', 'master', 'bobby', 'but', 'the', 'uber', 'driver', 'refused', 'to', 'pick', 'up', 'a', 'brain']",{'driver'},0
I'm resigning to be an Uber driver.,1.148148148148148,0.0487968979737137,54,46,8,0,i am resigning to be an uber driver,12,"['i', 'am', 'resigning', 'to', 'be', 'an', 'uber', 'driver']",{'driver'},0
...I'm going to be an Uber driver.,1.1470588235294117,0.0480739931333218,68,59,8,1,i am going to be an uber driver,12,"['i', 'am', 'going', 'to', 'be', 'an', 'uber', 'driver']",{'driver'},0
