caption,mean,precision,votes,not_funny,somewhat_funny,funny,cleaned_caption_v2,contest_id,tokens,occupations,topic
"The homicide detectives went to buy chalk, I'm just filling in.",1.4782608695652173,0.1387346148204288,23,14,7,2,the homicide detectives went to buy chalk  am just filling in,0,"['the', 'homicide', 'detectives', 'went', 'to', 'buy', 'chalk', 'i', 'am', 'just', 'filling', 'in']",{'detective'},-1
"Instead of just drawing a crude outline of the victims body, the detective on this case really displayed some talent.",1.181818181818182,0.1219673442272612,11,9,2,0,instead of just drawing a crude outline of the victims body the detective on this case really displayed some talent,0,"['instead', 'of', 'just', 'drawing', 'a', 'crude', 'outline', 'of', 'the', 'victims', 'body', 'the', 'detective', 'on', 'this', 'case', 'really', 'displayed', 'some', 'talent']",{'detective'},2
The cop just went back to get his chalk.,1.1666666666666667,0.1666666666666666,12,11,0,1,the cop just went back to get his chalk,0,"['the', 'cop', 'just', 'went', 'back', 'to', 'get', 'his', 'chalk']",{'cop'},-1
I'll stay here at the crime scene until the cop who draws the chalk outline shows up .,1.1,0.1054092553389459,10,9,1,0, will stay here at the crime scene until the cop who draws the chalk outline shows up,0,"['i', 'will', 'stay', 'here', 'at', 'the', 'crime', 'scene', 'until', 'the', 'cop', 'who', 'draws', 'the', 'chalk', 'outline', 'shows', 'up']",{'cop'},-1
Gumshoe Detective.,1.0,0.1178511301977579,9,9,0,0,gumshoe detective,0,"['gumshoe', 'detective']",{'detective'},2
"Before becoming an artist, M C Escher was an unsuccessful school crossing guard.",1.0,0.1543033499620919,7,7,0,0,before becoming an artist m c escher was an unsuccessful school crossing guard,0,"['before', 'becoming', 'an', 'artist', 'm', 'c', 'escher', 'was', 'an', 'unsuccessful', 'school', 'crossing', 'guard']",{'guard'},1
They definitely need a traffic cop at this corner.,1.0,0.1178511301977579,9,9,0,0, definitely need a traffic cop at this corner,0,"['they', 'definitely', 'need', 'a', 'traffic', 'cop', 'at', 'this', 'corner']",{'cop'},-1
Military yoga is down the hall.,1.3333333333333333,0.210818510677892,6,4,2,0,military yoga is down the hall,2,"['military', 'yoga', 'is', 'down', 'the', 'hall']",{'military'},-1
It's our turn to be the Sheriffs!,1.5714285714285714,0.1085371912518999,42,23,14,5,it is  turn to be the sheriffs,4,"['it', 'is', 'our', 'turn', 'to', 'be', 'the', 'sheriffs']",{'sheriff'},0
"O.K. it's been 30 minutes, can we be the sheriffs now?",1.5,0.1187977408278728,32,19,10,3,o k it is been 30 minutes can  be the sheriffs now,4,"['o', 'k', 'it', 'is', 'been', '30', 'minutes', 'can', 'we', 'be', 'the', 'sheriffs', 'now']",{'sheriff'},0
"This is why we keep a BB in the chamber, Deputy.",1.4074074074074074,0.1224076983415432,27,18,7,2,this is why  keep a bb in the chamber deputy,4,"['this', 'is', 'why', 'we', 'keep', 'a', 'bb', 'in', 'the', 'chamber', 'deputy']",{'deputy'},-1
It's 'cops 'n 'rockers!,1.375,0.1320476966966806,24,17,5,2,it is cops n rockers,4,"['it', 'is', 'cops', 'n', 'rockers']","{'rocker', 'cop'}",-1
Rock on! Rock on! I guess I should have shot the sheriff AND the deputy.,1.36,0.1275408431313932,25,18,5,2,rock on rock on  guess  should have shot the sheriff and the deputy,4,"['rock', 'on', 'rock', 'on', 'i', 'guess', 'i', 'should', 'have', 'shot', 'the', 'sheriff', 'and', 'the', 'deputy']",{'deputy'},-1
"As deputies, if we rock around the clock, we'll expect overtime.",1.3333333333333333,0.1259881576697424,21,15,5,1,as deputies if  rock around the clock  will expect overtime,4,"['as', 'deputies', 'if', 'we', 'rock', 'around', 'the', 'clock', 'we', 'will', 'expect', 'overtime']",{'deputy'},-1
This is the last time we steal the deputies' horses!,1.3333333333333333,0.1152606791346874,24,17,6,1,this is the last time  steal the deputies horses,4,"['this', 'is', 'the', 'last', 'time', 'we', 'steal', 'the', 'deputies', 'horses']",{'deputy'},-1
He thinks he is playing cops and rockers!,1.318181818181818,0.1210767642506233,22,16,5,1,he thinks he is playing cops and rockers,4,"['he', 'thinks', 'he', 'is', 'playing', 'cops', 'and', 'rockers']","{'rocker', 'cop'}",-1
"It looks like sheriff Woody and deputy Pecker. Hold on to your hat, they are riding hard.",1.3125,0.1760385847856467,16,13,1,2,it looks like sheriff woody and deputy pecker hold on to  hat  are riding hard,4,"['it', 'looks', 'like', 'sheriff', 'woody', 'and', 'deputy', 'pecker', 'hold', 'on', 'to', 'your', 'hat', 'they', 'are', 'riding', 'hard']",{'deputy'},-1
"Consarn it, Tex, it looks like the marshal is tryin' to cut us off at the past!",1.3,0.127733274731701,20,15,4,1,consarn it tex it looks like the marshal is tryin to cut us off at the past,4,"['consarn', 'it', 'tex', 'it', 'looks', 'like', 'the', 'marshal', 'is', 'tryin', 'to', 'cut', 'us', 'off', 'at', 'the', 'past']",{'marshal'},-1
Sheriff Stache and Deputy Walsh chase rocking horse thieves out of town.,1.3,0.1468977445995038,20,16,2,2,sheriff stache and deputy walsh chase rocking horse thieves out of town,4,"['sheriff', 'stache', 'and', 'deputy', 'walsh', 'chase', 'rocking', 'horse', 'thieves', 'out', 'of', 'town']",{'deputy'},-1
"We should go for position. I'll shoot the Sheriff, but I will not shoot the deputy.",1.2727272727272727,0.117363131703255,22,17,4,1, should go for position  will shoot the sheriff but  will not shoot the deputy,4,"['we', 'should', 'go', 'for', 'position', 'i', 'will', 'shoot', 'the', 'sheriff', 'but', 'i', 'will', 'not', 'shoot', 'the', 'deputy']",{'deputy'},-1
"Watch out, the deputy's goin' for his cap gun!!",1.2727272727272727,0.0971859061499725,22,16,6,0,watch out the deputy s going for his cap gun,4,"['watch', 'out', 'the', 'deputy', 's', 'going', 'for', 'his', 'cap', 'gun']",{'deputy'},-1
We didn't shoot the sheriff or the deputy!,1.263157894736842,0.1498948025494303,19,16,1,2, did not shoot the sheriff or the deputy,4,"['we', 'did', 'not', 'shoot', 'the', 'sheriff', 'or', 'the', 'deputy']",{'deputy'},0
"One man's hobby is another's obsession, marshal.",1.25,0.1230104830791604,20,16,3,1,one man s hobby is another s obsession marshal,4,"['one', 'man', 's', 'hobby', 'is', 'another', 's', 'obsession', 'marshal']",{'marshal'},-1
"Blast it, I think these sheriffs are gym rats!",1.2352941176470589,0.1363767425808191,17,14,2,1,blast it  think these sheriffs are gym rats,4,"['blast', 'it', 'i', 'think', 'these', 'sheriffs', 'are', 'gym', 'rats']",{'sheriff'},-1
"Don't bother drawing that gun, deputy; you'll never catch up with us.",1.2,0.1069044967649697,15,12,3,0,do not bother drawing that gun deputy  will never catch up with us,4,"['do', 'not', 'bother', 'drawing', 'that', 'gun', 'deputy', 'you', 'will', 'never', 'catch', 'up', 'with', 'us']",{'deputy'},-1
"Rock faster, the Sheriffs are gaining on us.",1.1875,0.1007782218537318,16,13,3,0,rock faster the sheriffs are gaining on us,4,"['rock', 'faster', 'the', 'sheriffs', 'are', 'gaining', 'on', 'us']",{'sheriff'},-1
When your game of cops and robbers goes a little too far...,1.1764705882352942,0.0953050102707037,17,14,3,0,when  game of cops and robbers goes a little too far,4,"['when', 'your', 'game', 'of', 'cops', 'and', 'robbers', 'goes', 'a', 'little', 'too', 'far']","{'robber', 'cop'}",-1
I told You That Cops Rock MoreThan Robbers.,1.15,0.0819178021909125,20,17,3,0, told  that cops rock morethan robbers,4,"['i', 'told', 'you', 'that', 'cops', 'rock', 'morethan', 'robbers']","{'robber', 'cop'}",-1
"You didn't shoot the deputy, and there were two of 'em!",1.1428571428571428,0.1428571428571428,14,13,0,1, did not shoot the deputy and there were two of them,4,"['you', 'did', 'not', 'shoot', 'the', 'deputy', 'and', 'there', 'were', 'two', 'of', 'them']",{'deputy'},0
"Eat my sawdust, Marshal.",1.1428571428571428,0.0970523172123939,14,12,2,0,eat  sawdust marshal,4,"['eat', 'my', 'sawdust', 'marshal']",{'marshal'},-1
"Invest in some pineys, marshal, those oaks are a cut below!",1.1428571428571428,0.0970523172123939,14,12,2,0,invest in some pineys marshal those oaks are a cut below,4,"['invest', 'in', 'some', 'pineys', 'marshal', 'those', 'oaks', 'are', 'a', 'cut', 'below']",{'marshal'},-1
Kindergarten Cop II: The Prequel.,1.1428571428571428,0.0970523172123939,14,12,2,0,kindergarten cop ii the prequel,4,"['kindergarten', 'cop', 'ii', 'the', 'prequel']",{'cop'},-1
"I shot the sheriff, but I did not shoot the deputies.",1.1428571428571428,0.1428571428571428,14,13,0,1, shot the sheriff but  did not shoot the deputies,4,"['i', 'shot', 'the', 'sheriff', 'but', 'i', 'did', 'not', 'shoot', 'the', 'deputies']",{'deputy'},0
The Marshall and his Deputy now have the wind to their backs and are gaining on us!,1.1333333333333333,0.0908513525158996,15,13,2,0,the marshall and his deputy now have the wind to  backs and are gaining on us,4,"['the', 'marshall', 'and', 'his', 'deputy', 'now', 'have', 'the', 'wind', 'to', 'their', 'backs', 'and', 'are', 'gaining', 'on', 'us']",{'deputy'},-1
That Rocky Mount sheriff and his deputy are inching up on us.,1.0833333333333333,0.0870388279778489,12,11,1,0,that rocky mount sheriff and his deputy are inching up on us,4,"['that', 'rocky', 'mount', 'sheriff', 'and', 'his', 'deputy', 'are', 'inching', 'up', 'on', 'us']",{'deputy'},-1
"Listen kid, I've got one speed and that's 'rock' no matter how many cops are chasing you robbers.",1.0769230769230769,0.0800640769025435,13,12,1,0,listen kid  have got one speed and that is rock no matter how many cops are chasing  robbers,4,"['listen', 'kid', 'i', 'have', 'got', 'one', 'speed', 'and', 'that', 'is', 'rock', 'no', 'matter', 'how', 'many', 'cops', 'are', 'chasing', 'you', 'robbers']","{'robber', 'cop'}",-1
The sheriff and his deputy in trot pursuit,1.0769230769230769,0.0800640769025435,13,12,1,0,the sheriff and his deputy in trot pursuit,4,"['the', 'sheriff', 'and', 'his', 'deputy', 'in', 'trot', 'pursuit']",{'deputy'},-1
But I didn't shoot the deputy!,1.0769230769230769,0.0800640769025435,13,12,1,0,but  did not shoot the deputy,4,"['but', 'i', 'did', 'not', 'shoot', 'the', 'deputy']",{'deputy'},-1
The sheriffs always take the toy store too seriously.,1.0714285714285714,0.0741249316661101,14,13,1,0,the sheriffs always take the toy store too seriously,4,"['the', 'sheriffs', 'always', 'take', 'the', 'toy', 'store', 'too', 'seriously']",{'sheriff'},-1
"Deputy, regarding catching drug dealers: anything not worth doing is not worth doing well.",1.0625,0.0645497224367902,16,15,1,0,deputy regarding catching drug dealers anything not worth doing is not worth doing well,4,"['deputy', 'regarding', 'catching', 'drug', 'dealers', 'anything', 'not', 'worth', 'doing', 'is', 'not', 'worth', 'doing', 'well']","{'dealer', 'deputy'}",-1
"Come on Pete the Cops are after us. Police:You have the right to remain silent. If you do say anything, it can be used against you in a court of law.You have the right to have a lawyer present during any questioning.",1.0,0.0870388279778489,12,12,0,0,come on pete the cops are after us police  have the right to remain silent if  do say anything it can be used against  in a court of law  have the right to have a lawyer present during any questioning,4,"['come', 'on', 'pete', 'the', 'cops', 'are', 'after', 'us', 'police', 'you', 'have', 'the', 'right', 'to', 'remain', 'silent', 'if', 'you', 'do', 'say', 'anything', 'it', 'can', 'be', 'used', 'against', 'you', 'in', 'a', 'court', 'of', 'law', 'you', 'have', 'the', 'right', 'to', 'have', 'a', 'lawyer', 'present', 'during', 'any', 'questioning']","{'police', 'cop', 'lawyer'}",-1
Chickie the Trump cops....,1.0,0.0953462589245592,11,11,0,0,chickie the trump cops,4,"['chickie', 'the', 'trump', 'cops']",{'cop'},-1
"Faster, Gus! They must be riding that military surplus.",1.0,0.1054092553389459,10,10,0,0,faster gus  must be riding that military surplus,4,"['faster', 'gus', 'they', 'must', 'be', 'riding', 'that', 'military', 'surplus']",{'military'},4
Two laid off train inspectors,1.1666666666666667,0.1825741858350553,6,5,1,0,two laid off train inspectors,5,"['two', 'laid', 'off', 'train', 'inspectors']",{'inspector'},-1
This beats being harassed by the cops on the platform.,1.0,0.2886751345948128,4,4,0,0,this beats being harassed by the cops on the platform,5,"['this', 'beats', 'being', 'harassed', 'by', 'the', 'cops', 'on', 'the', 'platform']",{'cop'},0
"I was the building inspector in this town, long time ago.",1.3333333333333333,0.210818510677892,6,4,2,0, was the building inspector in this town long time ago,6,"['i', 'was', 'the', 'building', 'inspector', 'in', 'this', 'town', 'long', 'time', 'ago']",{'inspector'},-1
Sure am glad the building inspector gave the okay.,1.25,0.2886751345948128,4,3,1,0,sure am glad the building inspector gave the okay,6,"['sure', 'am', 'glad', 'the', 'building', 'inspector', 'gave', 'the', 'okay']",{'inspector'},-1
No I don't think we should pay more taxes for building inspectors!,1.25,0.2886751345948128,4,3,1,0,no  do not think  should pay more taxes for building inspectors,6,"['no', 'i', 'do', 'not', 'think', 'we', 'should', 'pay', 'more', 'taxes', 'for', 'building', 'inspectors']",{'inspector'},-1
