caption,mean,precision,votes,not_funny,somewhat_funny,funny,cleaned_caption_v2,contest_id,tokens,occupations,topic
"She may be a mom, a wife, a caregiver, a food provider, a teacher, a cleaner, and our coworker, but our job is far more important.""",1.0,0.2886751345948128,4,4,0,0,she may be a mom a wife a caregiver a food provider a teacher a cleaner and our coworker but our job is far more important,3,"['she', 'may', 'be', 'a', 'mom', 'a', 'wife', 'a', 'caregiver', 'a', 'food', 'provider', 'a', 'teacher', 'a', 'cleaner', 'and', 'our', 'coworker', 'but', 'our', 'job', 'is', 'far', 'more', 'important']","{'cleaner', 'caregiver'}",1
Babysitter late again?,1.3220338983050848,0.0659449053916066,59,41,17,1,babysitter late again,13,"['babysitter', 'late', 'again']",{'babysitter'},0
I’m sorry – the babysitter canceled.,1.25,0.0720053207351927,52,41,9,2,i am sorry – the babysitter canceled,13,"['i', 'am', 'sorry', '–', 'the', 'babysitter', 'canceled']",{'babysitter'},0
I think our current babysitter is not working out !,1.0666666666666669,0.04632055558531,30,28,2,0,i think our current babysitter is not working out,13,"['i', 'think', 'our', 'current', 'babysitter', 'is', 'not', 'working', 'out']",{'babysitter'},0
You're a maculate housekeeper.,1.2149532710280373,0.0479302478099018,107,88,15,4,you are a maculate housekeeper,20,"['you', 'are', 'a', 'maculate', 'housekeeper']",{'housekeeper'},1
"I told SIRI "" a Housekeeper""!",1.2475247524752475,0.0569973780777198,101,83,11,7,i told siri a housekeeper,29,"['i', 'told', 'siri', 'a', 'housekeeper']",{'housekeeper'},-1
"I called for a babysitter, not a baby scyther.",1.2268041237113405,0.0538571409575858,97,80,12,5,i called for a babysitter not a baby scyther,29,"['i', 'called', 'for', 'a', 'babysitter', 'not', 'a', 'baby', 'scyther']",{'babysitter'},0
"Well frankly, I had requested a Housekeeper- but I suppose if you put down your scythe...",1.044776119402985,0.0254568019529086,67,64,3,0,well frankly i had requested a housekeeper but i suppose if you put down your scythe,29,"['well', 'frankly', 'i', 'had', 'requested', 'a', 'housekeeper', 'but', 'i', 'suppose', 'if', 'you', 'put', 'down', 'your', 'scythe']",{'housekeeper'},1
You said you wanted a housekeeper who will work for peanuts.,1.326086956521739,0.0620341129050875,92,68,18,6,you said you wanted a housekeeper who will work for peanuts,31,"['you', 'said', 'you', 'wanted', 'a', 'housekeeper', 'who', 'will', 'work', 'for', 'peanuts']",{'housekeeper'},-1
"I misunderstood the ""well-suited as homemaker"", profile.",1.6747503566333808,0.0305457152480857,701,380,169,152,i misunderstood the well suited as homemaker profile,44,"['i', 'misunderstood', 'the', 'well', 'suited', 'as', 'homemaker', 'profile']",{'homemaker'},-1
"OK, fine, being a housekeeper IS real work.",1.210144927536232,0.0453635811637912,138,117,13,8,ok fine being a housekeeper is real work,44,"['ok', 'fine', 'being', 'a', 'housekeeper', 'is', 'real', 'work']",{'housekeeper'},1
"You're a regular Suzie Homemaker, and I don't really even know what that means...",1.170731707317073,0.0452663769335774,82,69,12,1,you are a regular suzie homemaker and i do not really even know what that means,45,"['you', 'are', 'a', 'regular', 'suzie', 'homemaker', 'and', 'i', 'do', 'not', 'really', 'even', 'know', 'what', 'that', 'means']",{'homemaker'},-1
Can I have the blond babysitter?,1.5137614678899085,0.0396614338761096,327,202,82,43,can i have the blond babysitter,46,"['can', 'i', 'have', 'the', 'blond', 'babysitter']",{'babysitter'},0
Should I drive the babysitter home?,1.435483870967742,0.0444386103853212,248,170,48,30,should i drive the babysitter home,46,"['should', 'i', 'drive', 'the', 'babysitter', 'home']",{'babysitter'},0
