Occupation,Contests_Normal,Contests_Uncanny,Contests_Question,Contests_Total,Num_Normal,Num_Uncanny,Num_Question,Num_Total,Normal_Text,Uncanny_Text,Question_Text,Location
data scientist,[],[],[],[],0,0,0,0,a man is relaxing on a city street others are going about their business and stepping on him as they pass,a man is just laying in the middle of the sidewalk,why is he laying there,['the street']
cosmetologist,[],[],[],[],0,0,0,0,a man in a winter coat and cap is looking at a small bearded man holding a snow shovel much taller than him the ground is covered in snow except for a path leading to a house a man is in the snow a boy with a huge snow shovel is there too they are outside a house a man is walking down a sidewalk he is looking at another person hiding in the snow,it is unusual to see someone holding a snow shovel in the way the man is as well as to have one so much larger than oneself the boy has a huge snow shovel nothing is out of place,is the man overly small or the shovel overly big why does the boy have a huge snow shovel what are they doing what is the man in the foreground holding in his hand,"['the front hard', 'a residential walkway']"
urban planner,[],[],[],[],0,0,0,0,a man and woman are standing facing one another mirrored inside of a yoga studio the man looks upset at what the woman is telling him the man is carrying a living room rug and the woman is carrying a yoga mat a man is carrying a rug into a dance studio he is having a conversation with the instructor a man is hauling a huge rug into a yoga studio a woman is talking to him people are doing yoga on mats,nothing is really out of place in this image the man has a huge rug that is too big for the yoga studio it is typical to use a yoga mat in a yoga studio so it is unusual to see someone trying to use a living room heavy rug as their yoga mat,why is the man carrying a huge rug why is the man trying to use a living room rug instead of a yoga mat what is the rug for,"['yoga place', 'a yoga studio']"
nuclear engineer,[],[],[],[],0,0,0,0,three business men are walking down a hall they are carrying a briefcase between them three men walk with one three handled suitcase together its long enough for them all to carry some men are all carrying a briefcase it is big enough for three people and they are all carrying it,a suit case is usually carried by one person not three there is a super sized briefcase that is long and all three men are carrying it the briefcase is way longer than it should be,why is the briefcase big enough for three people and why are they carrying it why are they all carrying the same suitcase what is in the briefcase,"['a workplace', 'an elevator']"
drafter,[],[],[],[],0,0,0,0,some cowboys are riding through the desert they are all on rocking horses,there are rocking horses in place of real horses,why is this chase taking place,['plains']
stonemason,[],[],[],[],0,0,0,0,people are laying on the subway tracks as an on coming train approaches they have casts and bandages on two men are sitting lounging on furniture on railroad tracks behind a train they are wearing cast on multiple limbs and look like they have been in a previous accident accident one of them is taking notes and has a shocked expression looking toward the train as though the train just went by there is something between the tracks like a conveyor belt or a road two bandaged men are sitting on train tracks there is a train coming at them,they are putting themselves in danger by being on the track the train tracks are not a place for people to lounge it is strange that they would lounge on active railroad tracks where they could be killed especially since they are already severely injured,why are they bandaged up what caused their injuries why are they laying on the track,"['a railroad', 'a subway']"
detective,[100],[],[],[100],1,0,0,1,a couple is having drinks at a table when a cement block is heading down to one of them only one of them notices and looks up while the other one remains oblivious two men are having breakfast a cement block is falling from the ceiling one man looks up two men are eating at a restaurant one is looking up at the ceiling where an cinder block is about to drop on his companion,the cinderblock is coming out of nowhere and is about to injury a man a cement block is falling from the ceiling a cinder block should not be up on the ceiling,why is a cement block falling from the ceiling who threw the cinderblock is someone trying to kill the man,"['restaurant', 'a restaurant']"
pediatric nurse,[],[],[],[],0,0,0,0,a lawyer is with his client in a courtroom they are having a conversation,the client is death,how do you arrest death,['a courtroom']
jockey,[],[],[],[],0,0,0,0,a man is crawling across a sandbox two kids look on wanting to play an adult man is in a kid s sandbox he looks drunk two boys stare at him a man who is tattered and smelly is crawling around in a sandbox a couple of children are watching him in fear,there is an adult man in a sandbox for kids sandboxes are for kids the man looks disheveled and is scaring children with his actions the man is acting like he is crawling weakly through a desert,why is the man crawling around the sandbox is the man mentally ill why is there a drunk man in a kid s sandbox,"['top of building', 'a rooftop']"
trainer,[],[],[],[],0,0,0,0,two pheasants are together watching a hunter the hunter is carrying a rifle with a bird on it through the forest a hunter walks around with a gun over his shoulder two birds look on as another bird is on the hunters gun a hunter is out in the woods a bird is sitting on top of his gun and two other birds are watching from a distant branch,birds would be too scared to stay on the gun birds do not usually get that close to humans there is a bird on the rifle normally birds are scared of guns,why is the bird on the gun why is the bird on the rifle what are the birds thinking,"['woodlands', 'forest']"
curator,[230],[],[],[230],1,0,0,1,a psychiatrist is her office there is a banana on her couch,there is no patient,is she analyzing the banana,['therapist office']
setter,[],[],[],[],0,0,0,0,a couple is walking in the rain the man is carrying a huge umbrella that dwarfs both of them,the man s umbrella is absurdly huge,why is the man s umbrella so huge,['the sidewalk']
biostatistician,[],[],[],[],0,0,0,0,frankenstein s monster is on the table a butler is talking to frankenstein while he makes a potion a man experimenting in his lab is interrupted by his butler he was experimenting on a monstrous man at a table a scientist in his dungeon lab there is a creature strapped to a table and a third man talking to the scientist,it is illegal to do experiments on people without consent frankenstein has a butler nothing stands out as out of place,what is the scientist going to do why does frankenstein have a butler why is he experimenting on the man,"['a laboratory', 'lab']"
