caption,mean,precision,votes,not_funny,somewhat_funny,funny,cleaned_caption_v2,contest_id,tokens,occupations,topic
Ah! And that one is shaped just like a mid-level executive!,1.2666666666666666,0.1532712089469627,15,12,2,1,ah and that one is shaped just like a mid level executive,0,"['ah', 'and', 'that', 'one', 'is', 'shaped', 'just', 'like', 'a', 'mid', 'level', 'executive']",{'executive'},-1
Community service for hedge fund managers.,1.2307692307692308,0.1661728384207143,13,11,1,1,community service for hedge fund managers,0,"['community', 'service', 'for', 'hedge', 'fund', 'managers']",{'manager'},-1
My wife left me for a banker. And I'm a banker.,1.2307692307692308,0.1216260638526299,13,10,3,0, wife left  for a banker and  am a banker,0,"['my', 'wife', 'left', 'me', 'for', 'a', 'banker', 'and', 'i', 'am', 'a', 'banker']",{'banker'},-1
"Bob recalls a conversation with his broker about a year earlier... ""Commodities, Bob - That's where you should be, commodities! Oil can't possibly go any lower than it is now! Let's get you in on the ground floor, while you still can!""",1.2307692307692308,0.1661728384207143,13,11,1,1,bob recalls a conversation with his broker about a year earlier commodities bob that is where  should be commodities oil can not possibly go any lower than it is now let us get  in on the ground floor while  still can,0,"['bob', 'recalls', 'a', 'conversation', 'with', 'his', 'broker', 'about', 'a', 'year', 'earlier', 'commodities', 'bob', 'that', 'is', 'where', 'you', 'should', 'be', 'commodities', 'oil', 'can', 'not', 'possibly', 'go', 'any', 'lower', 'than', 'it', 'is', 'now', 'let', 'us', 'get', 'you', 'in', 'on', 'the', 'ground', 'floor', 'while', 'you', 'still', 'can']",{'broker'},-1
"Banker at Rest, street art circa 2008.",1.1666666666666667,0.1666666666666666,12,11,0,1,banker at rest street art circa 2008,0,"['banker', 'at', 'rest', 'street', 'art', 'circa', '2008']",{'banker'},-1
"Step on a crack, break your broker's back.",1.1666666666666667,0.1666666666666666,12,11,0,1,step on a crack break  broker s back,0,"['step', 'on', 'a', 'crack', 'break', 'your', 'broker', 's', 'back']",{'broker'},-1
Typical Bankers or Banksy?,1.1666666666666667,0.1123666437438737,12,10,2,0,typical bankers or banksy,0,"['typical', 'bankers', 'or', 'banksy']",{'banker'},-1
"Leaving the Executive Team baffled, Walk-on-Management Day turned out to be a raving success.",1.1666666666666667,0.1666666666666666,12,11,0,1,leaving the executive team baffled walk on management day turned out to be a raving success,0,"['leaving', 'the', 'executive', 'team', 'baffled', 'walk', 'on', 'management', 'day', 'turned', 'out', 'to', 'be', 'a', 'raving', 'success']",{'executive'},-1
For a more cut-throat attitude the CEO thought it will be a good idea to motivate employees to step over their peers.,1.1111111111111112,0.1178511301977579,9,8,1,0,for a more cut throat attitude the ceo thought it will be a good idea to motivate employees to step over  peers,0,"['for', 'a', 'more', 'cut', 'throat', 'attitude', 'the', 'ceo', 'thought', 'it', 'will', 'be', 'a', 'good', 'idea', 'to', 'motivate', 'employees', 'to', 'step', 'over', 'their', 'peers']","{'employee', 'ceo'}",1
CEOs matter!,1.1,0.1054092553389459,10,9,1,0,ceos matter,0,"['ceos', 'matter']",{'ceo'},1
"Step on an Banker, break your mother's credit score.",1.1,0.1054092553389459,10,9,1,0,step on an banker break  mother s credit score,0,"['step', 'on', 'an', 'banker', 'break', 'your', 'mother', 's', 'credit', 'score']",{'banker'},-1
"With lower approval ratings than a cowhide, this chic rug made with a banker is in!",1.1,0.1054092553389459,10,9,1,0,with lower approval ratings than a cowhide this chic rug made with a banker is in,0,"['with', 'lower', 'approval', 'ratings', 'than', 'a', 'cowhide', 'this', 'chic', 'rug', 'made', 'with', 'a', 'banker', 'is', 'in']",{'banker'},-1
In-Training to be a Hollywood personal assistant.,1.1,0.1054092553389459,10,9,1,0,in training to be a hollywood personal assistant,0,"['in', 'training', 'to', 'be', 'a', 'hollywood', 'personal', 'assistant']",{'assistant'},-1
I'm a Wall Street Executive Masochist.,1.1,0.1054092553389459,10,9,1,0, am a wall street executive masochist,0,"['i', 'am', 'a', 'wall', 'street', 'executive', 'masochist']",{'executive'},-1
My Sidewalk Supervisor position certainly keeps life in perspective.,1.1,0.1054092553389459,10,9,1,0, sidewalk supervisor position certainly keeps life in perspective,0,"['my', 'sidewalk', 'supervisor', 'position', 'certainly', 'keeps', 'life', 'in', 'perspective']",{'supervisor'},-1
Our CEO wants to pre-position for too big to fail.,1.0909090909090908,0.0953462589245592,11,10,1,0, ceo wants to pre position for too big to fail,0,"['our', 'ceo', 'wants', 'to', 'pre', 'position', 'for', 'too', 'big', 'to', 'fail']",{'ceo'},1
Wasn't long ago when a Wall Street banker commanded a lot more respect,1.0,0.1178511301977579,9,9,0,0,was not long ago when a wall street banker commanded a lot more respect,0,"['was', 'not', 'long', 'ago', 'when', 'a', 'wall', 'street', 'banker', 'commanded', 'a', 'lot', 'more', 'respect']",{'banker'},-1
It's the new myofascial release technique for the busy executive.,1.0,0.1178511301977579,9,9,0,0,it is the new myofascial release technique for the busy executive,0,"['it', 'is', 'the', 'new', 'myofascial', 'release', 'technique', 'for', 'the', 'busy', 'executive']",{'executive'},-1
"Because when I'm in the office, my managers walk all over me anyway.",1.0,0.1336306209562122,8,8,0,0,because when  am in the office  managers walk all over  anyway,0,"['because', 'when', 'i', 'am', 'in', 'the', 'office', 'my', 'managers', 'walk', 'all', 'over', 'me', 'anyway']",{'manager'},-1
Our CEO insisted we all play Truth or Dare at today's board meeting.,1.0,0.1178511301977579,9,9,0,0, ceo insisted  all play truth or dare at today s board meeting,0,"['our', 'ceo', 'insisted', 'we', 'all', 'play', 'truth', 'or', 'dare', 'at', 'today', 's', 'board', 'meeting']",{'ceo'},-1
"Why? That's easy."" My broker-therapist-realtor said, ""Get in on the ground floor. Hit rock bottom. Location, location, location.",1.0,0.1178511301977579,9,9,0,0,why that is easy  broker therapist realtor said get in on the ground floor hit rock bottom location location location,0,"['why', 'that', 'is', 'easy', 'my', 'broker', 'therapist', 'realtor', 'said', 'get', 'in', 'on', 'the', 'ground', 'floor', 'hit', 'rock', 'bottom', 'location', 'location', 'location']","{'broker', 'realtor'}",-1
"Every CEO needs to experience this once, then realize why we usually do the stepping on.",1.0,0.1178511301977579,9,9,0,0,every ceo needs to experience this once then realize why  usually do the stepping on,0,"['every', 'ceo', 'needs', 'to', 'experience', 'this', 'once', 'then', 'realize', 'why', 'we', 'usually', 'do', 'the', 'stepping', 'on']",{'ceo'},1
