caption,mean,precision,votes,not_funny,somewhat_funny,funny,cleaned_caption_v2,contest_id,tokens,occupations,topic
I dare you to try this wearing a lumberjack flannel.,1.0,0.1054092553389459,10,10,0,0,i dare you to try this wearing a lumberjack flannel,0,"['i', 'dare', 'you', 'to', 'try', 'this', 'wearing', 'a', 'lumberjack', 'flannel']",{'lumberjack'},0
Midnight cowboy was then. Everyone is assidiously ignoring the obvious,1.0,0.1336306209562122,8,8,0,0,midnight cowboy was then everyone is assidiously ignoring the obvious,0,"['midnight', 'cowboy', 'was', 'then', 'everyone', 'is', 'assidiously', 'ignoring', 'the', 'obvious']",{'cowboy'},1
"I'm a lumberjack too, and I don't care either!",1.0,0.1054092553389459,10,10,0,0,i am a lumberjack too and i do not care either,2,"['i', 'am', 'a', 'lumberjack', 'too', 'and', 'i', 'do', 'not', 'care', 'either']",{'lumberjack'},0
Tort law has really ruined fantasy cowboy camp.,1.5609756097560976,0.1261473223510804,41,26,7,8,tort law has really ruined fantasy cowboy camp,4,"['tort', 'law', 'has', 'really', 'ruined', 'fantasy', 'cowboy', 'camp']",{'cowboy'},1
This cowboy training camp isn't what I expected.,1.5365853658536586,0.1109689089373397,41,24,12,5,this cowboy training camp is not what i expected,4,"['this', 'cowboy', 'training', 'camp', 'is', 'not', 'what', 'i', 'expected']",{'cowboy'},1
Mamas who let their Cowboys grow up to be babies.,1.434782608695652,0.1642576660488549,23,17,2,4,mamas who let their cowboys grow up to be babies,4,"['mamas', 'who', 'let', 'their', 'cowboys', 'grow', 'up', 'to', 'be', 'babies']",{'cowboy'},-1
The crappiest cowboy dream I ever had,1.4,0.1527525231651946,25,19,2,4,the crappiest cowboy dream i ever had,4,"['the', 'crappiest', 'cowboy', 'dream', 'i', 'ever', 'had']",{'cowboy'},1
Don't worry. They're urban cowboys too.,1.4,0.1,25,15,10,0,do not worry they are urban cowboys too,4,"['do', 'not', 'worry', 'they', 'are', 'urban', 'cowboys', 'too']",{'cowboy'},1
This Cowboys and Indians thing is starting to feel childish,1.4,0.1414213562373095,25,18,4,3,this cowboys and indians thing is starting to feel childish,4,"['this', 'cowboys', 'and', 'indians', 'thing', 'is', 'starting', 'to', 'feel', 'childish']",{'cowboy'},1
"When horses walked the earth, cowboys were respected!",1.318181818181818,0.1377990826181559,22,17,3,2,when horses walked the earth cowboys were respected,4,"['when', 'horses', 'walked', 'the', 'earth', 'cowboys', 'were', 'respected']",{'cowboy'},1
When suburban mommas let their babies grow up to be cowboys...,1.318181818181818,0.1210767642506233,22,16,5,1,when suburban mommas let their babies grow up to be cowboys,4,"['when', 'suburban', 'mommas', 'let', 'their', 'babies', 'grow', 'up', 'to', 'be', 'cowboys']",{'cowboy'},-1
Who said boys from the East Side couldn't grow up to be cowboys?,1.318181818181818,0.1377990826181559,22,17,3,2,who said boys from the east side could not grow up to be cowboys,4,"['who', 'said', 'boys', 'from', 'the', 'east', 'side', 'could', 'not', 'grow', 'up', 'to', 'be', 'cowboys']",{'cowboy'},-1
Rockem Cowboy,1.3,0.127733274731701,20,15,4,1,rockem cowboy,4,"['rockem', 'cowboy']",{'cowboy'},1
Why did our first Cowboy movie fail again?,1.2857142857142858,0.1223355483682393,21,16,4,1,why did our first cowboy movie fail again,4,"['why', 'did', 'our', 'first', 'cowboy', 'movie', 'fail', 'again']",{'cowboy'},1
"This is how we cowboys rock, baby. So Roll with it!",1.263157894736842,0.1037908733877125,19,14,5,0,this is how we cowboys rock baby so roll with it,4,"['this', 'is', 'how', 'we', 'cowboys', 'rock', 'baby', 'so', 'roll', 'with', 'it']",{'cowboy'},1
Summer school for cowboy dropouts,1.263157894736842,0.128920512778062,19,15,3,1,summer school for cowboy dropouts,4,"['summer', 'school', 'for', 'cowboy', 'dropouts']",{'cowboy'},1
"""They're gaining on us,"" said Frank, a new breed of cowboy for the green 21st century.",1.263157894736842,0.128920512778062,19,15,3,1,they are gaining on us said frank a new breed of cowboy for the green 21st century,4,"['they', 'are', 'gaining', 'on', 'us', 'said', 'frank', 'a', 'new', 'breed', 'of', 'cowboy', 'for', 'the', 'green', '21st', 'century']",{'cowboy'},1
"You know, Tex, this class fulfills my inner cowboy in a way that SoulCycle never did.",1.263157894736842,0.128920512778062,19,15,3,1,you know tex this class fulfills my inner cowboy in a way that soulcycle never did,4,"['you', 'know', 'tex', 'this', 'class', 'fulfills', 'my', 'inner', 'cowboy', 'in', 'a', 'way', 'that', 'soulcycle', 'never', 'did']",{'cowboy'},1
"Well when a cowboy rides one, it is a real horse.",1.2352941176470589,0.1363767425808191,17,14,2,1,well when a cowboy rides one it is a real horse,4,"['well', 'when', 'a', 'cowboy', 'rides', 'one', 'it', 'is', 'a', 'real', 'horse']",{'cowboy'},1
The four horsemen of the cowboy trips.,1.2352941176470589,0.1060456257489408,17,13,4,0,the four horsemen of the cowboy trips,4,"['the', 'four', 'horsemen', 'of', 'the', 'cowboy', 'trips']","{'horseman', 'cowboy'}",1
Outlaws and posse is boring. I want to play cowboys and Indians!,1.2105263157894737,0.0960916767552923,19,15,4,0,outlaws and posse is boring i want to play cowboys and indians,4,"['outlaws', 'and', 'posse', 'is', 'boring', 'i', 'want', 'to', 'play', 'cowboys', 'and', 'indians']",{'cowboy'},-1
