caption,mean,precision,votes,not_funny,somewhat_funny,funny,cleaned_caption_v2,contest_id,tokens,occupations,topic
I guess the world's not ready for a lie-down comedian.,1.3076923076923077,0.1748484832946905,13,10,2,1, guess the world s not ready for a lie down comedian,0,"['i', 'guess', 'the', 'world', 's', 'not', 'ready', 'for', 'a', 'lie', 'down', 'comedian']",{'comedian'},1
These cartoons just get worse and worse. How we miss your prior generation of cartoonists!,1.2857142857142858,0.1941046344247878,14,12,0,2,these cartoons just get worse and worse how  miss  prior generation of cartoonists,0,"['these', 'cartoons', 'just', 'get', 'worse', 'and', 'worse', 'how', 'we', 'miss', 'your', 'prior', 'generation', 'of', 'cartoonists']",{'cartoonist'},-1
"Wilber, aspiring street performer, working on his ""wad of chewing gum"" impersonation.",1.1,0.1054092553389459,10,9,1,0,wilber aspiring street performer working on his wad of chewing gum impersonation,0,"['wilber', 'aspiring', 'street', 'performer', 'working', 'on', 'his', 'wad', 'of', 'chewing', 'gum', 'impersonation']",{'performer'},-1
A bunnie or maybe a clown.,1.1,0.1054092553389459,10,9,1,0,a bunnie or maybe a clown,0,"['a', 'bunnie', 'or', 'maybe', 'a', 'clown']",{'clown'},0
There's a cartoonist on the ceiling.,1.1,0.1054092553389459,10,9,1,0,there is a cartoonist on the ceiling,0,"['there', 'is', 'a', 'cartoonist', 'on', 'the', 'ceiling']",{'cartoonist'},3
These 3D sidewalk artists are getting lazy.,1.1,0.1054092553389459,10,9,1,0,these 3d sidewalk artists are getting lazy,0,"['these', '3d', 'sidewalk', 'artists', 'are', 'getting', 'lazy']",{'artist'},-1
These 3D sidewalk chalk artists are getting ridiculous.,1.1,0.1054092553389459,10,9,1,0,these 3d sidewalk chalk artists are getting ridiculous,0,"['these', '3d', 'sidewalk', 'chalk', 'artists', 'are', 'getting', 'ridiculous']",{'artist'},-1
I hate performance artists,1.0,0.1178511301977579,9,9,0,0, hate performance artists,0,"['i', 'hate', 'performance', 'artists']",{'artist'},-1
"In the days before chalk outlines, police artists created 3D works that no one would erase afterwards.",1.0,0.1178511301977579,9,9,0,0,in the days before chalk outlines police artists created 3d works that no one would erase afterwards,0,"['in', 'the', 'days', 'before', 'chalk', 'outlines', 'police', 'artists', 'created', '3d', 'works', 'that', 'no', 'one', 'would', 'erase', 'afterwards']","{'artist', 'police'}",-1
The New Yorker cartoonists aren't putting much thought into it anymore.,1.3333333333333333,0.2247332874877473,12,10,0,2,the new yorker cartoonists are not putting much thought into it anymore,1,"['the', 'new', 'yorker', 'cartoonists', 'are', 'not', 'putting', 'much', 'thought', 'into', 'it', 'anymore']",{'cartoonist'},3
Just our luck. Heaviest snow in years and we get a cartoonist with no sense of perspective.,1.2222222222222223,0.1469861839480328,9,7,2,0,just  luck heaviest snow in years and  get a cartoonist with no sense of perspective,1,"['just', 'our', 'luck', 'heaviest', 'snow', 'in', 'years', 'and', 'we', 'get', 'a', 'cartoonist', 'with', 'no', 'sense', 'of', 'perspective']",{'cartoonist'},3
I don't know what this thing in my left hand is either. Ask the cartoonist.,1.125,0.1336306209562122,8,7,1,0, do not know what this thing in  left hand is either ask the cartoonist,1,"['i', 'do', 'not', 'know', 'what', 'this', 'thing', 'in', 'my', 'left', 'hand', 'is', 'either', 'ask', 'the', 'cartoonist']",{'cartoonist'},3
"I see the cartoonist drew you the wrong size shovel, too.",1.125,0.1336306209562122,8,7,1,0, see the cartoonist drew  the wrong size shovel too,1,"['i', 'see', 'the', 'cartoonist', 'drew', 'you', 'the', 'wrong', 'size', 'shovel', 'too']",{'cartoonist'},3
You won't be afraid of clowns anymore after we build a healthy fear of hypothermia.,1.125,0.1336306209562122,8,7,1,0, will not be afraid of clowns anymore after  build a healthy fear of hypothermia,1,"['you', 'will', 'not', 'be', 'afraid', 'of', 'clowns', 'anymore', 'after', 'we', 'build', 'a', 'healthy', 'fear', 'of', 'hypothermia']",{'clown'},0
Our shovels are the same size. The cartoonist just created an illusion - now get the freak back to work.,1.0,0.1543033499620919,7,7,0,0, shovels are the same size the cartoonist just created an illusion now get the freak back to work,1,"['our', 'shovels', 'are', 'the', 'same', 'size', 'the', 'cartoonist', 'just', 'created', 'an', 'illusion', 'now', 'get', 'the', 'freak', 'back', 'to', 'work']","{'cartoonist', 'freak'}",-1
Call the Obesity Police: I've found the Abdomenable Showman.,1.0,0.1543033499620919,7,7,0,0,call the obesity police  have found the abdomenable showman,1,"['call', 'the', 'obesity', 'police', 'i', 'have', 'found', 'the', 'abdomenable', 'showman']","{'police', 'showman'}",1
"Son, I've told you a thousand times it's not about the wand, it's about the magician.",1.0,0.1543033499620919,7,7,0,0,son  have told  a thousand times it is not about the wand it is about the magician,1,"['son', 'i', 'have', 'told', 'you', 'a', 'thousand', 'times', 'it', 'is', 'not', 'about', 'the', 'wand', 'it', 'is', 'about', 'the', 'magician']",{'magician'},-1
