contest_id,occupations,num_occupations
0,"['ambulance', 'analyst', 'apprentice', 'artist', 'assistant', 'astrologer', 'attorney', 'banker', 'bos', 'boxer', 'broker', 'cartoonist', 'ceo', 'chiropractor', 'clown', 'comedian', 'commissioner', 'congressman', 'cop', 'counselor', 'cowboy', 'critic', 'detective', 'dipper', 'director', 'doctor', 'drummer', 'employee', 'executive', 'fitnes', 'governor', 'guard', 'hypnotist', 'intern', 'judge', 'jumper', 'lawyer', 'lobbyist', 'lumberjack', 'manager', 'mason', 'masseur', 'masseuse', 'mayor', 'media', 'member', 'minister', 'novelist', 'organizer', 'osteopath', 'painter', 'performer', 'philosopher', 'police', 'politician', 'pollster', 'president', 'priest', 'production', 'professor', 'psychologist', 'realtor', 'salesperson', 'sander', 'senator', 'sergeant', 'slacker', 'sociologist', 'stripper', 'supervisor', 'therapist', 'trader', 'tripper', 'twister', 'watcher']",75
1,"['adapter', 'archaeologist', 'artisan', 'blower', 'booker', 'bos', 'builder', 'bulldozer', 'butler', 'cardiologist', 'carpenter', 'cartoonist', 'catcher', 'ceo', 'clown', 'congressman', 'consultant', 'cook', 'counselor', 'display', 'doctor', 'economist', 'elder', 'equipment', 'fitnes', 'freak', 'fuller', 'grunt', 'judge', 'laundry', 'lawyer', 'magician', 'mailman', 'maintenance', 'member', 'painter', 'picker', 'pitcher', 'plunger', 'police', 'politician', 'pollster', 'president', 'printer', 'proctologist', 'roller', 'salesperson', 'sander', 'sawyer', 'scraper', 'security', 'sergeant', 'shaker', 'shoveler', 'showman', 'stuffer', 'superior', 'surgeon', 'trader', 'undertaker', 'washer', 'weatherman', 'wrapper']",63
2,"['apprentice', 'artisan', 'bos', 'camper', 'cartoonist', 'catcher', 'chipper', 'cleaner', 'construction', 'counselor', 'cracker', 'crane', 'decorator', 'doctor', 'doorman', 'drawer', 'equipment', 'executive', 'film', 'fitnes', 'flyer', 'founder', 'freak', 'fuller', 'governor', 'heater', 'instructor', 'judge', 'laborer', 'limber', 'liquidator', 'lumberjack', 'maintenance', 'media', 'member', 'military', 'miller', 'missionary', 'mover', 'np', 'outfitter', 'pitcher', 'police', 'president', 'professor', 'refinisher', 'reporter', 'rider', 'roller', 'runner', 'salesperson', 'sander', 'security', 'shag', 'solicitor', 'starter', 'superior', 'timer', 'twister', 'wicker', 'writer']",61
3,"['accountant', 'agent', 'assistant', 'attache', 'attorney', 'auditor', 'binder', 'blower', 'boiler', 'bos', 'boxer', 'brakeman', 'breaker', 'broker', 'bulldozer', 'cafeteria', 'calculator', 'caregiver', 'cellist', 'ceo', 'cfo', 'cleaner', 'comedian', 'consultant', 'courier', 'cpa', 'designer', 'director', 'display', 'doctor', 'doorman', 'draper', 'drummer', 'economist', 'employee', 'entrepreneur', 'escort', 'executive', 'filing', 'fletcher', 'folder', 'groom', 'handler', 'intern', 'inventor', 'investor', 'judge', 'justice', 'laundry', 'lawyer', 'layer', 'litigator', 'lobbyist', 'magician', 'manager', 'manufacturer', 'masseur', 'masseuse', 'member', 'mentor', 'miller', 'minister', 'musician', 'officer', 'orthotic', 'pallbearer', 'paralegal', 'pastor', 'piper', 'pointer', 'police', 'president', 'printer', 'prosecutor', 'pt', 'ramrod', 'ranger', 'rider', 'roller', 'salesperson', 'sander', 'secretary', 'security', 'senator', 'shooter', 'smoother', 'sniper', 'stapler', 'stretcher', 'supervisor', 'tinker', 'undertaker', 'valet', 'ventriloquist', 'volunteer', 'vp']",96
4,"['actor', 'agent', 'banker', 'blacksmith', 'blaster', 'bos', 'broker', 'bumper', 'camper', 'carpenter', 'cartoonist', 'chancellor', 'chief', 'clown', 'cobbler', 'columnist', 'cop', 'copper', 'cowboy', 'dc', 'dealer', 'delegate', 'deputy', 'designer', 'director', 'doctor', 'employee', 'equestrian', 'equipment', 'etymologist', 'executive', 'farrier', 'feller', 'filler', 'film', 'fireman', 'fitnes', 'flyer', 'groom', 'horseman', 'judge', 'justice', 'knocker', 'lawyer', 'lobbyist', 'lookout', 'marshal', 'mayor', 'media', 'member', 'military', 'model', 'officer', 'pallbearer', 'payroll', 'police', 'president', 'producer', 'production', 'raiser', 'ranger', 'resident', 'rider', 'robber', 'rocker', 'runner', 'secretary', 'security', 'senator', 'sheriff', 'slicker', 'smoother', 'starter', 'superior', 'ta', 'tinker', 'wrangler']",77
5,"['agent', 'ambulance', 'analyst', 'attorney', 'bos', 'brakeman', 'breaker', 'buffer', 'carney', 'cartoonist', 'catcher', 'chaser', 'chiropractor', 'conductor', 'cop', 'critic', 'dc', 'delegate', 'doctor', 'driver', 'equipment', 'film', 'fixer', 'freak', 'handler', 'hypnotist', 'inspector', 'judge', 'lawyer', 'layout', 'lobbyist', 'maintenance', 'mechanic', 'media', 'motorman', 'nurse', 'opener', 'operator', 'owner', 'painter', 'physician', 'police', 'president', 'principal', 'psychiatrist', 'psychoanalyst', 'psychologist', 'realtor', 'recycling', 'resident', 'rider', 'roller', 'runner', 'sander', 'security', 'shepherd', 'slipper', 'sponsor', 'tagger', 'teamster', 'transit', 'visitor', 'volunteer', 'watchman']",64
6,"['actuary', 'advertising', 'agent', 'ager', 'analyst', 'architect', 'assistant', 'astrologer', 'attorney', 'auditor', 'barista', 'barrister', 'bishop', 'bitter', 'blogger', 'boiler', 'bos', 'bouncer', 'brainer', 'bricklayer', 'broker', 'carpenter', 'cartoonist', 'ceo', 'cfo', 'chef', 'chief', 'clairvoyant', 'clown', 'construction', 'contractor', 'cracker', 'crane', 'critic', 'designer', 'director', 'doctor', 'employee', 'escort', 'executive', 'filing', 'fixer', 'flyer', 'folder', 'forger', 'handyman', 'header', 'inspector', 'judge', 'lawyer', 'layer', 'magician', 'maker', 'manager', 'mason', 'mechanic', 'media', 'mixer', 'mixologist', 'observer', 'owner', 'pastor', 'physician', 'poet', 'pollster', 'pounder', 'president', 'production', 'psychic', 'remodeling', 'runner', 'salesperson', 'sander', 'scientist', 'secretary', 'security', 'statistician', 'straightener', 'taker', 'teacher', 'teller', 'therapist', 'tipper', 'vp', 'waiter', 'waitres', 'waitress', 'watchmaker', 'weatherman', 'weighter', 'writer']",91
7,"['actuary', 'advertising', 'advisor', 'advocate', 'agent', 'ambulance', 'artist', 'assistant', 'attorney', 'bailiff', 'bishop', 'blazer', 'bookkeeper', 'bos', 'butler', 'buyer', 'ceo', 'charger', 'chaser', 'chipper', 'cleaner', 'comedian', 'consultant', 'cop', 'counselor', 'cpa', 'crane', 'cybersecurity', 'delegate', 'dentist', 'doctor', 'doorman', 'drawer', 'employee', 'emt', 'entrepreneur', 'escort', 'feeder', 'ferryman', 'filing', 'film', 'folder', 'foreman', 'governor', 'groomer', 'guard', 'harvester', 'horseman', 'houseman', 'intern', 'judge', 'juror', 'justice', 'lawyer', 'librarian', 'magician', 'md', 'member', 'mixer', 'monk', 'mover', 'ob', 'officer', 'operator', 'paralegal', 'physician', 'police', 'politician', 'president', 'prosecutor', 'rapper', 'ringer', 'ripper', 'ruler', 'sander', 'security', 'senator', 'servant', 'shaker', 'slaughterer', 'smoother', 'specialist', 'starter', 'stylist', 'superior', 'tamper', 'trader', 'undertaker', 'volunteer', 'writer']",90
8,"['actor', 'advertising', 'advocate', 'agent', 'archaeologist', 'artisan', 'artist', 'auditor', 'bloomer', 'boomer', 'bos', 'breaker', 'broker', 'builder', 'bulldozer', 'camper', 'cartoonist', 'cfo', 'chaperone', 'charger', 'charter', 'chaser', 'checker', 'chiropractor', 'cinematographer', 'comedian', 'conditioner', 'congressman', 'consultant', 'counselor', 'cowboy', 'cpa', 'dean', 'delegate', 'director', 'display', 'doctor', 'doorman', 'drifter', 'education', 'elder', 'employee', 'equipment', 'executive', 'filing', 'film', 'fitnes', 'flyer', 'golfer', 'governor', 'grader', 'guard', 'hatter', 'hypnotist', 'impersonator', 'intern', 'investor', 'judge', 'justice', 'lawyer', 'loader', 'manager', 'mayor', 'media', 'member', 'mentor', 'military', 'miller', 'model', 'oral', 'owner', 'performer', 'picker', 'pitcher', 'police', 'politician', 'pollster', 'president', 'principal', 'producer', 'production', 'programmer', 'rabbi', 'realtor', 'runner', 'salesperson', 'sampler', 'sander', 'sawyer', 'scavenger', 'scientist', 'scout', 'security', 'senator', 'shaker', 'skinner', 'solar', 'sprinkler', 'sweeper', 'swimmer', 'teacher', 'thinner', 'tier', 'timer', 'trader', 'tucker', 'weatherman']",107
9,"['agent', 'artist', 'blower', 'bumper', 'cartoonist', 'chipper', 'cleaver', 'climber', 'colonel', 'companion', 'competitor', 'conservationist', 'coo', 'counselor', 'cracker', 'delegate', 'doctor', 'examiner', 'farmer', 'fisherman', 'flyer', 'guard', 'gunner', 'hunter', 'journalist', 'judge', 'lawyer', 'leader', 'lin', 'loading', 'lobbyist', 'lookout', 'media', 'member', 'military', 'miner', 'nester', 'novice', 'observer', 'owner', 'payroll', 'photographer', 'pointer', 'politician', 'president', 'production', 'publicist', 'rancher', 'ranger', 'resident', 'rider', 'sander', 'scout', 'security', 'seller', 'senator', 'shill', 'shooter', 'sponsor', 'starter', 'sticker', 'taker', 'taxidermist', 'tenant', 'timer', 'typist', 'vp', 'watcher']",68
